Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2003,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2003,Feb. 2003,Mar. 2003,Apr. 2003,May 2003,Jun. 2003,Jul. 2003,Aug. 2003,Sep. 2003,Oct. 2003,Nov. 2003,Dec. 2003,TOTAL,,
"442,443","Furniture, home furn, electronics, and appliance stores","13,875","12,949","14,165","13,395","14,672","14,470","14,926","15,845","14,863","15,350","17,411","23,133","1,85,054",,
442,Furniture and home furnishings stores,"6,984","6,523","7,400","7,158","7,843","7,526","7,838","8,143","7,786","8,111","8,761","9,882","93,955",,
4421,Furniture stores,"3,950","3,742","4,191","3,903","4,281","4,049","4,192","4,433","4,167","4,316","4,591","4,799","50,614",,
4422,Home furnishings stores,"3,034","2,781","3,209","3,255","3,562","3,477","3,646","3,710","3,619","3,795","4,170","5,083","43,341",,
44221,Floor covering stores,"1,365","1,292","1,503","1,484","1,603","1,589","1,638","1,605","1,646","1,729","1,618","1,620","18,692",,
442299,All other home furnishings stores,"1,582","1,420","1,619","1,677","1,861","1,794","1,907","2,008","1,884","1,966","2,450","3,356","23,524",,
443,Electronics and appliance stores,"6,891","6,426","6,765","6,237","6,829","6,944","7,088","7,702","7,077","7,239","8,650","13,251","91,099",,
443141,Household appliance stores,"1,058",952,"1,074","1,046","1,142","1,192","1,260","1,248","1,194","1,241","1,279","1,495","14,181",,
443142,Electronics stores,"5,833","5,474","5,691","5,191","5,687","5,752","5,828","6,454","5,883","5,998","7,371","11,756","76,918",,
444,Building mat. and garden equip. and supplies dealers,"17,064","15,455","20,020","24,099","25,632","24,859","24,253","22,482","22,645","23,792","20,642","20,460","2,61,403",,
4441,Building mat. and supplies dealers,"15,507","13,983","17,501","19,743","20,838","20,799","21,313","20,278","20,632","21,516","18,769","18,485","2,29,364",,
44412,Paint and wallpaper stores,556,528,632,706,759,782,835,786,772,812,618,582,"8,368",,
44413,Hardware stores,"1,162","1,088","1,311","1,463","1,713","1,636","1,590","1,514","1,464","1,478","1,415","1,495","17,329",,
445,Food and beverage stores,"37,984","34,994","38,077","37,829","40,334","38,304","40,381","39,975","37,748","39,158","39,112","42,456","4,66,352",,
4451,Grocery stores,"35,039","32,122","34,916","34,514","36,695","34,861","36,737","36,280","34,354","35,520","35,454","37,323","4,23,815",,
44511,Supermarkets and other grocery (except convenience) stores,"33,449","30,643","33,272","32,937","35,028","33,199","34,968","34,534","32,711","33,859","33,932","35,739","4,04,271",,
4453,"Beer, wine, and liquor stores","2,003","1,931","2,145","2,202","2,431","2,297","2,466","2,511","2,323","2,495","2,514","3,456","28,774",,
446,Health and personal care stores,"15,374","14,613","15,672","15,558","15,990","15,324","15,813","15,807","15,546","16,333","15,530","18,687","1,90,247",,
44611,Pharmacies and drug stores,"13,504","12,786","13,601","13,530","13,944","13,248","13,644","13,591","13,576","14,245","13,516","16,157","1,65,342",,
447,Gasoline stations,"21,080","20,730","23,735","22,701","23,163","22,675","23,862","24,830","23,277","23,520","21,835","22,274","2,73,682",,
448,Clothing and clothing access. stores,"10,523","11,344","13,125","13,356","14,360","13,163","13,519","15,151","13,236","14,251","16,155","26,020","1,74,203",,
4481,Clothing stores,"7,731","7,752","9,725","9,770","10,289","9,637","9,919","10,931","9,825","10,644","11,960","17,371","1,25,554",,
44811,Men's clothing stores,526,486,586,616,663,640,587,722,610,686,762,"1,162","8,046",,
44812,Women's clothing stores,"2,012","2,047","2,565","2,667","2,755","2,484","2,400","2,545","2,574","2,737","2,891","4,224","31,901",,
44814,Family clothing stores,"3,890","3,913","5,026","5,043","5,400","5,123","5,454","5,940","5,184","5,709","6,694","9,678","67,054",,
44819,Other clothing stores,629,606,688,626,680,666,663,744,628,650,683,"1,116","8,379",,
4482,Shoe stores,"1,405","1,582","1,890","1,950","1,975","1,791","1,891","2,422","1,757","1,818","1,886","2,544","22,911",,
44831,Jewelry stores,"1,284","1,906","1,396","1,527","1,958","1,618","1,586","1,666","1,540","1,664","2,168","5,840","24,153",,
451,"Sporting goods, hobby, musical instrument, and book stores","5,286","4,189","4,751","4,770","4,965","5,075","5,034","6,416","5,404","4,992","6,160","10,050","67,092",,
45111,Sporting goods stores,"1,680","1,667","2,024","2,038","2,083","2,219","2,190","2,432","1,981","1,881","2,100","3,478","25,773",,
45112,"Hobby, toy, and game stores",874,901,"1,064","1,091","1,042","1,018","1,046","1,039","1,046","1,229","2,122","3,384","15,856",,
451211,Book stores,"2,009",967,904,951,"1,081","1,153","1,102","2,089","1,537","1,022","1,013","2,018","15,846",,
452,General merchandise stores,"31,455","32,155","36,152","35,937","38,742","37,212","37,140","40,125","35,179","38,573","44,602","60,136","4,67,408",,
4522,Department stores,"13,965","14,358","16,377","16,383","17,579","16,660","16,421","18,207","15,667","17,330","20,804","30,719","2,14,470",,
45221,Department stores,"13,965","14,358","16,377","16,383","17,579","16,660","16,421","18,207","15,667","17,330","20,804","30,719","2,14,470",,
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"17,490","17,797","19,775","19,554","21,163","20,552","20,719","21,918","19,512","21,243","23,798","29,417","2,52,938",,
452311,Warehouse clubs and supercenters,"15,163","15,345","17,000","16,626","18,066","17,607","17,747","18,906","16,729","18,135","20,319","24,643","2,16,286",,
452319,All other gen. merchandise stores,"2,327","2,452","2,775","2,928","3,097","2,945","2,972","3,012","2,783","3,108","3,479","4,774","36,652",,
453,Miscellaneous store retailers,"6,981","6,761","6,841","6,999","7,865","7,244","7,378","7,767","7,288","7,681","7,347","9,689","89,841",,
4532,"Office supplies, stationery, and gift stores","2,921","2,749","2,658","2,667","2,895","2,676","2,820","3,295","2,904","2,993","3,029","4,680","36,287",,
45321,Office supplies and stationery stores,"1,961","1,691","1,654","1,560","1,569","1,445","1,594","2,002","1,825","1,668","1,589","2,109","20,667",,
45322,"Gift, novelty, and souvenir stores",960,"1,058","1,004","1,107","1,326","1,231","1,226","1,293","1,079","1,325","1,440","2,571","15,620",,
45330,Used merchandise stores,691,607,649,606,612,552,607,614,622,669,675,659,"7,563",,
454,Nonstore retailers,"16,299","15,145","15,671","14,556","14,208","13,752","14,054","14,459","15,439","17,032","16,864","21,738","1,89,217",,
4541,Electronic shopping and mail-order houses,"10,429","9,528","10,269","10,279","10,185","10,048","10,368","10,494","11,096","11,929","11,993","15,866","1,32,484",,
45431,Fuel dealers,"3,713","3,420","2,947","2,019","1,624","1,465","1,564","1,677","1,803","2,244","2,174","3,327","27,977",,
722,Food services and drinking places,"25,355","24,883","28,356","27,484","30,005","28,878","29,722","30,922","27,733","29,378","28,043","29,035","3,39,794",,
7224,Drinking places,"1,214","1,170","1,352","1,286","1,394","1,284","1,350","1,439","1,311","1,380","1,306","1,300","15,786",,
7225,Restaurants and other eating places,"22,152","21,668","24,696","23,960","26,181","25,364","26,159","27,003","23,839","25,274","24,293","25,551","2,96,140",,
722511,Full service restaurants,"11,545","11,271","12,678","12,164","13,462","12,991","13,413","14,066","12,248","12,809","12,407","13,080","1,52,134",,
"722513, 722514, 722515",Limited service eating places,"10,607","10,397","12,018","11,796","12,719","12,373","12,746","12,937","11,591","12,465","11,886","12,471","1,44,006",,
,ADJUSTED(2),,,,,,,,,,,,,,,
,"Retail and food services sales, total","2,88,657","2,84,696","2,88,177","2,89,053","2,89,619","2,93,671","2,96,207","2,99,592","2,98,921","2,98,205","2,99,433","3,00,702",,,
,Retail sales and food services excl motor vehicle and parts,"2,20,353","2,19,429","2,21,858","2,20,633","2,21,437","2,23,736","2,25,986","2,29,147","2,29,152","2,29,677","2,30,537","2,31,694",,,
,Retail sales and food services excl gasoline stations,"2,65,644","2,60,950","2,64,275","2,66,687","2,67,951","2,71,993","2,74,174","2,76,644","2,75,852","2,75,458","2,76,130","2,76,880",,,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"1,97,340","1,95,683","1,97,956","1,98,267","1,99,769","2,02,058","2,03,953","2,06,199","2,06,083","2,06,930","2,07,234","2,07,872",,,
,"Retail sales, total","2,61,394","2,57,531","2,60,566","2,61,375","2,61,392","2,65,331","2,67,683","2,70,612","2,70,212","2,69,060","2,70,161","2,71,550",,,
,"Retail sales, total (excl. motor vehicle and parts dealers)","1,93,090","1,92,264","1,94,247","1,92,955","1,93,210","1,95,396","1,97,462","2,00,167","2,00,443","2,00,532","2,01,265","2,02,542",,,
,GAFO(1),"75,298","74,654","75,620","75,725","76,455","77,470","78,175","79,285","78,875","78,854","79,365","79,804",,,
441,Motor vehicle and parts dealers,"68,304","65,267","66,319","68,420","68,182","69,935","70,221","70,445","69,769","68,528","68,896","69,008",,,
"4411,4412",Automobile and other motor vehicle dealers,"63,256","60,218","61,201","63,302","63,038","64,774","64,994","65,248","64,452","63,231","63,576","63,747",,,
4413,"Automotive parts, acc., and tire stores","5,048","5,049","5,118","5,118","5,144","5,161","5,227","5,197","5,317","5,297","5,320","5,261",,,
"442,443","Furniture, home furn, electronics, and appliance stores","14,877","14,492","14,872","14,984","15,251","15,355","15,459","15,732","15,720","15,858","16,012","16,044",,,
442,Furniture and home furnishings stores,"7,600","7,288","7,629","7,664","7,820","7,848","7,862","7,921","7,969","8,015","8,120","8,100",,,
443,Electronics and appliance stores,"7,277","7,204","7,243","7,320","7,431","7,507","7,597","7,811","7,751","7,843","7,892","7,944",,,
444,Building mat. and garden equip. and supplies dealers,"21,118","19,921","20,999","21,027","21,119","21,912","22,106","22,326","22,522","22,659","22,533","22,732",,,
4441,Building mat. and supplies dealers,"18,483","17,392","18,345","18,469","18,473","19,047","19,358","19,592","19,877","20,034","19,967","20,049",,,
445,Food and beverage stores,"38,763","38,621","38,571","38,689","38,599","38,728","39,167","39,153","39,149","39,221","38,989","38,926",,,
4451,Grocery stores,"35,322","35,221","35,127","35,218","35,115","35,249","35,632","35,534","35,526","35,520","35,348","35,277",,,
4453,"Beer, wine and liquor stores","2,334","2,318","2,347","2,358","2,351","2,349","2,390","2,435","2,458","2,495","2,457","2,463",,,
446,Health and personal care stores,"15,313","15,350","15,486","15,527","15,646","15,733","15,957","16,146","16,194","16,219","16,330","16,421",,,
44611,Pharmacies and drug stores,"13,344","13,388","13,506","13,503","13,657","13,644","13,810","14,026","14,054","14,048","14,197","14,235",,,
447,Gasoline stations,"23,013","23,746","23,902","22,366","21,668","21,678","22,033","22,948","23,069","22,747","23,303","23,822",,,
448,Clothing and clothing access. stores,"14,245","13,788","14,026","14,066","14,294","14,548","14,715","14,737","14,813","14,729","14,927","15,051",,,
4481,Clothing stores,"10,285","9,888","10,166","10,158","10,358","10,514","10,625","10,601","10,679","10,596","10,737","10,878",,,
44811,Men's clothing stores,655,633,649,656,670,676,668,700,681,679,680,690,,,
44812,Women's clothing stores,"2,593","2,521","2,560","2,542","2,568","2,617","2,691","2,671","2,724","2,732","2,764","2,844",,,
4482,Shoe stores,"1,856","1,863","1,879","1,859","1,874","1,905","1,926","1,976","1,957","1,926","1,944","1,938",,,
44831,Jewelry stores,"1,978","1,914","1,854","1,923","1,931","2,002","2,031","2,027","2,045","2,067","2,105","2,095",,,
451,"Sporting goods, hobby, musical instrument, and book stores","5,501","5,391","5,442","5,508","5,523","5,639","5,550","5,854","5,647","5,596","5,636","5,717",,,
452,General merchandise stores,"37,651","38,009","38,301","38,130","38,304","38,858","39,400","39,881","39,703","39,695","39,788","39,931",,,
4522,Department stores,"17,790","17,748","17,762","17,654","17,865","17,972","18,165","18,280","18,050","17,940","17,796","17,767",,,
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"19,861","20,261","20,539","20,476","20,439","20,886","21,235","21,601","21,653","21,755","21,992","22,164",,,
452311,Warehouse clubs and supercenters,"16,999","17,359","17,562","17,464","17,438","17,821","18,146","18,463","18,547","18,619","18,849","19,000",,,
452319,All other gen. merchandise stores,"2,862","2,902","2,977","3,012","3,001","3,065","3,089","3,138","3,106","3,136","3,143","3,164",,,
453,Miscellaneous stores retailers,"7,553","7,363","7,366","7,431","7,508","7,493","7,511","7,589","7,480","7,541","7,522","7,558",,,
454,Nonstore retailers,"15,056","15,583","15,282","15,227","15,298","15,452","15,564","15,801","16,146","16,267","16,225","16,340",,,
4541,Electronic shopping and mail order houses,"10,408","10,575","10,500","10,685","10,744","10,934","11,077","11,105","11,427","11,503","11,389","11,539",,,
45431,Fuel dealers,"2,324","2,643","2,426","2,300","2,160","2,126","2,241","2,285","2,226","2,271","2,223","2,427",,,
722,Food services and drinking places,"27,263","27,165","27,611","27,678","28,227","28,340","28,524","28,980","28,709","29,145","29,272","29,152",,,
,,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,,
"Estimates include data only for businesses with paid employees. Prior to the benchmark report released in April 2025, the Monthly Retail Trade Survey estimates included nonemployers.",,,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
