Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2003,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2003,Feb. 2003,Mar. 2003,Apr. 2003,May 2003,Jun. 2003,Jul. 2003,Aug. 2003,Sep. 2003,Oct. 2003,Nov. 2003,Dec. 2003,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","2,62,008","2,52,766","2,86,791","2,87,463","3,05,042","2,94,018","3,02,971","3,09,870","2,87,036","2,96,750","2,94,092","3,49,124","35,27,931",,
,Retail sales and food services excl motor vehicle and parts,"2,01,276","1,93,218","2,16,565","2,16,684","2,29,936","2,20,956","2,26,082","2,33,779","2,18,358","2,30,060","2,33,701","2,83,678","27,04,293",,
,Retail sales and food services excl gasoline stations,"2,40,928","2,32,036","2,63,056","2,64,762","2,81,879","2,71,343","2,79,109","2,85,040","2,63,759","2,73,230","2,72,257","3,26,850","32,54,249",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"1,80,196","1,72,488","1,92,830","1,93,983","2,06,773","1,98,281","2,02,220","2,08,949","1,95,081","2,06,540","2,11,866","2,61,404","24,30,611",,
,"Retail sales, total","2,36,653","2,27,883","2,58,435","2,59,979","2,75,037","2,65,140","2,73,249","2,78,948","2,59,303","2,67,372","2,66,049","3,20,089","31,88,137",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","1,75,921","1,68,335","1,88,209","1,89,200","1,99,931","1,92,078","1,96,360","2,02,857","1,90,625","2,00,682","2,05,658","2,54,643","23,64,499",,
,GAFO(1),"64,060","63,386","70,851","70,125","75,634","72,596","73,439","80,832","71,586","76,159","87,357","1,24,019","9,30,044",,
441,Motor vehicle and parts dealers,"60,732","59,548","70,226","70,779","75,106","73,062","76,889","76,091","68,678","66,690","60,391","65,446","8,23,638",,
"4411,4412",Automobile and other motor vehicle dealers,"56,108","55,039","65,118","65,518","69,720","67,689","71,233","70,598","63,356","61,144","55,438","60,432","7,61,393",,
4411,Automobile dealers,"53,270","51,982","60,621","60,148","63,900","62,278","65,734","65,682","59,296","57,020","52,113","56,823","7,08,867",,
44111,New car dealers,"49,170","47,674","55,999","55,765","59,506","58,089","61,433","61,356","55,298","53,065","48,536","53,314","6,59,205",,
44112,Used car dealers,"4,100","4,308","4,622","4,383","4,394","4,189","4,301","4,326","3,998","3,955","3,577","3,509","49,662",,
4413,"Automotive parts, acc., and tire stores","4,624","4,509","5,108","5,261","5,386","5,373","5,656","5,493","5,322","5,546","4,953","5,014","62,245",,
