Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2008,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2008,Feb. 2008,Mar. 2008,Apr. 2008,May 2008,Jun. 2008,Jul. 2008,Aug. 2008,Sep. 2008,Oct. 2008,Nov. 2008,Dec. 2008,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","3,35,638","3,36,839","3,65,431","3,61,454","3,89,938","3,70,767","3,76,007","3,75,297","3,43,370","3,42,586","3,28,818","3,76,426","43,02,571",,
,Retail sales and food services excl motor vehicle and parts,"2,71,275","2,69,426","2,90,531","2,89,410","3,15,522","3,03,019","3,07,937","3,07,168","2,84,257","2,88,894","2,82,064","3,25,235","35,34,738",,
,Retail sales and food services excl gasoline stations,"2,97,041","2,99,312","3,23,304","3,17,895","3,41,541","3,20,799","3,24,404","3,26,352","2,98,308","3,02,077","2,99,040","3,50,136","38,00,209",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"2,32,678","2,31,899","2,48,404","2,45,851","2,67,125","2,53,051","2,56,334","2,58,223","2,39,195","2,48,385","2,52,286","2,98,945","30,32,376",,
,"Retail sales, total","3,01,404","3,01,960","3,27,843","3,24,454","3,50,281","3,33,048","3,37,446","3,35,892","3,07,107","3,05,120","2,93,386","3,39,639","38,57,580",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","2,37,041","2,34,547","2,52,943","2,52,410","2,75,865","2,65,300","2,69,376","2,67,763","2,47,994","2,51,428","2,46,632","2,88,448","30,89,747",,
,GAFO(1),"81,714","84,287","90,452","86,210","96,172","91,035","91,188","96,970","83,754","87,404","99,642","1,31,282","11,20,110",,
441,Motor vehicle and parts dealers,"64,363","67,413","74,900","72,044","74,416","67,748","68,070","68,129","59,113","53,692","46,754","51,191","7,67,833",,
"4411,4412",Automobile and other motor vehicle dealers,"58,860","61,761","68,792","65,830","67,967","61,256","61,332","61,729","52,926","47,151","40,902","45,214","6,93,720",,
