Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2006,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2006,Feb. 2006,Mar. 2006,Apr. 2006,May 2006,Jun. 2006,Jul. 2006,Aug. 2006,Sep. 2006,Oct. 2006,Nov. 2006,Dec. 2006,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","3,11,866","3,07,304","3,54,393","3,44,504","3,65,780","3,59,137","3,55,031","3,68,323","3,39,020","3,41,460","3,49,563","4,09,498","42,05,879",,
,Retail sales and food services excl motor vehicle and parts,"2,47,526","2,41,357","2,73,381","2,69,948","2,85,889","2,80,137","2,75,686","2,86,938","2,67,498","2,72,535","2,83,403","3,39,810","33,24,108",,
,Retail sales and food services excl gasoline stations,"2,81,163","2,78,143","3,20,610","3,08,612","3,26,885","3,20,132","3,14,572","3,27,400","3,04,300","3,08,359","3,18,108","3,76,944","37,85,228",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"2,16,823","2,12,196","2,39,598","2,34,056","2,46,994","2,41,132","2,35,227","2,46,015","2,32,778","2,39,434","2,51,948","3,07,256","29,03,457",,
,"Retail sales, total","2,80,257","2,76,443","3,19,457","3,10,254","3,30,553","3,24,306","3,19,640","3,32,599","3,04,494","3,06,570","3,16,565","3,72,686","37,93,824",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","2,15,917","2,10,496","2,38,445","2,35,698","2,50,662","2,45,306","2,40,295","2,51,214","2,32,972","2,37,645","2,50,405","3,02,998","29,12,053",,
,GAFO(1),"77,291","77,823","85,621","84,736","87,846","87,115","85,636","91,622","85,827","87,153","1,00,736","1,42,143","10,93,549",,
441,Motor vehicle and parts dealers,"64,340","65,947","81,012","74,556","79,891","79,000","79,345","81,385","71,522","68,925","66,160","69,688","8,81,771",,
"4411,4412",Automobile and other motor vehicle dealers,"59,009","60,669","74,857","68,835","73,891","72,781","73,341","74,999","65,669","62,911","60,477","64,165","8,11,604",,
4411,Automobile dealers,"55,383","56,434","68,674","62,182","66,486","65,853","67,216","69,372","60,917","58,557","56,380","60,145","7,47,599",,
44111,New car dealers,"50,626","51,312","62,918","56,860","61,019","60,474","61,956","63,874","55,787","53,471","51,715","55,610","6,85,622",,
44112,Used car dealers,"4,757","5,122","5,756","5,322","5,467","5,379","5,260","5,498","5,130","5,086","4,665","4,535","61,977",,
4413,"Automotive parts, acc., and tire stores","5,331","5,278","6,155","5,721","6,000","6,219","6,004","6,386","5,853","6,014","5,683","5,523","70,167",,
"442,443","Furniture, home furn, electronics, and appliance stores","17,023","16,359","17,721","16,012","17,222","17,587","17,334","18,604","17,515","16,881","20,122","26,025","2,18,405",,
442,Furniture and home furnishings stores,"8,381","8,248","9,178","8,346","8,980","9,212","9,018","9,695","9,278","8,953","9,941","10,782","1,10,012",,
4421,Furniture stores,"4,706","4,716","5,061","4,565","4,795","4,917","4,899","5,265","5,038","4,769","5,149","5,177","59,057",,
4422,Home furnishings stores,"3,675","3,532","4,117","3,781","4,185","4,295","4,119","4,430","4,240","4,184","4,792","5,605","50,955",,
44221,Floor covering stores,"1,603","1,649","1,912","1,784","1,976","2,049","1,860","2,044","1,970","1,879","1,886","1,707","22,319",,
442299,All other home furnishings stores,"1,956","1,764","2,060","1,861","2,057","2,094","2,121","2,240","2,135","2,176","2,766","3,786","27,016",,
