Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1998,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 1998,Feb. 1998,Mar. 1998,Apr. 1998,May 1998,Jun. 1998,Jul. 1998,Aug. 1998,Sep. 1998,Oct. 1998,Nov. 1998,Dec. 1998,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","2,02,635","1,98,509","2,24,405","2,28,518","2,38,914","2,37,702","2,35,107","2,34,303","2,25,262","2,37,766","2,34,843","2,81,750","27,79,714",,
,Retail sales and food services excl motor vehicle and parts,"1,53,987","1,48,961","1,65,904","1,69,805","1,78,018","1,74,240","1,76,681","1,77,858","1,69,839","1,79,587","1,83,358","2,27,978","21,06,216",,
,Retail sales and food services excl gasoline stations,"1,87,521","1,84,560","2,09,173","2,12,961","2,22,273","2,21,111","2,17,959","2,17,626","2,09,535","2,21,492","2,19,595","2,65,760","25,89,566",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"1,38,873","1,35,012","1,50,672","1,54,248","1,61,377","1,57,649","1,59,533","1,61,181","1,54,112","1,63,313","1,68,110","2,11,988","19,16,068",,
,"Retail sales, total","1,82,730","1,78,930","2,02,654","2,06,879","2,15,709","2,15,167","2,12,032","2,11,123","2,03,599","2,14,737","2,13,475","2,59,097","25,16,132",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","1,34,082","1,29,382","1,44,153","1,48,166","1,54,813","1,51,705","1,53,606","1,54,678","1,48,176","1,56,558","1,61,990","2,05,325","18,42,634",,
,GAFO(1),"49,801","49,779","55,677","57,225","59,991","58,359","58,418","62,375","57,503","61,526","70,295","1,02,386","7,43,335",,
441,Motor vehicle and parts dealers,"48,648","49,548","58,501","58,713","60,896","63,462","58,426","56,445","55,423","58,179","51,485","53,772","6,73,498",,
"4411,4412",Automobile and other motor vehicle dealers,"44,276","45,298","53,594","53,742","55,879","58,311","53,193","51,349","50,473","52,994","46,835","49,018","6,14,962",,
4411,Automobile dealers,"42,516","43,127","50,727","50,472","52,330","54,862","49,722","48,427","47,761","50,253","44,840","46,838","5,81,875",,
44111,New car dealers,"39,690","39,936","47,249","47,084","48,972","51,218","46,220","44,966","44,560","46,742","41,948","43,974","5,42,559",,
44112,Used car dealers,"2,826","3,191","3,478","3,388","3,358","3,644","3,502","3,461","3,201","3,511","2,892","2,864","39,316",,
4413,"Automotive parts, acc., and tire stores","4,372","4,250","4,907","4,971","5,017","5,151","5,233","5,096","4,950","5,185","4,650","4,754","58,536",,
"442,443","Furniture, home furn, electronics, and appliance stores","11,979","11,286","12,245","11,664","12,104","12,442","12,771","13,077","12,456","12,813","14,241","18,894","1,55,972",,
442,Furniture and home furnishings stores,"5,646","5,411","5,971","5,851","6,034","6,115","6,265","6,301","6,135","6,487","6,968","7,850","75,034",,
4421,Furniture stores,"3,491","3,301","3,577","3,392","3,544","3,528","3,581","3,594","3,526","3,654","3,890","4,079","43,157",,
4422,Home furnishings stores,"2,155","2,110","2,394","2,459","2,490","2,587","2,684","2,707","2,609","2,833","3,078","3,771","31,877",,
44221,Floor covering stores,"1,096","1,119","1,289","1,343","1,298","1,392","1,384","1,405","1,425","1,501","1,424","1,444","16,120",,
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
443,Electronics and appliance stores,"6,333","5,875","6,274","5,813","6,070","6,327","6,506","6,776","6,321","6,326","7,273","11,044","80,938",,
443141,Household appliance stores,808,749,830,817,897,973,"1,014",937,866,908,923,"1,087","10,809",,
443142,Electronics stores,"5,525","5,126","5,444","4,996","5,173","5,354","5,492","5,839","5,455","5,418","6,350","9,957","70,129",,
444,Building mat. and garden equip. and supplies dealers,"13,191","13,187","15,929","18,183","18,976","18,843","18,095","16,891","17,156","17,783","16,031","16,427","2,00,692",,
4441,Building mat. and supplies dealers,"11,311","11,239","13,349","14,698","15,201","15,950","15,751","14,929","15,072","15,555","13,915","13,877","1,70,847",,
44412,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
