Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2000,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2000,Feb. 2000,Mar. 2000,Apr. 2000,May 2000,Jun. 2000,Jul. 2000,Aug. 2000,Sep. 2000,Oct. 2000,Nov. 2000,Dec. 2000,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","2,30,950","2,44,479","2,72,889","2,58,311","2,77,051","2,74,749","2,64,909","2,77,391","2,62,785","2,64,472","2,69,988","3,12,459","32,10,433",,
,Retail sales and food services excl motor vehicle and parts,"1,73,367","1,79,010","1,99,346","1,93,699","2,05,443","2,03,218","1,99,029","2,06,953","1,98,272","2,01,915","2,12,666","2,57,302","24,30,220",,
,Retail sales and food services excl gasoline stations,"2,13,374","2,26,305","2,52,206","2,38,669","2,55,971","2,52,646","2,42,782","2,55,389","2,41,249","2,42,892","2,49,216","2,91,480","29,62,179",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"1,55,791","1,60,836","1,78,663","1,74,057","1,84,363","1,81,115","1,76,902","1,84,951","1,76,736","1,80,335","1,91,894","2,36,323","21,81,966",,
,"Retail sales, total","2,08,890","2,21,662","2,47,840","2,33,673","2,51,700","2,49,293","2,38,970","2,51,694","2,38,007","2,39,482","2,46,309","2,87,426","29,14,946",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","1,51,307","1,56,193","1,74,297","1,69,061","1,80,092","1,77,762","1,73,090","1,81,256","1,73,494","1,76,925","1,88,987","2,32,269","21,34,733",,
,GAFO(1),"56,318","59,327","66,405","65,079","68,512","67,154","65,490","71,406","66,704","67,609","80,000","1,13,663","8,47,667",,
441,Motor vehicle and parts dealers,"57,583","65,469","73,543","64,612","71,608","71,531","65,880","70,438","64,513","62,557","57,322","55,157","7,80,213",,
"4411,4412",Automobile and other motor vehicle dealers,"53,012","60,716","68,074","59,590","66,149","65,970","60,671","64,757","59,195","57,404","52,415","50,439","7,18,392",,
4411,Automobile dealers,"50,467","57,682","63,645","55,487","61,400","61,294","56,879","60,938","55,942","54,350","49,683","47,711","6,75,478",,
44111,New car dealers,"47,032","53,502","59,379","51,683","57,480","57,235","52,953","56,930","52,113","50,745","46,459","44,612","6,30,123",,
44112,Used car dealers,"3,435","4,180","4,266","3,804","3,920","4,059","3,926","4,008","3,829","3,605","3,224","3,099","45,355",,
4413,"Automotive parts, acc., and tire stores","4,571","4,753","5,469","5,022","5,459","5,561","5,209","5,681","5,318","5,153","4,907","4,718","61,821",,
"442,443","Furniture, home furn, electronics, and appliance stores","13,520","13,801","14,651","13,522","14,273","14,101","14,083","15,011","14,211","14,092","15,968","20,168","1,77,401",,
442,Furniture and home furnishings stores,"6,461","6,805","7,420","6,944","7,432","7,287","7,310","7,761","7,337","7,461","8,125","8,411","88,754",,
4421,Furniture stores,"3,821","3,994","4,280","3,955","4,175","4,096","4,126","4,258","4,122","4,078","4,400","4,350","49,655",,
4422,Home furnishings stores,"2,640","2,811","3,140","2,989","3,257","3,191","3,184","3,503","3,215","3,383","3,725","4,061","39,099",,
44221,Floor covering stores,"1,310","1,390","1,636","1,496","1,646","1,648","1,538","1,725","1,580","1,692","1,638","1,389","18,688",,
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
443,Electronics and appliance stores,"7,059","6,996","7,231","6,578","6,841","6,814","6,773","7,250","6,874","6,631","7,843","11,757","88,647",,
443141,Household appliance stores,904,907,989,939,"1,082","1,093","1,013","1,063","1,007","1,021","1,099","1,221","12,338",,
443142,Electronics stores,"6,155","6,089","6,242","5,639","5,759","5,721","5,760","6,187","5,867","5,610","6,744","10,536","76,309",,
444,Building mat. and garden equip. and supplies dealers,"15,257","16,041","19,792","19,875","22,806","21,511","19,482","20,013","18,604","19,332","17,674","16,751","2,27,138",,
4441,Building mat. and supplies dealers,"13,216","13,947","16,936","16,544","18,812","18,363","17,135","17,791","16,428","17,107","15,537","14,398","1,96,214",,
44412,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
44413,Hardware stores,"1,048","1,011","1,284","1,395","1,559","1,514","1,410","1,400","1,297","1,296","1,276","1,352","15,842",,
445,Food and beverage stores,"33,617","32,930","35,838","35,692","36,975","36,821","37,502","37,130","36,153","36,009","37,006","41,500","4,37,173",,
4451,Grocery stores,"31,008","30,195","32,867","32,658","33,728","33,527","34,158","33,874","32,985","32,858","33,633","36,889","3,98,380",,
44511,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
4453,"Beer, wine, and liquor stores","1,810","1,863","2,066","2,011","2,225","2,278","2,326","2,288","2,228","2,223","2,409","3,192","26,919",,
446,Health and personal care stores,"11,817","11,999","12,800","12,285","13,085","12,660","12,383","12,874","12,452","12,919","12,904","15,278","1,53,456",,
44611,Pharmacies and drug stores,"10,054","10,115","10,799","10,441","11,093","10,663","10,504","10,929","10,571","11,069","11,089","13,326","1,30,653",,
447,Gasoline stations,"17,576","18,174","20,683","19,642","21,080","22,103","22,127","22,002","21,536","21,580","20,772","20,979","2,48,254",,
448,Clothing and clothing access. stores,"9,206","10,875","12,535","12,815","13,393","12,638","12,199","14,264","13,046","13,046","15,299","24,187","1,63,503",,
4481,Clothing stores,"6,524","7,295","9,076","9,214","9,287","8,955","8,677","10,111","9,466","9,610","11,253","16,023","1,15,491",,
44811,Men's clothing stores,620,597,692,743,754,735,703,772,735,769,877,"1,302","9,299",,
44812,Women's clothing stores,"1,646","1,949","2,613","2,650","2,750","2,511","2,334","2,587","2,603","2,594","2,766","3,796","30,799",,
44814,Family clothing stores,"3,247","3,601","4,426","4,492","4,542","4,493","4,404","5,144","4,638","4,824","6,038","8,630","58,479",,
44819,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
4482,Shoe stores,"1,382","1,571","1,882","1,985","1,942","1,860","1,831","2,340","1,836","1,719","1,838","2,461","22,647",,
44831,Jewelry stores,"1,181","1,880","1,427","1,482","2,019","1,682","1,551","1,670","1,608","1,585","2,049","5,438","23,572",,
451,"Sporting goods, hobby, musical instrument, and book stores","4,491","4,321","4,874","4,697","4,979","5,087","4,933","5,618","5,276","4,695","5,821","9,588","64,380",,
45111,Sporting goods stores,"1,513","1,600","1,964","1,895","2,081","2,208","2,130","2,150","1,912","1,643","1,847","3,153","24,096",,
45112,"Hobby, toy, and game stores",860,963,"1,064","1,092","1,030","1,055","1,080","1,086","1,126","1,234","2,072","3,609","16,271",,
451211,Book stores,"1,468","1,064","1,006",952,"1,077","1,094","1,022","1,555","1,371",987,"1,071","1,844","14,511",,
452,General merchandise stores,"26,003","27,153","31,114","31,103","32,870","32,423","31,442","33,151","30,982","32,536","39,473","54,803","4,03,053",,
4522,Department stores,"14,848","15,484","17,905","18,206","18,974","18,158","17,355","18,708","17,219","17,980","23,417","34,221","2,32,475",,
45221,Department stores,"14,848","15,484","17,905","18,206","18,974","18,158","17,355","18,708","17,219","17,980","23,417","34,221","2,32,475",,
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"11,155","11,669","13,209","12,897","13,896","14,265","14,087","14,443","13,763","14,556","16,056","20,582","1,70,578",,
452311,Warehouse clubs and supercenters,"9,181","9,473","10,744","10,511","11,341","11,723","11,587","11,873","11,341","11,993","13,140","16,707","1,39,614",,
452319,All other gen. merchandise stores,"1,974","2,196","2,465","2,386","2,555","2,542","2,500","2,570","2,422","2,563","2,916","3,875","30,964",,
453,Miscellaneous store retailers,"7,114","7,884","8,038","7,411","8,031","7,845","7,362","8,035","7,754","7,838","7,925","9,851","95,088",,
4532,"Office supplies, stationery, and gift stores","3,098","3,177","3,231","2,942","2,997","2,905","2,833","3,362","3,189","3,240","3,439","4,917","39,330",,
45321,Office supplies and stationery stores,"2,069","1,950","2,002","1,713","1,741","1,679","1,588","2,100","1,992","1,892","1,742","1,965","22,433",,
45322,"Gift, novelty, and souvenir stores","1,029","1,227","1,229","1,229","1,256","1,226","1,245","1,262","1,197","1,348","1,697","2,952","16,897",,
45330,Used merchandise stores,546,699,685,654,661,617,700,689,614,627,661,802,"7,955",,
454,Nonstore retailers,"12,706","13,015","13,972","12,019","12,600","12,573","11,577","13,158","13,480","14,878","16,145","19,164","1,65,287",,
4541,Electronic shopping and mail-order houses,"7,999","7,988","9,326","8,323","8,602","8,772","8,138","9,190","9,328","10,196","11,242","13,382","1,12,486",,
45431,Fuel dealers,"2,874","2,948","2,268","1,725","1,697","1,579","1,452","1,695","1,927","2,210","2,415","3,506","26,296",,
722,Food services and drinking places,"22,060","22,817","25,049","24,638","25,351","25,456","25,939","25,697","24,778","24,990","23,679","25,033","2,95,487",,
7224,Drinking places,"1,089","1,138","1,286","1,174","1,175","1,172","1,200","1,195","1,150","1,121","1,079","1,164","13,943",,
7225,Restaurants and other eating places,"19,119","19,736","21,619","21,378","21,897","22,041","22,507","22,254","21,341","21,599","20,542","21,659","2,55,692",,
722511,Full service restaurants,"9,841","10,270","11,179","10,959","11,110","11,051","11,460","11,296","10,981","11,169","10,484","11,103","1,30,903",,
"722513, 722514, 722515",Limited service eating places,"9,278","9,466","10,440","10,419","10,787","10,990","11,047","10,958","10,360","10,430","10,058","10,556","1,24,789",,
,ADJUSTED(2),,,,,,,,,,,,,,,
,"Retail and food services sales, total","2,61,545","2,65,686","2,69,019","2,64,067","2,65,992","2,67,750","2,65,683","2,66,885","2,70,523","2,70,339","2,68,850","2,68,338",,,
,Retail sales and food services excl motor vehicle and parts,"1,95,603","1,97,780","2,01,690","2,00,086","2,00,582","2,02,008","2,02,232","2,02,434","2,05,788","2,05,319","2,05,905","2,06,882",,,
,Retail sales and food services excl gasoline stations,"2,42,294","2,45,626","2,48,211","2,44,306","2,45,992","2,46,918","2,44,887","2,46,475","2,49,284","2,49,057","2,47,076","2,46,553",,,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"1,76,352","1,77,720","1,80,882","1,80,325","1,80,582","1,81,176","1,81,436","1,82,024","1,84,549","1,84,037","1,84,131","1,85,097",,,
,"Retail sales, total","2,37,541","2,41,541","2,44,533","2,39,552","2,41,546","2,43,226","2,40,979","2,42,318","2,45,520","2,45,399","2,43,846","2,43,844",,,
,"Retail sales, total (excl. motor vehicle and parts dealers)","1,71,599","1,73,635","1,77,204","1,75,571","1,76,136","1,77,484","1,77,528","1,77,867","1,80,785","1,80,379","1,80,901","1,82,388",,,
,GAFO(1),"68,368","68,953","70,245","70,155","70,589","70,236","70,500","70,823","71,763","71,510","71,451","70,858",,,
441,Motor vehicle and parts dealers,"65,942","67,906","67,329","63,981","65,410","65,742","63,451","64,451","64,735","65,020","62,945","61,456",,,
"4411,4412",Automobile and other motor vehicle dealers,"60,724","62,723","62,055","58,883","60,245","60,579","58,394","59,301","59,433","59,983","57,917","56,294",,,
4413,"Automotive parts, acc., and tire stores","5,218","5,183","5,274","5,098","5,165","5,163","5,057","5,150","5,302","5,037","5,028","5,162",,,
"442,443","Furniture, home furn, electronics, and appliance stores","14,754","14,847","14,877","15,235","14,937","14,602","14,850","14,808","14,887","14,863","14,542","14,228",,,
442,Furniture and home furnishings stores,"7,292","7,341","7,376","7,523","7,469","7,368","7,544","7,470","7,464","7,552","7,353","7,015",,,
443,Electronics and appliance stores,"7,462","7,506","7,501","7,712","7,468","7,234","7,306","7,338","7,423","7,311","7,189","7,213",,,
444,Building mat. and garden equip. and supplies dealers,"19,412","19,078","19,905","18,880","18,855","18,696","18,844","18,770","18,776","18,848","18,554","19,176",,,
4441,Building mat. and supplies dealers,"16,624","16,351","17,038","16,429","16,458","16,265","16,397","16,159","16,138","16,308","15,919","16,306",,,
445,Food and beverage stores,"34,913","35,305","36,003","36,297","36,068","36,679","36,353","36,537","36,785","36,727","37,028","37,391",,,
4451,Grocery stores,"31,836","32,191","32,834","33,122","32,873","33,427","33,099","33,275","33,487","33,426","33,700","34,156",,,
4453,"Beer, wine and liquor stores","2,127","2,154","2,210","2,162","2,216","2,262","2,260","2,283","2,290","2,306","2,332","2,221",,,
446,Health and personal care stores,"12,246","12,194","12,403","12,626","12,655","12,711","12,845","12,874","13,149","13,116","13,194","13,414",,,
44611,Pharmacies and drug stores,"10,365","10,248","10,495","10,764","10,728","10,782","10,976","10,995","11,174","11,203","11,269","11,618",,,
447,Gasoline stations,"19,251","20,060","20,808","19,761","20,000","20,832","20,796","20,410","21,239","21,282","21,774","21,785",,,
448,Clothing and clothing access. stores,"12,986","13,152","13,477","13,428","13,644","13,557","13,379","13,690","14,120","13,807","13,947","13,750",,,
4481,Clothing stores,"9,078","9,213","9,547","9,477","9,615","9,538","9,398","9,656","9,948","9,768","9,961","9,767",,,
44811,Men's clothing stores,767,762,781,779,783,758,797,764,802,771,772,759,,,
44812,Women's clothing stores,"2,280","2,394","2,600","2,519","2,594","2,575","2,588","2,629","2,675","2,642","2,629","2,570",,,
4482,Shoe stores,"1,868","1,855","1,876","1,878","1,882","1,871","1,851","1,898","1,945","1,897","1,899","1,876",,,
44831,Jewelry stores,"1,890","1,936","1,898","1,920","1,995","2,002","1,978","1,988","2,078","1,991","1,935","1,967",,,
451,"Sporting goods, hobby, musical instrument, and book stores","5,156","5,231","5,338","5,393","5,453","5,412","5,506","5,376","5,502","5,347","5,306","5,315",,,
452,General merchandise stores,"32,160","32,459","33,198","32,701","33,293","33,436","33,504","33,737","33,974","34,172","34,405","34,396",,,
4522,Department stores,"19,359","19,140","19,273","19,266","19,421","19,276","19,156","19,168","19,282","19,271","19,466","19,600",,,
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"12,801","13,319","13,925","13,435","13,872","14,160","14,348","14,569","14,692","14,901","14,939","14,796",,,
452311,Warehouse clubs and supercenters,"10,293","10,789","11,333","10,926","11,330","11,595","11,716","11,957","12,039","12,288","12,338","12,231",,,
452319,All other gen. merchandise stores,"2,508","2,530","2,592","2,509","2,542","2,565","2,632","2,612","2,653","2,613","2,601","2,565",,,
453,Miscellaneous stores retailers,"8,127","8,172","8,169","8,076","7,826","7,826","7,795","7,752","7,959","7,948","7,807","7,684",,,
454,Nonstore retailers,"12,594","13,137","13,026","13,174","13,405","13,733","13,656","13,913","14,394","14,269","14,344","15,249",,,
4541,Electronic shopping and mail order houses,"8,601","8,702","9,063","9,126","9,055","9,362","9,279","9,455","9,686","9,683","9,767","10,192",,,
45431,Fuel dealers,"1,893","2,289","1,803","2,010","2,116","2,145","2,177","2,219","2,424","2,293","2,307","2,783",,,
722,Food services and drinking places,"24,004","24,145","24,486","24,515","24,446","24,524","24,704","24,567","25,003","24,940","25,004","24,494",,,
,,,,,,,,,,,,,,,,
(NA) Not advailable,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,,
"Estimates include data only for businesses with paid employees. Prior to the benchmark report released in April 2025, the Monthly Retail Trade Survey estimates included nonemployers.",,,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,,
