Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2012,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2012,Feb. 2012,Mar. 2012,Apr. 2012,May 2012,Jun. 2012,Jul. 2012,Aug. 2012,Sep. 2012,Oct. 2012,Nov. 2012,Dec. 2012,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","3,48,324","3,64,874","4,05,875","3,85,203","4,10,270","3,92,930","3,88,382","4,09,946","3,78,221","3,91,653","4,03,314","4,53,109","47,32,101",,
,Retail sales and food services excl motor vehicle and parts,"2,87,392","2,96,206","3,26,494","3,13,292","3,32,058","3,18,532","3,14,609","3,30,805","3,08,260","3,20,708","3,34,864","3,80,076","38,63,296",,
,Retail sales and food services excl gasoline stations,"3,07,042","3,22,787","3,57,632","3,37,687","3,61,219","3,46,576","3,41,839","3,59,856","3,31,094","3,42,722","3,58,891","4,10,500","41,77,845",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"2,46,110","2,54,119","2,78,251","2,65,776","2,83,007","2,72,178","2,68,066","2,80,715","2,61,133","2,71,777","2,90,441","3,37,467","33,09,040",,
,"Retail sales, total","3,09,548","3,24,839","3,61,240","3,42,428","3,65,885","3,49,134","3,44,863","3,66,007","3,36,193","3,49,077","3,61,767","4,08,838","42,19,819",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","2,48,616","2,56,171","2,81,859","2,70,517","2,87,673","2,74,736","2,71,090","2,86,866","2,66,232","2,78,132","2,93,317","3,35,805","33,51,014",,
,GAFO(1),"82,277","89,992","97,432","90,494","96,441","94,226","92,274","1,00,318","90,672","92,655","1,08,071","1,40,427","11,75,279",,
441,Motor vehicle and parts dealers,"60,932","68,668","79,381","71,911","78,212","74,398","73,773","79,141","69,961","70,945","68,450","73,033","8,68,805",,
"4411,4412",Automobile and other motor vehicle dealers,"54,792","62,156","72,254","65,214","71,120","67,315","66,749","71,803","63,304","63,705","61,816","66,843","7,87,071",,
4411,Automobile dealers,"51,992","59,037","67,482","60,606","65,937","62,221","62,307","67,250","59,829","60,311","58,862","63,943","7,39,777",,
44111,New car dealers,"47,079","52,590","61,011","54,921","60,368","56,655","56,940","61,183","54,463","54,878","53,655","58,807","6,72,550",,
