Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2023,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2023,Feb. 2023,Mar. 2023,Apr. 2023,May 2023,Jun. 2023,Jul. 2023,Aug. 2023,Sep. 2023,Oct. 2023,Nov. 2023,Dec. 2023,TOTAL,
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"63,710","61,296","66,161","68,604","71,000","69,955","70,394","71,986","67,785","70,512","73,164","85,913","8,40,480",
452311,Warehouse clubs and supercenters,"56,331","53,967","57,862","60,156","61,989","61,259","62,019","63,529","59,542","61,857","63,717","74,896","7,37,124",
452319,All other gen. merchandise stores,"7,379","7,329","8,299","8,448","9,011","8,696","8,375","8,457","8,243","8,655","9,447","11,017","1,03,356",
453,Miscellaneous store retailers,"11,380","10,959","12,540","12,634","14,071","13,919","12,966","12,953","13,009","13,853","13,113","13,724","1,55,121",
4532,"Office supplies, stationery, and gift stores","1,994","1,870","2,174","2,085","2,347","2,368","2,566","2,566","2,441","2,914","1,904","2,572","27,801",
45321,Office supplies and stationery stores,902,734,840,734,761,720,768,"1,012",790,703,622,721,"9,307",
45322,"Gift, novelty, and souvenir stores","1,092","1,136","1,334","1,351","1,586","1,648","1,798","1,554","1,651","2,211","1,282","1,851","18,494",
45330,Used merchandise stores,"1,753","1,653","1,910","1,989","1,742","1,667","1,697","1,737","1,772","1,913","1,706","1,844","21,383",
454,Nonstore retailers,"1,01,509","94,577","1,06,034","1,01,330","1,09,762","1,04,532","1,06,962","1,09,276","1,02,648","1,12,590","1,28,240","1,37,158","13,14,618",
4541,Electronic shopping and mail-order houses,"92,578","86,249","97,356","94,489","1,02,711","97,512","1,00,760","1,02,108","95,827","1,05,092","1,20,381","1,29,134","12,24,197",
45431,Fuel dealers,"5,092","4,515","4,357","2,799","2,514","2,394","1,997","2,405","2,570","3,194","3,744","4,153","39,734",
722,Food services and drinking places,"80,520","78,850","90,141","87,659","92,260","91,277","92,199","91,624","89,814","90,812","86,531","94,414","10,66,101",
7224,Drinking places,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
7225,Restaurants and other eating places,"72,819","70,729","80,693","78,295","82,643","82,172","83,701","81,920","79,055","80,141","76,758","84,971","9,53,897",
722511,Full service restaurants,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
"722513, 722514, 722515",Limited service eating places,"36,285","35,420","40,987","40,432","42,246","42,044","42,797","42,078","40,540","41,087","38,936","41,444","4,84,296",
,ADJUSTED(2),,,,,,,,,,,,,,
,"Retail and food services sales, total","6,80,253","6,72,152","6,65,071","6,70,494","6,73,902","6,77,117","6,78,424","6,84,755","6,89,403","6,86,148","6,85,328","6,86,277",,
,Retail sales and food services excl motor vehicle and parts,"5,47,880","5,43,895","5,38,675","5,42,521","5,43,792","5,44,674","5,47,943","5,53,381","5,56,575","5,55,690","5,55,244","5,56,052",,
,Retail sales and food services excl gasoline stations,"6,24,172","6,17,342","6,10,463","6,16,528","6,21,260","6,25,193","6,26,362","6,29,005","6,31,862","6,30,517","6,31,667","6,33,319",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"4,91,799","4,89,085","4,84,067","4,88,555","4,91,150","4,92,750","4,95,881","4,97,631","4,99,034","5,00,059","5,01,583","5,03,094",,
,"Retail sales, total","5,91,964","5,86,165","5,78,812","5,83,874","5,86,286","5,88,670","5,89,257","5,95,191","5,98,956","5,95,517","5,93,567","5,94,256",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","4,59,591","4,57,908","4,52,416","4,55,901","4,56,176","4,56,227","4,58,776","4,63,817","4,66,128","4,65,059","4,63,483","4,64,031",,
,GAFO(1),"1,30,009","1,28,733","1,25,772","1,26,862","1,26,624","1,27,385","1,27,925","1,28,318","1,27,721","1,27,448","1,27,541","1,27,513",,
441,Motor vehicle and parts dealers,"1,32,373","1,28,257","1,26,396","1,27,973","1,30,110","1,32,443","1,30,481","1,31,374","1,32,828","1,30,458","1,30,084","1,30,225",,
"4411,4412",Automobile and other motor vehicle dealers,"1,21,931","1,17,666","1,16,193","1,17,322","1,19,357","1,21,515","1,19,489","1,20,419","1,21,812","1,19,364","1,19,030","1,19,195",,
4413,"Automotive parts, acc., and tire stores","10,442","10,591","10,203","10,651","10,753","10,928","10,992","10,955","11,016","11,094","11,054","11,030",,
"442,443","Furniture, home furn, electronics, and appliance stores","20,528","19,505","19,239","18,949","18,814","18,971","18,630","18,749","18,632","18,510","18,417","17,795",,
442,Furniture and home furnishings stores,"12,652","11,864","11,588","11,416","11,293","11,361","11,194","11,178","10,971","10,881","11,052","10,659",,
443,Electronics and appliance stores,"7,876","7,641","7,651","7,533","7,521","7,610","7,436","7,571","7,661","7,629","7,365","7,136",,
444,Building mat. and garden equip. and supplies dealers,"42,941","42,268","40,431","40,815","41,622","40,807","40,702","40,914","40,631","40,338","40,323","40,720",,
4441,Building mat. and supplies dealers,"37,259","36,558","35,154","35,267","35,884","35,138","35,078","35,320","34,928","34,705","34,740","35,363",,
445,Food and beverage stores,"80,632","81,271","80,761","80,500","80,658","80,470","80,666","81,199","81,235","81,323","81,530","81,272",,
4451,Grocery stores,"72,415","73,258","72,847","72,589","72,567","72,416","72,555","73,142","73,129","73,164","73,358","73,098",,
4453,"Beer, wine and liquor stores","6,047","5,856","5,790","5,849","5,919","5,841","5,884","5,840","5,883","5,907","5,912","5,948",,
446,Health and personal care stores,"34,603","35,070","35,207","35,493","35,745","35,734","35,455","36,097","36,011","37,298","37,150","36,210",,
44611,Pharmacies and drug stores,"29,098","29,513","29,910","29,936","30,287","30,346","30,132","30,658","30,536","31,917","31,694","30,707",,
447,Gasoline stations,"56,081","54,810","54,608","53,966","52,642","51,924","52,062","55,750","57,541","55,631","53,661","52,958",,
448,Clothing and clothing access. stores,"24,950","24,660","24,410","24,368","24,290","24,402","24,718","25,104","24,811","24,683","24,838","25,141",,
4481,Clothing stores,"17,473","17,441","17,250","17,167","17,026","17,078","17,466","17,782","17,666","17,450","17,491","17,731",,
44811,Men's clothing stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
44812,Women's clothing stores,"3,013","2,982","2,898","2,914","2,947","2,912","2,986","2,989","3,038","2,997","2,932","3,007",,
4482,Shoe stores,"3,432","3,339","3,262","3,293","3,309","3,341","3,302","3,385","3,361","3,337","3,289","3,309",,
44831,Jewelry stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
451,"Sporting goods, hobby, musical instrument, and book stores","8,283","8,209","8,175","8,303","8,218","8,200","8,429","8,182","8,136","8,124","8,173","7,979",,
452,General merchandise stores,"73,792","73,923","71,547","72,852","72,927","73,449","73,694","74,113","73,862","73,829","73,961","74,434",,
4522,Department stores,"3,572","3,664","3,487","3,369","3,449","3,439","3,449","3,461","3,401","3,388","3,381","3,527",,
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"70,220","70,259","68,060","69,483","69,478","70,010","70,245","70,652","70,461","70,441","70,580","70,907",,
452311,Warehouse clubs and supercenters,"61,699","61,677","59,652","61,010","60,953","61,443","61,466","62,040","61,766","61,734","61,921","62,051",,
452319,All other gen. merchandise stores,"8,521","8,582","8,408","8,473","8,525","8,567","8,779","8,612","8,695","8,707","8,659","8,856",,
453,Miscellaneous stores retailers,"13,030","12,777","12,662","12,874","12,848","13,233","12,952","12,359","13,002","13,196","13,333","13,220",,
454,Nonstore retailers,"1,04,751","1,05,415","1,05,376","1,07,781","1,08,412","1,09,037","1,11,468","1,11,350","1,12,267","1,12,127","1,12,097","1,14,302",,
4541,Electronic shopping and mail order houses,"97,246","97,899","97,845","1,00,200","1,00,895","1,01,259","1,03,983","1,03,453","1,04,387","1,04,673","1,04,679","1,07,076",,
45431,Fuel dealers,"3,272","3,265","3,455","3,405","3,265","3,372","3,216","3,446","3,564","3,355","3,319","3,104",,
722,Food services and drinking places,"88,289","85,987","86,259","86,620","87,616","88,447","89,167","89,564","90,447","90,631","91,761","92,021",,
,,,,,,,,,,,,,,,
"(S) Suppressed - Estimate does not meet publication standards because of high sampling variability (coefficient of variation is greater than 30%), poor response quality (total quantity response rate",,,,,,,,,,,,,,,
"is less than 50%), or other concerns about the estimate's quality.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,
"Estimates include data only for businesses with paid employees. Prior to the benchmark report released in April 2025, the Monthly Retail Trade Survey estimates included nonemployers.",,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
