Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2023,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2023,Feb. 2023,Mar. 2023,Apr. 2023,May 2023,Jun. 2023,Jul. 2023,Aug. 2023,Sep. 2023,Oct. 2023,Nov. 2023,Dec. 2023,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","6,16,100","5,95,432","6,79,701","6,61,990","7,08,199","6,88,753","6,83,349","7,05,135","6,69,120","6,85,078","6,94,957","7,51,657","81,39,471",
,Retail sales and food services excl motor vehicle and parts,"5,00,486","4,79,154","5,41,047","5,31,201","5,68,188","5,51,610","5,50,598","5,65,912","5,38,130","5,57,921","5,72,820","6,23,235","65,80,302",
,Retail sales and food services excl gasoline stations,"5,66,132","5,48,021","6,25,366","6,08,618","6,51,714","6,32,779","6,26,758","6,44,591","6,11,291","6,27,277","6,43,496","7,02,936","74,88,979",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"4,50,518","4,31,743","4,86,712","4,77,829","5,11,703","4,95,636","4,94,007","5,05,368","4,80,301","5,00,120","5,21,359","5,74,514","59,29,810",
,"Retail sales, total","5,35,580","5,16,582","5,89,560","5,74,331","6,15,939","5,97,476","5,91,150","6,13,511","5,79,306","5,94,266","6,08,426","6,57,243","70,73,370",
,"Retail sales, total (excl. motor vehicle and parts dealers)","4,19,966","4,00,304","4,50,906","4,43,542","4,75,928","4,60,333","4,58,399","4,74,288","4,48,316","4,67,109","4,86,289","5,28,821","55,14,201",
,GAFO(1),"1,11,967","1,09,748","1,22,441","1,22,357","1,28,667","1,25,866","1,26,337","1,31,711","1,22,169","1,25,344","1,36,621","1,67,036","15,30,264",
441,Motor vehicle and parts dealers,"1,15,614","1,16,278","1,38,654","1,30,789","1,40,011","1,37,143","1,32,751","1,39,223","1,30,990","1,27,157","1,22,137","1,28,422","15,59,169",
"4411,4412",Automobile and other motor vehicle dealers,"1,06,080","1,06,958","1,27,696","1,20,255","1,28,667","1,25,647","1,21,759","1,27,403","1,19,985","1,15,664","1,11,293","1,18,241","14,29,648",
4411,Automobile dealers,"1,00,290","1,00,220","1,18,756","1,11,480","1,18,432","1,15,806","1,13,024","1,19,244","1,12,162","1,09,028","1,05,540","1,12,492","13,36,474",
44111,New car dealers,"89,116","87,716","1,03,447","97,917","1,04,422","1,02,810","1,00,384","1,05,510","99,854","97,099","94,830","1,02,497","11,85,602",
44112,Used car dealers,"11,174","12,504","15,309","13,563","14,010","12,996","12,640","13,734","12,308","11,929","10,710","9,995","1,50,872",
4413,"Automotive parts, acc., and tire stores","9,534","9,320","10,958","10,534","11,344","11,496","10,992","11,820","11,005","11,493","10,844","10,181","1,29,521",
"442,443","Furniture, home furn, electronics, and appliance stores","18,517","17,410","19,466","17,437","18,686","18,560","18,042","19,267","18,485","18,008","20,583","21,316","2,25,777",
442,Furniture and home furnishings stores,"11,121","10,678","12,098","10,868","11,541","11,338","10,970","11,726","11,092","10,707","11,958","11,490","1,35,587",
4421,Furniture stores,"6,074","5,895","6,675","5,797","6,106","6,352","6,189","6,432","6,378","5,667","6,448","6,146","74,159",
4422,Home furnishings stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
44221,Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
442299,All other home furnishings stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
443,Electronics and appliance stores,"7,396","6,732","7,368","6,569","7,145","7,222","7,072","7,541","7,393","7,301","8,625","9,826","90,190",
443141,Household appliance stores,"1,695","1,614","1,831","1,646","1,789","1,834","1,734","1,925","1,764","1,794","1,841","1,706","21,173",
443142,Electronics stores,"5,701","5,118","5,537","4,923","5,356","5,388","5,338","5,616","5,629","5,507","6,784","8,120","69,017",
444,Building mat. and garden equip. and supplies dealers,"34,795","33,711","41,509","42,867","50,120","45,974","41,538","43,636","39,666","41,722","39,514","36,403","4,91,455",
4441,Building mat. and supplies dealers,"30,403","29,246","35,752","35,937","42,271","39,460","36,341","38,428","34,579","36,128","34,288","31,544","4,24,377",
44412,Paint and wallpaper stores,"1,162","1,188","1,478","1,400","1,666","1,642","1,495","1,654","1,484","1,506","1,269","1,109","17,053",
44413,Hardware stores,"2,779","2,676","3,334","3,460","3,959","3,846","3,483","3,593","3,269","3,440","3,307","3,327","40,473",
445,Food and beverage stores,"78,222","73,539","80,134","78,994","82,782","80,595","82,463","82,168","79,965","80,706","82,614","88,375","9,70,557",
4451,Grocery stores,"71,401","66,738","72,628","71,428","74,526","72,344","74,151","74,166","72,032","72,725","74,018","77,484","8,73,641",
44511,Supermarkets and other grocery (except convenience) stores,"68,249","63,646","69,284","67,983","70,957","68,823","70,565","70,569","68,511","69,378","70,813","74,231","8,33,009",
4453,"Beer, wine, and liquor stores","4,983","4,972","5,535","5,527","6,067","6,040","6,096","5,834","5,783","5,736","6,166","7,863","70,602",
446,Health and personal care stores,"34,119","32,229","36,087","34,073","36,388","35,841","34,108","36,566","35,471","38,007","36,630","39,976","4,29,495",
44611,Pharmacies and drug stores,"29,127","27,211","30,448","28,828","30,923","30,346","29,017","31,087","30,170","33,002","31,219","32,918","3,64,296",
447,Gasoline stations,"49,968","47,411","54,335","53,372","56,485","55,974","56,591","60,544","57,829","57,801","51,461","48,721","6,50,492",
448,Clothing and clothing access. stores,"18,427","19,902","23,641","23,422","25,160","23,528","24,075","25,772","22,573","23,143","27,490","39,318","2,96,451",
4481,Clothing stores,"13,006","13,678","16,871","16,843","17,577","16,711","17,278","18,044","16,221","16,795","20,028","25,954","2,09,006",
44811,Men's clothing stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
44812,Women's clothing stores,"2,233","2,421","3,025","3,022","3,224","2,804","2,905","2,932","2,834","2,838","3,240","4,068","35,546",
44814,Family clothing stores,"7,409","7,612","9,720","9,772","10,205","9,911","10,419","10,909","9,644","10,150","12,352","16,017","1,24,120",
44819,Other clothing stores,"1,395","1,512","1,675","1,491","1,454","1,587","1,626","1,622","1,358","1,373","1,669","1,993","18,755",
4482,Shoe stores,"2,351","2,688","3,353","3,171","3,316","3,134","3,460","4,299","3,085","3,007","3,388","4,679","39,931",
44831,Jewelry stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
451,"Sporting goods, hobby, musical instrument, and book stores","6,933","6,493","7,889","7,622","7,980","8,274","8,159","8,853","7,892","7,620","9,047","11,466","98,228",
45111,Sporting goods stores,"3,892","3,898","5,033","5,018","5,192","5,538","5,476","5,695","4,762","4,668","5,150","6,839","61,161",
45112,"Hobby, toy, and game stores","1,466","1,394","1,557","1,401","1,461","1,462","1,450","1,552","1,665","1,680","2,565","2,783","20,436",
451211,Book stores,875,533,565,552,619,556,560,835,691,531,567,"1,019","7,903",
452,General merchandise stores,"66,096","64,073","69,271","71,791","74,494","73,136","73,495","75,253","70,778","73,659","77,597","92,364","8,82,007",
4522,Department stores,"2,386","2,777","3,110","3,187","3,494","3,181","3,101","3,267","2,993","3,147","4,433","6,451","41,527",
45221,Department stores,"2,386","2,777","3,110","3,187","3,494","3,181","3,101","3,267","2,993","3,147","4,433","6,451","41,527",
