Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2001,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2001,Feb. 2001,Mar. 2001,Apr. 2001,May 2001,Jun. 2001,Jul. 2001,Aug. 2001,Sep. 2001,Oct. 2001,Nov. 2001,Dec. 2001,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","2,44,871","2,41,890","2,73,853","2,68,665","2,89,238","2,81,437","2,72,905","2,88,224","2,56,112","2,85,126","2,80,985","3,18,567","33,01,873",,
,Retail sales and food services excl motor vehicle and parts,"1,86,834","1,81,656","2,03,903","2,02,802","2,16,432","2,10,162","2,05,247","2,16,330","1,96,343","2,06,919","2,17,000","2,58,709","25,02,337",,
,Retail sales and food services excl gasoline stations,"2,24,903","2,23,069","2,53,183","2,47,134","2,65,532","2,58,334","2,50,965","2,65,705","2,34,863","2,64,814","2,62,658","3,00,840","30,52,000",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"1,66,866","1,62,835","1,83,233","1,81,271","1,92,726","1,87,059","1,83,307","1,93,811","1,75,094","1,86,607","1,98,673","2,40,982","22,52,464",,
,"Retail sales, total","2,21,577","2,18,731","2,47,585","2,43,520","2,62,673","2,54,671","2,46,061","2,60,695","2,31,126","2,59,459","2,56,152","2,91,800","29,94,050",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","1,63,540","1,58,497","1,77,635","1,77,657","1,89,867","1,83,396","1,78,403","1,88,801","1,71,357","1,81,252","1,92,167","2,31,942","21,94,514",,
,GAFO(1),"59,820","59,793","67,111","66,429","69,942","68,529","66,893","74,522","65,200","69,150","82,974","1,17,277","8,67,640",,
441,Motor vehicle and parts dealers,"58,037","60,234","69,950","65,863","72,806","71,275","67,658","71,894","59,769","78,207","63,985","59,858","7,99,536",,
"4411,4412",Automobile and other motor vehicle dealers,"53,645","55,902","64,896","60,892","67,468","65,973","62,414","66,327","54,990","73,038","59,181","55,346","7,40,072",,
4411,Automobile dealers,"50,972","53,131","60,906","56,278","62,402","61,107","57,963","62,187","52,042","69,820","56,198","52,420","6,95,426",,
44111,New car dealers,"47,305","49,251","56,675","52,337","58,144","57,024","54,088","58,125","48,652","65,946","52,687","49,179","6,49,413",,
44112,Used car dealers,"3,667","3,880","4,231","3,941","4,258","4,083","3,875","4,062","3,390","3,874","3,511","3,241","46,013",,
4413,"Automotive parts, acc., and tire stores","4,392","4,332","5,054","4,971","5,338","5,302","5,244","5,567","4,779","5,169","4,804","4,512","59,464",,
"442,443","Furniture, home furn, electronics, and appliance stores","13,748","13,067","14,218","12,768","13,758","13,941","13,886","14,894","13,235","13,964","16,549","21,775","1,75,803",,
442,Furniture and home furnishings stores,"6,866","6,619","7,372","6,753","7,351","7,291","7,259","7,757","6,888","7,399","8,320","9,178","89,053",,
4421,Furniture stores,"3,974","3,854","4,266","3,811","4,068","4,141","4,065","4,247","3,873","4,050","4,543","4,700","49,592",,
4422,Home furnishings stores,"2,892","2,765","3,106","2,942","3,283","3,150","3,194","3,510","3,015","3,349","3,777","4,478","39,461",,
44221,Floor covering stores,"1,375","1,367","1,572","1,520","1,627","1,565","1,554","1,643","1,509","1,628","1,552","1,490","18,402",,
442299,All other home furnishings stores,"1,435","1,327","1,451","1,351","1,575","1,504","1,552","1,772","1,423","1,624","2,115","2,878","20,007",,
443,Electronics and appliance stores,"6,882","6,448","6,846","6,015","6,407","6,650","6,627","7,137","6,347","6,565","8,229","12,597","86,750",,
443141,Household appliance stores,974,917,"1,020",976,"1,056","1,140","1,117","1,199","1,025","1,140","1,223","1,401","13,188",,
443142,Electronics stores,"5,908","5,531","5,826","5,039","5,351","5,510","5,510","5,938","5,322","5,425","7,006","11,196","73,562",,
