Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2004,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2004,Feb. 2004,Mar. 2004,Apr. 2004,May 2004,Jun. 2004,Jul. 2004,Aug. 2004,Sep. 2004,Oct. 2004,Nov. 2004,Dec. 2004,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","2,75,083","2,75,798","3,11,813","3,08,141","3,21,106","3,13,856","3,20,818","3,19,072","3,06,451","3,12,375","3,16,833","3,78,209","37,59,555",,
,Retail sales and food services excl motor vehicle and parts,"2,15,317","2,12,063","2,34,847","2,36,483","2,45,252","2,40,082","2,43,593","2,44,302","2,34,362","2,45,159","2,53,039","3,07,200","29,11,699",,
,Retail sales and food services excl gasoline stations,"2,52,424","2,53,354","2,86,333","2,82,056","2,92,661","2,85,585","2,91,668","2,90,472","2,79,223","2,82,961","2,89,276","3,51,021","34,37,034",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"1,92,658","1,89,619","2,09,367","2,10,398","2,16,807","2,11,811","2,14,443","2,15,702","2,07,134","2,15,745","2,25,482","2,80,012","25,89,178",,
,"Retail sales, total","2,47,209","2,47,809","2,81,528","2,78,111","2,89,868","2,83,390","2,88,606","2,87,769","2,76,727","2,81,014","2,87,657","3,46,563","33,96,251",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","1,87,443","1,84,074","2,04,562","2,06,453","2,14,014","2,09,616","2,11,381","2,12,999","2,04,638","2,13,798","2,23,863","2,75,554","25,48,395",,
,GAFO(1),"69,332","71,091","76,349","75,859","79,273","76,625","78,413","81,723","75,721","80,526","91,131","1,31,329","9,87,372",,
441,Motor vehicle and parts dealers,"59,766","63,735","76,966","71,658","75,854","73,774","77,225","74,770","72,089","67,216","63,794","71,009","8,47,856",,
"4411,4412",Automobile and other motor vehicle dealers,"55,006","58,869","71,298","66,154","70,456","68,083","71,504","69,086","66,715","61,769","58,539","65,627","7,83,106",,
4411,Automobile dealers,"51,866","54,973","65,446","60,000","64,013","61,686","65,464","63,998","62,410","57,760","55,114","61,663","7,24,393",,
44111,New car dealers,"47,864","50,583","60,638","55,577","59,332","57,265","60,858","59,245","57,974","53,128","50,719","57,370","6,70,553",,
44112,Used car dealers,"4,002","4,390","4,808","4,423","4,681","4,421","4,606","4,753","4,436","4,632","4,395","4,293","53,840",,
4413,"Automotive parts, acc., and tire stores","4,760","4,866","5,668","5,504","5,398","5,691","5,721","5,684","5,374","5,447","5,255","5,382","64,750",,
"442,443","Furniture, home furn, electronics, and appliance stores","14,921","14,674","15,784","14,699","15,238","15,823","16,340","16,706","15,799","16,058","18,606","24,490","1,99,138",,
442,Furniture and home furnishings stores,"7,437","7,400","8,259","7,765","7,886","8,209","8,649","8,639","8,211","8,479","9,336","10,625","1,00,895",,
4421,Furniture stores,"4,274","4,245","4,543","4,220","4,369","4,482","4,749","4,691","4,437","4,591","4,914","5,217","54,732",,
4422,Home furnishings stores,"3,163","3,155","3,716","3,545","3,517","3,727","3,900","3,948","3,774","3,888","4,422","5,408","46,163",,
44221,Floor covering stores,"1,377","1,459","1,737","1,675","1,576","1,711","1,749","1,756","1,774","1,782","1,753","1,683","20,032",,
