Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2007,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2007,Feb. 2007,Mar. 2007,Apr. 2007,May 2007,Jun. 2007,Jul. 2007,Aug. 2007,Sep. 2007,Oct. 2007,Nov. 2007,Dec. 2007,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","3,22,161","3,16,402","3,66,414","3,51,160","3,83,341","3,68,646","3,64,577","3,79,983","3,46,368","3,60,751","3,69,985","4,17,205","43,46,993",,
,Retail sales and food services excl motor vehicle and parts,"2,56,935","2,48,502","2,84,328","2,75,543","2,99,987","2,90,553","2,87,145","2,97,107","2,74,453","2,87,852","3,04,047","3,49,505","34,55,957",,
,Retail sales and food services excl gasoline stations,"2,91,343","2,86,741","3,30,934","3,14,609","3,42,107","3,28,302","3,24,014","3,39,723","3,08,804","3,21,435","3,30,286","3,78,282","38,96,580",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"2,26,117","2,18,841","2,48,848","2,38,992","2,58,753","2,50,209","2,46,582","2,56,847","2,36,889","2,48,536","2,64,348","3,10,582","30,05,544",,
,"Retail sales, total","2,89,371","2,84,100","3,29,100","3,15,512","3,45,982","3,31,186","3,27,027","3,42,121","3,10,552","3,24,120","3,34,921","3,79,597","39,13,589",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","2,24,145","2,16,200","2,47,014","2,39,895","2,62,628","2,53,093","2,49,595","2,59,245","2,38,637","2,51,221","2,68,983","3,11,897","30,22,553",,
,GAFO(1),"80,706","79,732","90,558","85,683","92,106","90,289","88,569","96,463","86,196","89,385","1,05,095","1,41,204","11,25,986",,
441,Motor vehicle and parts dealers,"65,226","67,900","82,086","75,617","83,354","78,093","77,432","82,876","71,915","72,899","65,938","67,700","8,91,036",,
"4411,4412",Automobile and other motor vehicle dealers,"59,859","62,627","75,779","69,738","76,956","71,739","71,155","76,267","66,041","66,361","59,993","62,103","8,18,618",,
