Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2018,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2018,Feb. 2018,Mar. 2018,Apr. 2018,May 2018,Jun. 2018,Jul. 2018,Aug. 2018,Sep. 2018,Oct. 2018,Nov. 2018,Dec. 2018,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","4,37,073","4,27,541","4,99,305","4,71,784","5,18,787","4,98,145","4,96,160","5,11,157","4,68,559","4,94,468","5,08,963","5,46,135","58,78,077",
,Retail sales and food services excl motor vehicle and parts,"3,50,267","3,39,400","3,91,384","3,73,992","4,11,265","3,95,009","3,94,087","4,04,557","3,74,021","3,96,816","4,14,949","4,46,224","46,91,971",
,Retail sales and food services excl gasoline stations,"3,98,200","3,90,742","4,57,209","4,29,080","4,71,184","4,51,232","4,48,914","4,63,131","4,23,982","4,47,266","4,66,861","5,07,882","53,55,683",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"3,11,394","3,02,601","3,49,288","3,31,288","3,63,662","3,48,096","3,46,841","3,56,531","3,29,444","3,49,614","3,72,847","4,07,971","41,69,577",
,"Retail sales, total","3,83,518","3,73,757","4,36,977","4,12,713","4,56,007","4,35,878","4,33,928","4,47,962","4,09,992","4,34,309","4,51,372","4,84,750","51,61,163",
,"Retail sales, total (excl. motor vehicle and parts dealers)","2,96,712","2,85,616","3,29,056","3,14,921","3,48,485","3,32,742","3,31,855","3,41,362","3,15,454","3,36,657","3,57,358","3,84,839","39,75,057",
,GAFO(1),"90,051","91,479","1,06,919","97,513","1,08,970","1,04,430","1,03,664","1,09,793","98,730","1,03,630","1,19,366","1,44,084","12,78,629",
441,Motor vehicle and parts dealers,"86,806","88,141","1,07,921","97,792","1,07,522","1,03,136","1,02,073","1,06,600","94,538","97,652","94,014","99,911","11,86,106",
"4411,4412",Automobile and other motor vehicle dealers,"79,767","81,309","99,813","90,268","99,336","95,166","94,122","98,296","87,008","89,448","86,350","92,915","10,93,798",
4411,Automobile dealers,"75,746","76,479","93,094","83,086","91,339","87,202","87,169","91,447","81,328","84,131","81,637","88,592","10,21,250",
44111,New car dealers,"67,802","67,551","82,957","74,480","82,220","78,367","78,313","82,303","73,181","75,818","73,718","80,918","9,17,628",
44112,Used car dealers,"7,944","8,928","10,137","8,606","9,119","8,835","8,856","9,144","8,147","8,313","7,919","7,674","1,03,622",
4413,"Automotive parts, acc., and tire stores","7,039","6,832","8,108","7,524","8,186","7,970","7,951","8,304","7,530","8,204","7,664","6,996","92,308",
"442,443","Furniture, home furn, electronics, and appliance stores","15,840","15,356","17,420","15,866","17,152","17,066","16,960","17,906","16,735","16,977","20,025","21,804","2,09,107",
442,Furniture and home furnishings stores,"8,679","8,508","9,963","9,152","9,883","9,692","9,703","10,169","9,560","9,746","10,563","10,912","1,16,530",
4421,Furniture stores,"4,643","4,722","5,584","4,934","5,289","5,317","5,205","5,446","5,312","5,097","5,426","5,352","62,327",
4422,Home furnishings stores,"4,036","3,786","4,379","4,218","4,594","4,375","4,498","4,723","4,248","4,649","5,137","5,560","54,203",
44221,Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
442299,All other home furnishings stores,"2,245","2,009","2,295","2,131","2,338","2,156","2,299","2,474","2,212","2,394","3,089","3,741","29,383",
443,Electronics and appliance stores,"7,161","6,848","7,457","6,714","7,269","7,374","7,257","7,737","7,175","7,231","9,462","10,892","92,577",
443141,Household appliance stores,"1,218","1,215","1,410","1,297","1,477","1,460","1,446","1,502","1,333","1,400","1,522","1,393","16,673",
443142,Electronics stores,"5,943","5,633","6,047","5,417","5,792","5,914","5,811","6,235","5,842","5,831","7,940","9,499","75,904",
444,Building mat. and garden equip. and supplies dealers,"23,406","23,391","29,618","31,905","37,806","34,857","33,031","31,962","29,217","32,350","29,776","27,420","3,64,739",
4441,Building mat. and supplies dealers,"20,988","20,679","25,604","27,354","32,302","30,528","29,612","28,575","25,952","28,459","26,355","23,897","3,20,305",
44412,Paint and wallpaper stores,797,816,987,"1,008","1,143","1,164","1,139","1,183","1,028","1,124",917,798,"12,104",
44413,Hardware stores,"1,911","1,805","2,291","2,337","2,699","2,480","2,320","2,324","2,134","2,338","2,220","2,218","27,077",
445,Food and beverage stores,"59,758","55,851","63,078","58,847","63,832","62,120","62,729","62,990","60,626","61,977","63,172","67,521","7,42,501",
4451,Grocery stores,"54,586","50,649","57,005","53,249","57,521","55,813","56,401","56,728","54,685","55,809","56,542","59,148","6,68,136",
44511,Supermarkets and other grocery (except convenience) stores,"52,443","48,518","54,555","50,746","54,920","53,214","53,797","54,100","52,224","53,302","54,174","56,816","6,38,809",
4453,"Beer, wine, and liquor stores","3,684","3,686","4,314","4,028","4,574","4,611","4,632","4,569","4,296","4,432","4,797","5,969","53,592",
446,Health and personal care stores,"27,361","25,309","28,064","26,771","28,590","27,271","27,046","28,470","26,509","29,059","28,444","30,420","3,33,314",
44611,Pharmacies and drug stores,"23,515","21,304","23,313","22,472","24,039","22,555","22,719","23,835","22,105","24,704","23,721","24,827","2,79,109",
447,Gasoline stations,"38,873","36,799","42,096","42,704","47,603","46,913","47,246","48,026","44,577","47,202","42,102","38,253","5,22,394",
448,Clothing and clothing access. stores,"15,316","17,879","21,580","19,853","22,952","20,703","21,067","22,457","19,227","20,599","24,658","33,074","2,59,365",
4481,Clothing stores,"11,357","12,620","16,002","14,597","16,850","15,352","15,543","16,205","14,374","15,449","18,621","22,994","1,89,964",
44811,Men's clothing stores,578,609,754,808,845,760,658,701,718,745,815,985,"8,976",
44812,Women's clothing stores,"2,253","2,568","3,343","3,236","3,684","3,141","3,005","3,164","2,970","3,258","3,844","4,259","38,725",
44814,Family clothing stores,"6,269","7,003","9,006","8,002","9,472","8,698","9,072","9,428","8,203","8,951","10,805","13,578","1,08,487",
44819,Other clothing stores,"1,120","1,149","1,351","1,165","1,320","1,433","1,478","1,483","1,215","1,198","1,554","2,024","16,490",
4482,Shoe stores,"2,046","2,656","3,219","2,859","3,079","2,840","3,196","3,830","2,681","2,786","3,247","4,192","36,631",
44831,Jewelry stores,"1,739","2,415","2,157","2,205","2,799","2,323","2,148","2,248","2,011","2,203","2,597","5,565","30,410",
451,"Sporting goods, hobby, musical instrument, and book stores","5,659","5,367","6,667","6,014","6,429","6,467","5,997","6,930","5,734","5,671","6,857","8,798","76,590",
45111,Sporting goods stores,"2,685","2,926","3,660","3,449","3,686","3,962","3,721","3,918","3,024","3,087","3,555","4,831","42,504",
45112,"Hobby, toy, and game stores","1,136","1,176","1,643","1,297","1,372","1,201",996,"1,048","1,124","1,218","1,887","1,994","16,092",
451211,Book stores,"1,166",611,628,601,665,608,581,"1,177",834,614,639,"1,080","9,204",
452,General merchandise stores,"51,212","50,932","59,086","53,726","60,130","57,950","57,209","59,700","54,683","57,479","65,467","77,533","7,05,107",
4522,Department stores,"3,896","4,124","4,932","4,645","5,441","4,653","4,441","5,006","4,304","4,611","6,959","8,838","61,850",
45221,Department stores,"3,896","4,124","4,932","4,645","5,441","4,653","4,441","5,006","4,304","4,611","6,959","8,838","61,850",
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"47,316","46,808","54,154","49,081","54,689","53,297","52,768","54,694","50,379","52,868","58,508","68,695","6,43,257",
452311,Warehouse clubs and supercenters,"41,885","41,255","47,769","43,171","47,931","47,033","46,624","48,401","44,259","46,382","51,157","60,431","5,66,298",
452319,All other gen. merchandise stores,"5,431","5,553","6,385","5,910","6,758","6,264","6,144","6,293","6,120","6,486","7,351","8,264","76,959",
453,Miscellaneous store retailers,"8,487","8,259","9,260","9,048","10,889","10,021","9,457","10,074","9,193","10,335","9,996","10,364","1,15,383",
4532,"Office supplies, stationery, and gift stores","2,024","1,945","2,166","2,054","2,307","2,244","2,431","2,800","2,351","2,904","2,359","2,875","28,460",
45321,Office supplies and stationery stores,"1,039",863,920,834,840,778,896,"1,318",916,839,848,951,"11,042",
45322,"Gift, novelty, and souvenir stores",985,"1,082","1,246","1,220","1,467","1,466","1,535","1,482","1,435","2,065","1,511","1,924","17,418",
45330,Used merchandise stores,"1,174","1,222","1,383","1,288","1,342","1,268","1,195","1,338","1,232","1,398","1,282","1,245","15,367",
454,Nonstore retailers,"50,800","46,473","52,187","50,187","53,102","49,374","51,113","52,847","48,953","55,008","66,861","69,652","6,46,557",
4541,Electronic shopping and mail-order houses,"42,496","40,103","45,620","44,441","47,653","44,692","46,443","47,867","44,127","48,945","60,286","62,603","5,75,276",
45431,Fuel dealers,"5,767","3,769","3,548","2,793","2,191","1,800","1,871","2,027","2,034","2,939","3,460","4,008","36,207",
722,Food services and drinking places,"53,555","53,784","62,328","59,071","62,780","62,267","62,232","63,195","58,567","60,159","57,591","61,385","7,16,914",
7224,Drinking places,"1,918","1,898",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
7225,Restaurants and other eating places,"47,333","47,095","54,782","51,700","55,395","55,556","55,840","56,029","50,923","52,322","50,429","54,567","6,31,971",
722511,Full service restaurants,"23,931","23,866","27,541","25,753","27,595","27,543","27,408","27,542","24,881","25,472","24,670","28,024","3,14,226",
"722513, 722514, 722515",Limited service eating places,"23,402","23,229","27,241","25,947","27,800","28,013","28,432","28,487","26,042","26,850","25,759","26,543","3,17,745",
,ADJUSTED(2),,,,,,,,,,,,,,
,"Retail and food services sales, total","4,81,414","4,84,031","4,84,110","4,84,154","4,91,960","4,90,228","4,93,142","4,93,445","4,91,507","4,96,416","4,98,854","4,89,113",,
,Retail sales and food services excl motor vehicle and parts,"3,82,986","3,85,861","3,85,772","3,85,764","3,92,669","3,91,387","3,93,827","3,94,789","3,93,463","3,97,830","3,99,145","3,88,493",,
,Retail sales and food services excl gasoline stations,"4,38,649","4,40,941","4,41,286","4,41,192","4,48,005","4,46,507","4,49,233","4,48,811","4,47,371","4,50,589","4,55,405","4,48,157",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"3,40,221","3,42,771","3,42,948","3,42,802","3,48,714","3,47,666","3,49,918","3,50,155","3,49,327","3,52,003","3,55,696","3,47,537",,
,"Retail sales, total","4,23,202","4,25,507","4,25,087","4,25,899","4,32,340","4,30,008","4,32,070","4,32,031","4,31,438","4,35,894","4,38,612","4,28,932",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","3,24,774","3,27,337","3,26,749","3,27,509","3,33,049","3,31,167","3,32,755","3,33,375","3,33,394","3,37,308","3,38,903","3,28,312",,
,GAFO(1),"1,05,851","1,07,014","1,06,060","1,05,486","1,07,950","1,06,276","1,06,542","1,06,253","1,05,781","1,06,601","1,07,999","1,07,734",,
441,Motor vehicle and parts dealers,"98,428","98,170","98,338","98,390","99,291","98,841","99,315","98,656","98,044","98,586","99,709","1,00,620",,
"4411,4412",Automobile and other motor vehicle dealers,"90,851","90,545","90,739","90,813","91,554","91,155","91,558","90,931","90,257","90,810","91,960","92,915",,
4413,"Automotive parts, acc., and tire stores","7,577","7,625","7,599","7,577","7,737","7,686","7,757","7,725","7,787","7,776","7,749","7,705",,
"442,443","Furniture, home furn, electronics, and appliance stores","17,358","17,483","17,425","17,624","17,509","17,588","17,548","17,468","17,325","17,391","17,376","17,387",,
442,Furniture and home furnishings stores,"9,633","9,657","9,673","9,799","9,718","9,760","9,811","9,676","9,676","9,707","9,727","9,839",,
443,Electronics and appliance stores,"7,725","7,826","7,752","7,825","7,791","7,828","7,737","7,792","7,649","7,684","7,649","7,548",,
444,Building mat. and garden equip. and supplies dealers,"28,805","29,754","29,427","29,637","30,464","30,962","31,095","30,714","30,883","31,386","30,743","30,713",,
4441,Building mat. and supplies dealers,"25,409","26,143","25,837","26,251","26,874","27,330","27,419","26,856","26,949","27,260","26,811","26,820",,
445,Food and beverage stores,"61,133","61,438","61,612","61,725","61,824","61,637","61,984","61,825","62,220","62,440","62,620","62,625",,
4451,Grocery stores,"55,026","55,294","55,452","55,584","55,630","55,480","55,787","55,670","55,972","56,146","56,317","56,331",,
4453,"Beer, wine and liquor stores","4,391","4,393","4,425","4,431","4,471","4,442","4,475","4,436","4,498","4,532","4,556","4,563",,
446,Health and personal care stores,"27,252","27,097","27,273","27,542","28,029","27,714","27,854","28,105","27,963","28,240","28,760","27,554",,
44611,Pharmacies and drug stores,"22,964","22,712","22,856","22,978","23,430","23,062","23,325","23,552","23,392","23,640","24,033","23,116",,
447,Gasoline stations,"42,765","43,090","42,824","42,962","43,955","43,721","43,909","44,634","44,136","45,827","43,449","40,956",,
448,Clothing and clothing access. stores,"21,245","21,771","21,144","21,458","22,172","21,628","21,947","21,516","21,405","21,841","21,895","21,565",,
4481,Clothing stores,"15,577","15,990","15,468","15,624","16,298","15,760","15,987","15,810","15,760","15,972","16,024","15,772",,
44811,Men's clothing stores,736,751,744,772,759,755,744,749,745,746,756,735,,
44812,Women's clothing stores,"3,129","3,194","3,087","3,217","3,364","3,212","3,207","3,252","3,246","3,328","3,396","3,132",,
4482,Shoe stores,"2,961","3,025","2,913","3,038","3,091","3,064","3,199","2,967","3,012","3,116","3,146","3,103",,
44831,Jewelry stores,"2,491","2,542","2,550","2,585","2,582","2,604","2,569","2,552","2,449","2,571","2,536","2,500",,
451,"Sporting goods, hobby, musical instrument, and book stores","6,497","6,794","6,845","6,773","6,760","6,559","6,266","6,204","6,113","6,111","6,161","6,055",,
452,General merchandise stores,"58,362","58,548","58,257","57,257","59,161","58,154","58,409","58,682","58,557","58,847","60,150","60,450",,
4522,Department stores,"5,352","5,335","5,230","5,207","5,563","5,025","4,973","4,961","4,919","4,932","5,399","4,957",,
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"53,010","53,213","53,027","52,050","53,598","53,129","53,436","53,721","53,638","53,915","54,751","55,493",,
452311,Warehouse clubs and supercenters,"46,695","46,881","46,786","45,829","47,223","46,846","47,095","47,313","47,134","47,377","47,945","48,892",,
452319,All other gen. merchandise stores,"6,315","6,332","6,241","6,221","6,375","6,283","6,341","6,408","6,504","6,538","6,806","6,601",,
453,Miscellaneous stores retailers,"9,727","9,679","9,512","9,561","9,748","9,689","9,360","9,531","9,553","9,774","9,758","9,591",,
454,Nonstore retailers,"51,630","51,683","52,430","52,970","53,427","53,515","54,383","54,696","55,239","55,451","57,991","51,416",,
4541,Electronic shopping and mail order houses,"45,353","46,042","46,742","46,829","47,558","47,799","48,530","48,844","49,359","49,390","51,926","45,430",,
45431,Fuel dealers,"3,534","2,745","2,746","3,170","2,921","2,899","3,008","2,999","2,978","3,103","2,990","2,861",,
722,Food services and drinking places,"58,212","58,524","59,023","58,255","59,620","60,220","61,072","61,414","60,069","60,522","60,242","60,181",,
,,,,,,,,,,,,,,,
"(S) Suppressed - Estimate does not meet publication standards because of high sampling variability (coefficient of variation is greater than 30%), poor response quality (total quantity response rate",,,,,,,,,,,,,,,
"is less than 50%), or other concerns about the estimate's quality.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,
"Estimates include data only for businesses with paid employees. Prior to the benchmark report released in April 2025, the Monthly Retail Trade Survey estimates included nonemployers.",,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
