Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2013,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2013,Feb. 2013,Mar. 2013,Apr. 2013,May 2013,Jun. 2013,Jul. 2013,Aug. 2013,Sep. 2013,Oct. 2013,Nov. 2013,Dec. 2013,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","3,68,733","3,66,919","4,13,939","4,00,915","4,28,923","4,07,027","4,14,817","4,27,063","3,89,073","4,08,018","4,15,736","4,66,935","49,08,098",
,Retail sales and food services excl motor vehicle and parts,"3,00,648","2,95,372","3,31,802","3,20,781","3,43,542","3,25,692","3,29,993","3,39,607","3,14,565","3,30,252","3,41,239","3,89,494","39,62,987",
,Retail sales and food services excl gasoline stations,"3,26,975","3,24,722","3,66,265","3,54,181","3,79,831","3,58,659","3,65,123","3,77,644","3,43,140","3,61,642","3,73,464","4,23,887","43,55,533",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"2,58,890","2,53,175","2,84,128","2,74,047","2,94,450","2,77,324","2,80,299","2,90,188","2,68,632","2,83,876","2,98,967","3,46,446","34,10,422",
,"Retail sales, total","3,27,781","3,26,276","3,67,352","3,56,352","3,82,502","3,62,587","3,70,308","3,81,193","3,46,383","3,63,018","3,71,459","4,21,395","43,76,606",
,"Retail sales, total (excl. motor vehicle and parts dealers)","2,59,696","2,54,729","2,85,215","2,76,218","2,97,121","2,81,252","2,85,484","2,93,737","2,71,875","2,85,252","2,96,962","3,43,954","34,31,495",
,GAFO(1),"85,360","88,306","99,455","91,353","99,353","95,657","95,497","1,03,495","91,865","97,061","1,10,729","1,39,085","11,97,216",
441,Motor vehicle and parts dealers,"68,085","71,547","82,137","80,134","85,381","81,335","84,824","87,456","74,508","77,766","74,497","77,441","9,45,111",
"4411,4412",Automobile and other motor vehicle dealers,"61,871","65,222","75,203","73,215","78,130","74,352","77,567","79,968","67,732","70,245","67,623","70,843","8,61,971",
4411,Automobile dealers,"58,982","61,936","70,469","67,906","72,119","68,717","72,301","74,784","63,660","66,374","64,277","67,827","8,09,352",
44111,New car dealers,"53,247","54,807","63,450","61,585","65,973","62,748","66,327","68,539","58,285","60,615","58,940","62,994","7,37,510",
44112,Used car dealers,"5,735","7,129","7,019","6,321","6,146","5,969","5,974","6,245","5,375","5,759","5,337","4,833","71,842",
4413,"Automotive parts, acc., and tire stores","6,214","6,325","6,934","6,919","7,251","6,983","7,257","7,488","6,776","7,521","6,874","6,598","83,140",
"442,443","Furniture, home furn, electronics, and appliance stores","15,175","15,072","15,874","14,410","15,450","15,160","15,768","16,582","15,441","15,827","18,888","21,850","1,95,497",
442,Furniture and home furnishings stores,"7,117","6,920","7,695","7,146","7,658","7,390","7,805","8,285","7,686","7,897","8,668","9,013","93,280",
4421,Furniture stores,"3,904","3,926","4,412","3,922","4,160","4,035","4,185","4,518","4,221","4,230","4,542","4,193","50,248",
4422,Home furnishings stores,"3,213","2,994","3,283","3,224","3,498","3,355","3,620","3,767","3,465","3,667","4,126","4,820","43,032",
44221,Floor covering stores,"1,156","1,128","1,245","1,247","1,380","1,357","1,452","1,535","1,430","1,492","1,428","1,301","16,151",
442299,All other home furnishings stores,"1,965","1,787","1,955","1,891","2,025","1,900","2,063","2,141","1,941","2,077","2,602","3,433","25,780",
443,Electronics and appliance stores,"8,058","8,152","8,179","7,264","7,792","7,770","7,963","8,297","7,755","7,930","10,220","12,837","1,02,217",
443141,Household appliance stores,"1,223","1,272","1,360","1,291","1,460","1,387","1,476","1,454","1,388","1,428","1,582","1,621","16,942",
443142,Electronics stores,"6,835","6,880","6,819","5,973","6,332","6,383","6,487","6,843","6,367","6,502","8,638","11,216","85,275",
444,Building mat. and garden equip. and supplies dealers,"19,096","18,468","22,921","28,515","32,366","27,459","27,183","25,827","24,023","25,826","23,591","22,031","2,97,306",
4441,Building mat. and supplies dealers,"16,878","16,234","19,587","23,609","26,245","23,233","23,735","22,874","21,259","22,701","20,715","18,942","2,56,012",
44412,Paint and wallpaper stores,652,617,730,824,897,854,911,925,815,827,678,590,"9,320",
44413,Hardware stores,"1,464","1,403","1,605","1,854","2,010","1,895","1,794","1,792","1,674","1,823","1,765","1,821","20,900",
445,Food and beverage stores,"51,076","48,017","53,601","49,765","54,584","52,603","53,854","54,431","51,112","53,094","54,090","57,355","6,33,582",
4451,Grocery stores,"46,822","43,601","48,614","45,077","49,297","47,528","48,547","49,058","46,291","48,082","48,715","50,188","5,71,820",
