Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2024,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2024,Feb. 2024,Mar. 2024,Apr. 2024,May 2024,Jun. 2024,Jul. 2024,Aug. 2024,Sep. 2024,Oct. 2024,Nov. 2024,Dec. 2024,TOTAL,
4451,Grocery stores,"72,355","68,885","74,506","70,496","76,465","73,686","75,931","75,923","72,532","75,667","76,232","78,601","8,91,279",
44511,Supermarkets and other grocery (except convenience) stores,"69,335","65,842","71,227","67,129","72,882","70,257","72,602","72,625","69,540","72,588","73,376","75,640","8,53,043",
4453,"Beer, wine, and liquor stores","4,907","5,248","5,765","5,539","6,264","6,155","6,256","6,203","5,658","5,987","6,453","7,854","72,289",
446,Health and personal care stores,"35,827","34,120","35,660","35,349","36,676","35,084","37,310","38,017","37,708","39,647","37,285","42,257","4,44,940",
44611,Pharmacies and drug stores,"30,979","28,948","29,950","30,135","31,177","29,605","32,163","32,405","32,488","34,481","31,695","34,925","3,78,951",
447,Gasoline stations,"46,415","47,374","53,061","54,952","57,626","55,343","57,487","56,870","51,260","53,841","49,024","48,259","6,31,512",
448,Clothing and clothing access. stores,"18,472","21,169","24,109","23,150","26,511","24,285","24,575","26,262","22,259","24,359","28,716","39,876","3,03,743",
4481,Clothing stores,"12,991","14,492","17,315","16,628","18,808","17,406","17,528","18,518","15,870","17,564","21,142","26,462","2,14,724",
44811,Men's clothing stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
44812,Women's clothing stores,"2,109","2,510","3,095","2,866","3,160","2,680","2,750","2,836","2,479","2,665","3,249","3,756","34,155",
44814,Family clothing stores,"7,652","8,482","10,346","9,964","11,420","10,801","10,951","11,621","9,852","11,072","13,575","16,880","1,32,616",
44819,Other clothing stores,"1,353","1,352","1,453","1,401","1,497","1,609","1,547","1,674","1,332","1,402","1,572","1,944","18,136",
4482,Shoe stores,"2,254","2,792","3,202","2,924","3,252","2,995","3,487","4,100","2,743","2,855","3,303","4,580","38,487",
44831,Jewelry stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
451,"Sporting goods, hobby, musical instrument, and book stores","6,812","6,627","7,691","7,056","7,718","7,846","7,695","8,550","7,455","7,552","8,959","11,543","95,504",
45111,Sporting goods stores,"3,962","4,025","4,866","4,459","4,999","5,256","5,072","5,392","4,445","4,489","4,885","6,875","58,725",
45112,"Hobby, toy, and game stores","1,436","1,450","1,594","1,404","1,474","1,421","1,445","1,615","1,594","1,789","2,772","2,856","20,850",
451211,Book stores,763,532,567,567,602,563,558,837,734,560,574,"1,000","7,857",
452,General merchandise stores,"66,024","67,138","75,370","70,405","77,335","74,844","74,570","78,018","71,270","75,941","80,808","92,765","9,04,488",
4522,Department stores,"2,239","2,682","3,021","3,060","3,418","3,061","2,913","3,106","2,848","3,061","4,264","5,946","39,619",
45221,Department stores,"2,239","2,682","3,021","3,060","3,418","3,061","2,913","3,106","2,848","3,061","4,264","5,946","39,619",
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"63,785","64,456","72,349","67,345","73,917","71,783","71,657","74,912","68,422","72,880","76,544","86,819","8,64,869",
452311,Warehouse clubs and supercenters,"55,999","56,489","63,458","58,757","64,427","62,989","63,184","66,086","60,039","63,801","66,677","75,748","7,57,654",
452319,All other gen. merchandise stores,"7,786","7,967","8,891","8,588","9,490","8,794","8,473","8,826","8,383","9,079","9,867","11,071","1,07,215",
453,Miscellaneous store retailers,"11,658","11,959","13,325","13,684","14,787","14,019","13,785","14,077","13,672","14,910","12,975","14,668","1,63,519",
4532,"Office supplies, stationery, and gift stores","1,763","1,778","1,947","1,969","2,257","2,433","2,397","2,674","2,379","2,863","2,022","2,779","27,261",
45321,Office supplies and stationery stores,715,645,646,634,628,581,680,853,636,614,560,620,"7,812",
45322,"Gift, novelty, and souvenir stores","1,048","1,133","1,301","1,335","1,629","1,852","1,717","1,821","1,743","2,249","1,462","2,159","19,449",
45330,Used merchandise stores,"1,659","1,684","1,911","1,777","1,938","1,765","1,805","1,829","1,907","1,969","1,850","1,888","21,982",
454,Nonstore retailers,"1,09,895","1,04,590","1,11,392","1,12,826","1,16,920","1,10,174","1,18,132","1,13,608","1,10,955","1,23,993","1,34,371","1,54,667","14,21,523",
4541,Electronic shopping and mail-order houses,"1,00,987","96,183","1,03,746","1,05,800","1,10,378","1,04,456","1,12,055","1,07,648","1,04,934","1,16,723","1,27,836","1,46,567","13,37,313",
45431,Fuel dealers,"5,085","4,519","3,533","3,076","2,318","1,863","2,052","2,127","2,217","3,049","2,926","4,540","37,305",
722,Food services and drinking places,"83,093","87,470","96,164","92,937","98,500","95,152","94,974","97,830","91,735","95,518","92,548","95,361","11,21,282",
7224,Drinking places,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
7225,Restaurants and other eating places,"75,023","78,674","86,532","83,201","88,733","86,442","86,750","88,263","81,563","84,944","82,774","86,161","10,09,060",
722511,Full service restaurants,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
"722513, 722514, 722515",Limited service eating places,"38,311","39,271","43,457","42,777","45,004","43,941","44,532","44,705","41,206","43,287","40,963","41,581","5,09,035",
,ADJUSTED(2),,,,,,,,,,,,,,
,"Retail and food services sales, total","6,80,456","6,85,280","6,87,641","6,87,602","6,92,774","6,92,449","6,98,835","6,97,039","7,03,055","7,08,290","7,11,853","7,17,265",,
,Retail sales and food services excl motor vehicle and parts,"5,51,100","5,53,809","5,57,426","5,58,388","5,60,134","5,63,966","5,66,007","5,64,844","5,70,796","5,72,687","5,72,288","5,77,232",,
,Retail sales and food services excl gasoline stations,"6,28,538","6,32,525","6,33,881","6,33,032","6,39,367","6,39,792","6,46,143","6,44,913","6,51,846","6,56,964","6,60,680","6,65,149",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"4,99,182","5,01,054","5,03,666","5,03,818","5,06,727","5,11,309","5,13,315","5,12,718","5,19,587","5,21,361","5,21,115","5,25,116",,
,"Retail sales, total","5,88,944","5,93,206","5,95,969","5,95,676","6,00,372","5,99,979","6,05,814","6,03,601","6,08,774","6,12,772","6,16,344","6,21,713",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","4,59,588","4,61,735","4,65,754","4,66,462","4,67,732","4,71,496","4,72,986","4,71,406","4,76,515","4,77,169","4,76,779","4,81,680",,
,GAFO(1),"1,27,635","1,28,696","1,27,022","1,28,294","1,28,991","1,29,240","1,29,712","1,28,989","1,30,183","1,30,181","1,30,367","1,31,966",,
441,Motor vehicle and parts dealers,"1,29,356","1,31,471","1,30,215","1,29,214","1,32,640","1,28,483","1,32,828","1,32,195","1,32,259","1,35,603","1,39,565","1,40,033",,
"4411,4412",Automobile and other motor vehicle dealers,"1,18,335","1,20,497","1,19,180","1,18,099","1,21,501","1,17,210","1,21,570","1,20,955","1,21,040","1,24,454","1,28,276","1,28,695",,
4413,"Automotive parts, acc., and tire stores","11,021","10,974","11,035","11,115","11,139","11,273","11,258","11,240","11,219","11,149","11,289","11,338",,
"442,443","Furniture, home furn, electronics, and appliance stores","18,578","18,556","18,065","18,410","18,612","18,629","18,745","18,648","18,609","18,649","18,844","19,380",,
442,Furniture and home furnishings stores,"10,864","10,787","10,610","10,743","10,860","10,993","11,079","11,144","11,356","11,194","11,347","11,873",,
443,Electronics and appliance stores,"7,714","7,769","7,455","7,667","7,752","7,636","7,666","7,504","7,253","7,455","7,497","7,507",,
444,Building mat. and garden equip. and supplies dealers,"39,535","40,215","40,219","39,930","40,171","40,389","40,925","40,896","41,140","41,587","41,349","40,542",,
4441,Building mat. and supplies dealers,"34,293","35,096","35,021","34,675","34,991","35,150","35,767","35,748","35,940","36,263","36,052","35,181",,
445,Food and beverage stores,"81,086","81,149","81,569","82,119","82,078","82,336","82,951","82,540","83,361","83,557","83,430","84,191",,
4451,Grocery stores,"72,939","72,894","73,333","73,818","73,737","73,982","74,588","74,216","74,930","75,141","74,958","75,724",,
4453,"Beer, wine and liquor stores","5,898","5,977","5,968","5,982","6,012","6,058","6,050","6,005","6,077","6,066","6,088","6,074",,
446,Health and personal care stores,"35,827","35,765","35,624","35,778","36,028","36,021","37,535","37,678","38,360","38,196","38,085","37,831",,
44611,Pharmacies and drug stores,"30,431","30,249","30,070","30,470","30,536","30,489","32,099","32,148","32,916","32,745","32,575","32,458",,
447,Gasoline stations,"51,918","52,755","53,760","54,570","53,407","52,657","52,692","52,126","51,209","51,326","51,173","52,116",,
448,Clothing and clothing access. stores,"24,838","25,122","24,241","24,923","25,212","25,247","25,279","24,957","25,330","25,520","25,483","25,890",,
4481,Clothing stores,"17,397","17,639","17,053","17,626","17,894","17,801","17,828","17,721","17,817","17,951","18,163","18,386",,
44811,Men's clothing stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
44812,Women's clothing stores,"2,808","2,960","2,842","2,875","2,886","2,824","2,859","2,833","2,748","2,823","2,873","2,828",,
4482,Shoe stores,"3,300","3,340","3,021","3,206","3,182","3,179","3,321","3,123","3,146","3,134","3,170","3,241",,
44831,Jewelry stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
451,"Sporting goods, hobby, musical instrument, and book stores","8,043","8,151","7,896","7,857","7,876","7,917","7,757","7,801","7,973","7,875","7,845","7,950",,
452,General merchandise stores,"73,990","74,640","74,653","74,834","75,101","74,990","75,666","75,258","75,958","75,964","75,926","76,401",,
4522,Department stores,"3,347","3,378","3,277","3,400","3,315","3,324","3,273","3,239","3,315","3,236","3,267","3,244",,
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"70,643","71,262","71,376","71,434","71,786","71,666","72,393","72,019","72,643","72,728","72,659","73,157",,
452311,Warehouse clubs and supercenters,"61,673","62,350","62,520","62,507","62,917","62,863","63,502","63,059","63,668","63,801","63,623","64,193",,
452319,All other gen. merchandise stores,"8,970","8,912","8,856","8,927","8,869","8,803","8,891","8,960","8,975","8,927","9,036","8,964",,
453,Miscellaneous stores retailers,"13,150","13,337","13,533","13,582","13,343","13,474","13,435","13,594","13,902","13,835","13,261","14,093",,
454,Nonstore retailers,"1,12,623","1,12,045","1,16,194","1,14,459","1,15,904","1,19,836","1,18,001","1,17,908","1,20,673","1,20,660","1,21,383","1,23,286",,
4541,Electronic shopping and mail order houses,"1,05,304","1,04,889","1,09,091","1,07,194","1,08,962","1,13,048","1,10,946","1,11,207","1,13,811","1,13,654","1,14,960","1,16,323",,
45431,Fuel dealers,"3,208","3,055","3,002","3,315","3,038","2,929","3,162","3,078","3,012","3,179","2,699","3,247",,
722,Food services and drinking places,"91,512","92,074","91,672","91,926","92,402","92,470","93,021","93,438","94,281","95,518","95,509","95,552",,
 ,,,,,,,,,,,,,,,
"(S) Suppressed - Estimate does not meet publication standards because of high sampling variability (coefficient of variation is greater than 30%), poor response quality (total quantity response rate",,,,,,,,,,,,,,,
"is less than 50%), or other concerns about the estimate's quality.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,
"Estimates include data only for businesses with paid employees. Prior to the benchmark report released in April 2025, the Monthly Retail Trade Survey estimates included nonemployers.",,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
