Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2024,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2024,Feb. 2024,Mar. 2024,Apr. 2024,May 2024,Jun. 2024,Jul. 2024,Aug. 2024,Sep. 2024,Oct. 2024,Nov. 2024,Dec. 2024,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","6,22,927","6,31,639","6,93,859","6,86,711","7,30,332","6,88,151","7,13,406","7,20,251","6,70,818","7,18,256","7,22,947","7,86,673","83,85,970",
,Retail sales and food services excl motor vehicle and parts,"5,06,971","5,07,465","5,55,632","5,50,302","5,87,999","5,59,930","5,75,432","5,79,418","5,44,692","5,82,855","5,90,881","6,48,793","67,90,370",
,Retail sales and food services excl gasoline stations,"5,76,512","5,84,265","6,40,798","6,31,759","6,72,706","6,32,808","6,55,919","6,63,381","6,19,558","6,64,415","6,73,923","7,38,414","77,54,458",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"4,60,556","4,60,091","5,02,571","4,95,350","5,30,373","5,04,587","5,17,945","5,22,548","4,93,432","5,29,014","5,41,857","6,00,534","61,58,858",
,"Retail sales, total","5,39,834","5,44,169","5,97,695","5,93,774","6,31,832","5,92,999","6,18,432","6,22,421","5,79,083","6,22,738","6,30,399","6,91,312","72,64,688",
,"Retail sales, total (excl. motor vehicle and parts dealers)","4,23,878","4,19,995","4,59,468","4,57,365","4,89,499","4,64,778","4,80,458","4,81,588","4,52,957","4,87,337","4,98,333","5,53,432","56,69,088",
,GAFO(1),"1,10,083","1,13,984","1,26,993","1,19,815","1,32,511","1,27,152","1,27,872","1,34,695","1,21,284","1,29,133","1,41,622","1,69,748","15,54,892",
441,Motor vehicle and parts dealers,"1,15,956","1,24,174","1,38,227","1,36,409","1,42,333","1,28,221","1,37,974","1,40,833","1,26,126","1,35,401","1,32,066","1,37,880","15,95,600",
"4411,4412",Automobile and other motor vehicle dealers,"1,05,673","1,14,111","1,26,927","1,24,949","1,30,492","1,16,858","1,26,311","1,28,817","1,15,109","1,23,583","1,21,093","1,27,279","14,61,202",
4411,Automobile dealers,"1,00,689","1,07,572","1,17,997","1,15,912","1,20,497","1,07,471","1,17,252","1,20,609","1,07,919","1,16,475","1,14,966","1,21,552","13,68,911",
44111,New car dealers,"90,167","95,625","1,05,382","1,03,570","1,07,993","95,929","1,05,061","1,08,124","96,459","1,04,905","1,04,010","1,10,693","12,27,918",
44112,Used car dealers,"10,522","11,947","12,615","12,342","12,504","11,542","12,191","12,485","11,460","11,570","10,956","10,859","1,40,993",
4413,"Automotive parts, acc., and tire stores","10,283","10,063","11,300","11,460","11,841","11,363","11,663","12,016","11,017","11,818","10,973","10,601","1,34,398",
"442,443","Furniture, home furn, electronics, and appliance stores","17,012","17,272","17,876","17,235","18,690","17,744","18,635","19,191","17,921","18,418","21,117","22,785","2,23,896",
442,Furniture and home furnishings stores,"9,745","10,140","10,801","10,388","11,186","10,597","11,145","11,679","11,038","11,194","12,345","12,455","1,32,713",
4421,Furniture stores,"5,507","5,620","5,906","5,480","5,918","5,797","6,065","6,239","6,006","5,942","6,628","6,674","71,782",
4422,Home furnishings stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
44221,Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
442299,All other home furnishings stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
443,Electronics and appliance stores,"7,267","7,132","7,075","6,847","7,504","7,147","7,490","7,512","6,883","7,224","8,772","10,330","91,183",
443141,Household appliance stores,"1,598","1,685","1,743","1,716","1,848","1,830","1,913","1,873","1,735","1,772","1,780","1,747","21,240",
443142,Electronics stores,"5,669","5,447","5,332","5,131","5,656","5,317","5,577","5,639","5,148","5,452","6,992","8,583","69,943",
444,Building mat. and garden equip. and supplies dealers,"32,594","33,608","38,450","44,528","48,136","43,334","43,769","42,578","40,035","44,693","39,856","36,876","4,88,457",
4441,Building mat. and supplies dealers,"28,463","29,375","33,060","37,865","41,009","37,435","38,843","37,893","35,365","39,092","35,115","31,874","4,25,389",
44412,Paint and wallpaper stores,"1,130","1,243","1,384","1,527","1,611","1,559","1,594","1,628","1,488","1,580","1,242","1,124","17,110",
44413,Hardware stores,"3,011","2,864","3,245","3,653","3,997","3,830","3,636","3,791","3,312","3,653","3,488","3,382","41,862",
445,Food and beverage stores,"79,169","76,138","82,534","78,180","85,100","82,105","84,500","84,417","80,422","83,983","85,222","89,736","9,91,506",
