Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2016,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2016,Feb. 2016,Mar. 2016,Apr. 2016,May 2016,Jun. 2016,Jul. 2016,Aug. 2016,Sep. 2016,Oct. 2016,Nov. 2016,Dec. 2016,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","3,95,277","4,07,556","4,52,445","4,43,027","4,61,576","4,56,090","4,54,087","4,63,126","4,40,295","4,45,071","4,58,023","5,26,790","54,03,363",
,Retail sales and food services excl motor vehicle and parts,"3,15,591","3,18,927","3,52,842","3,46,768","3,64,009","3,58,957","3,55,590","3,60,270","3,45,905","3,53,411","3,68,901","4,27,050","42,68,221",
,Retail sales and food services excl gasoline stations,"3,64,333","3,78,667","4,18,973","4,07,867","4,22,900","4,16,161","4,14,466","4,24,495","4,02,491","4,06,213","4,22,317","4,89,741","49,68,624",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"2,84,647","2,90,038","3,19,370","3,11,608","3,25,333","3,19,028","3,15,969","3,21,639","3,08,101","3,14,553","3,33,195","3,90,001","38,33,482",
,"Retail sales, total","3,46,205","3,57,069","3,97,631","3,87,812","4,05,725","4,02,594","3,99,192","4,09,044","3,87,121","3,90,482","4,05,792","4,70,486","47,59,153",
,"Retail sales, total (excl. motor vehicle and parts dealers)","2,66,519","2,68,440","2,98,028","2,91,553","3,08,158","3,05,461","3,00,695","3,06,188","2,92,731","2,98,822","3,16,670","3,70,746","36,24,011",
,GAFO(1),"89,280","93,931","1,03,059","97,746","1,02,968","1,01,011","1,02,049","1,05,990","97,303","1,00,817","1,12,487","1,43,809","12,50,450",
441,Motor vehicle and parts dealers,"79,686","88,629","99,603","96,259","97,567","97,133","98,497","1,02,856","94,390","91,660","89,122","99,740","11,35,142",
"4411,4412",Automobile and other motor vehicle dealers,"72,951","81,523","91,646","88,795","89,989","89,190","90,959","94,863","86,904","84,076","81,854","92,274","10,45,024",
4411,Automobile dealers,"69,480","77,074","85,204","82,050","83,058","82,059","84,620","88,859","81,605","79,490","77,854","88,283","9,79,636",
44111,New car dealers,"62,670","67,910","76,317","73,914","75,454","74,086","76,781","80,528","74,050","71,602","70,801","80,693","8,84,806",
