Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2015,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2015,Feb. 2015,Mar. 2015,Apr. 2015,May 2015,Jun. 2015,Jul. 2015,Aug. 2015,Sep. 2015,Oct. 2015,Nov. 2015,Dec. 2015,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","3,91,738","3,81,513","4,38,118","4,31,604","4,56,436","4,41,657","4,51,579","4,49,793","4,24,822","4,38,395","4,37,204","5,06,151","52,49,010",
,Retail sales and food services excl motor vehicle and parts,"3,14,015","3,02,889","3,42,583","3,38,765","3,59,742","3,47,748","3,54,414","3,52,413","3,34,499","3,48,445","3,53,463","4,13,296","41,62,272",
,Retail sales and food services excl gasoline stations,"3,58,677","3,49,308","4,00,608","3,93,765","4,14,302","3,98,904","4,07,712","4,07,869","3,87,246","4,00,380","4,03,240","4,72,586","47,94,597",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"2,80,954","2,70,684","3,05,073","3,00,926","3,17,608","3,04,995","3,10,547","3,10,489","2,96,923","3,10,430","3,19,499","3,79,731","37,07,859",
,"Retail sales, total","3,44,632","3,35,752","3,85,954","3,80,319","4,02,126","3,90,651","3,99,519","3,97,745","3,75,199","3,85,581","3,88,071","4,52,764","46,38,313",
,"Retail sales, total (excl. motor vehicle and parts dealers)","2,66,909","2,57,128","2,90,419","2,87,480","3,05,432","2,96,742","3,02,354","3,00,365","2,84,876","2,95,631","3,04,330","3,59,909","35,51,575",
44831,Jewelry stores,"1,803","2,495","2,032","2,189","2,715","2,234","2,118","2,146","1,939","2,062","2,457","5,760","29,950",
451,"Sporting goods, hobby, musical instrument, and book stores","5,997","5,203","6,264","5,987","6,371","6,460","6,518","7,598","6,580","6,164","7,293","11,627","82,062",
45111,Sporting goods stores,"2,781","2,774","3,618","3,504","3,757","4,023","4,027","4,252","3,584","3,361","3,760","6,022","45,463",
45112,"Hobby, toy, and game stores","1,085","1,114","1,270","1,176","1,186","1,110","1,143","1,151","1,232","1,377","2,086","3,438","17,368",
451211,Book stores,"1,431",661,631,626,722,655,664,"1,485","1,018",686,691,"1,257","10,527",
452,General merchandise stores,"50,448","49,837","55,211","53,063","58,085","54,919","55,728","57,317","52,333","56,356","61,276","74,132","6,78,705",
4522,Department stores,"7,550","7,741","8,965","8,272","9,059","8,205","8,103","8,714","7,575","8,066","10,058","14,015","1,06,323",
45221,Department stores,"7,550","7,741","8,965","8,272","9,059","8,205","8,103","8,714","7,575","8,066","10,058","14,015","1,06,323",
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"42,898","42,096","46,246","44,791","49,026","46,714","47,625","48,603","44,758","48,290","51,218","60,117","5,72,382",
452311,Warehouse clubs and supercenters,"38,201","37,181","40,759","39,472","43,250","41,223","42,138","43,194","39,475","42,576","45,275","52,554","5,05,298",
452319,All other gen. merchandise stores,"4,697","4,915","5,487","5,319","5,776","5,491","5,487","5,409","5,283","5,714","5,943","7,563","67,084",
453,Miscellaneous store retailers,"7,672","7,535","8,276","8,338","9,665","9,214","9,201","9,293","8,667","9,191","8,668","10,014","1,05,734",
4532,"Office supplies, stationery, and gift stores","2,340","2,190","2,252","2,297","2,382","2,272","2,470","2,832","2,520","2,899","2,323","3,349","30,126",
45321,Office supplies and stationery stores,"1,388","1,182","1,156","1,123","1,066","1,019","1,118","1,527","1,263","1,102","1,027","1,230","14,201",
45322,"Gift, novelty, and souvenir stores",952,"1,008","1,096","1,174","1,316","1,253","1,352","1,305","1,257","1,797","1,296","2,119","15,925",
45330,Used merchandise stores,"1,053","1,003","1,198","1,154","1,201","1,170","1,278","1,320","1,250","1,366","1,183","1,209","14,385",
454,Nonstore retailers,"37,166","35,674","38,995","36,979","35,876","36,366","37,014","36,383","37,255","38,800","44,227","58,191","4,72,926",
4541,Electronic shopping and mail-order houses,"30,224","28,513","32,487","31,956","31,617","32,144","32,842","32,454","33,021","33,966","39,468","52,788","4,11,480",
45431,Fuel dealers,"4,842","5,078","4,096","2,486","1,817","1,675","1,657","1,583","1,772","2,288","2,363","2,797","32,454",
722,Food services and drinking places,"47,106","45,761","52,164","51,285","54,310","51,006","52,060","52,048","49,623","52,814","49,133","53,387","6,10,697",
7224,Drinking places,"1,578","1,522","1,760","1,645","1,779","1,651","1,740","1,746","1,654","1,783","1,687","1,802","20,347",
7225,Restaurants and other eating places,"41,784","40,337","46,307","45,094","48,077","45,461","46,408","46,225","43,024","45,883","43,128","47,365","5,39,093",
722511,Full service restaurants,"21,939","21,147","23,937","22,743","24,539","22,698","23,043","23,123","21,375","23,102","21,752","24,588","2,73,986",
"722513, 722514, 722515",Limited service eating places,"19,845","19,190","22,370","22,351","23,538","22,763","23,365","23,102","21,649","22,781","21,376","22,777","2,65,107",
,ADJUSTED(2),,,,,,,,,,,,,,
,"Retail and food services sales, total","4,28,208","4,27,119","4,33,647","4,34,470","4,37,865","4,37,951","4,41,942","4,41,849","4,39,867","4,38,693","4,40,303","4,42,149",,
,Retail sales and food services excl motor vehicle and parts,"3,41,152","3,41,440","3,43,998","3,44,264","3,46,941","3,47,187","3,50,764","3,50,017","3,47,614","3,47,256","3,47,778","3,49,931",,
,Retail sales and food services excl gasoline stations,"3,91,677","3,89,364","3,95,371","3,96,782","3,98,671","3,98,255","4,01,734","4,02,741","4,03,064","4,02,210","4,04,286","4,06,365",,
