Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1995,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 1995,Feb. 1995,Mar. 1995,Apr. 1995,May 1995,Jun. 1995,Jul. 1995,Aug. 1995,Sep. 1995,Oct. 1995,Nov. 1995,Dec. 1995,TOTAL,,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"1,35,186","1,33,459","1,34,542","1,34,838","1,35,867","1,36,437","1,36,678","1,37,203","1,38,581","1,37,466","1,39,709","1,40,409",,,
,"Retail sales, total","1,77,136","1,74,560","1,76,376","1,76,353","1,79,020","1,81,382","1,80,019","1,81,787","1,82,074","1,81,411","1,84,327","1,84,841",,,
,"Retail sales, total (excl. motor vehicle and parts dealers)","1,31,143","1,29,743","1,30,553","1,30,721","1,31,891","1,32,676","1,32,687","1,32,935","1,34,381","1,33,130","1,35,330","1,36,336",,,
,GAFO(1),"52,554","51,178","51,903","52,047","52,680","53,016","53,233","53,185","54,052","53,327","54,602","54,441",,,
441,Motor vehicle and parts dealers,"45,993","44,817","45,823","45,632","47,129","48,706","47,332","48,852","47,693","48,281","48,997","48,505",,,
"4411,4412",Automobile and other motor vehicle dealers,"41,875","40,776","41,742","41,472","42,956","44,486","43,147","44,550","43,420","43,988","44,577","44,166",,,
4413,"Automotive parts, acc., and tire stores","4,118","4,041","4,081","4,160","4,173","4,220","4,185","4,302","4,273","4,293","4,420","4,339",,,
"442,443","Furniture, home furn, electronics, and appliance stores","10,817","10,599","10,636","10,679","10,857","10,879","10,973","11,138","11,260","11,332","11,458","11,435",,,
442,Furniture and home furnishings stores,"5,103","4,919","4,957","5,015","5,057","5,053","5,157","5,134","5,249","5,269","5,319","5,276",,,
443,Electronics and appliance stores,"5,714","5,680","5,679","5,664","5,800","5,826","5,816","6,004","6,011","6,063","6,139","6,159",,,
444,Building mat. and garden equip. and supplies dealers,"13,636","13,555","13,469","13,356","13,281","13,407","13,524","13,510","13,740","13,825","13,968","14,248",,,
4441,Building mat. and supplies dealers,"11,798","11,667","11,605","11,515","11,449","11,485","11,528","11,478","11,792","11,813","11,920","12,203",,,
445,Food and beverage stores,"31,844","31,725","31,850","31,642","31,873","32,052","31,828","31,930","32,018","31,830","32,087","32,236",,,
4451,Grocery stores,"29,288","29,196","29,302","29,096","29,358","29,523","29,302","29,376","29,391","29,228","29,483","29,589",,,
4453,"Beer, wine and liquor stores","1,710","1,689","1,710","1,698","1,698","1,711","1,691","1,719","1,766","1,746","1,739","1,775",,,
446,Health and personal care stores,"8,211","8,217","8,206","8,374","8,321","8,390","8,351","8,383","8,552","8,483","8,593","8,664",,,
44611,Pharmacies and drug stores,"7,021","7,011","6,983","7,151","7,072","7,130","7,110","7,096","7,294","7,218","7,322","7,388",,,
447,Gasoline stations,"14,729","14,792","14,814","14,840","15,064","15,240","15,100","15,023","15,063","14,850","14,839","15,118",,,
448,Clothing and clothing access. stores,"10,601","10,320","10,558","10,476","10,646","10,654","10,527","10,483","10,902","10,541","10,980","10,839",,,
4481,Clothing stores,"7,445","7,282","7,331","7,249","7,352","7,361","7,292","7,217","7,594","7,247","7,546","7,496",,,
44811,Men's clothing stores,786,777,754,762,744,744,744,735,767,749,781,781,,,
44812,Women's clothing stores,"2,474","2,382","2,433","2,386","2,387","2,367","2,381","2,296","2,360","2,278","2,307","2,285",,,
4482,Shoe stores,"1,636","1,531","1,686","1,675","1,700","1,720","1,680","1,666","1,704","1,672","1,732","1,695",,,
44831,Jewelry stores,"1,399","1,402","1,440","1,450","1,499","1,479","1,462","1,497","1,505","1,526","1,588","1,550",,,
451,"Sporting goods, hobby, musical instrument, and book stores","4,334","4,004","3,988","4,080","4,152","4,152","4,195","4,129","4,197","4,075","4,316","4,308",,,
452,General merchandise stores,"24,702","24,082","24,621","24,629","24,770","25,105","25,251","25,126","25,356","25,039","25,490","25,433",,,
4522,Department stores,"17,082","16,750","16,985","16,962","16,987","17,270","17,446","17,230","17,419","17,174","17,395","17,327",,,
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"7,620","7,332","7,636","7,667","7,783","7,835","7,805","7,896","7,937","7,865","8,095","8,106",,,
452311,Warehouse clubs and supercenters,"5,176","5,059","5,307","5,297","5,387","5,436","5,420","5,529","5,525","5,503","5,690","5,673",,,
452319,All other gen. merchandise stores,"2,444","2,273","2,329","2,370","2,396","2,399","2,385","2,367","2,412","2,362","2,405","2,433",,,
453,Miscellaneous stores retailers,"5,180","5,277","5,315","5,404","5,493","5,422","5,507","5,614","5,539","5,561","5,587","5,700",,,
454,Nonstore retailers,"7,089","7,172","7,096","7,241","7,434","7,375","7,431","7,599","7,754","7,594","8,012","8,355",,,
4541,Electronic shopping and mail order houses,"4,016","3,928","3,986","4,030","4,189","4,210","4,281","4,367","4,478","4,467","4,631","4,700",,,
45431,Fuel dealers,"1,442","1,616","1,528","1,651","1,708","1,642","1,663","1,650","1,670","1,490","1,726","1,886",,,
722,Food services and drinking places,"18,772","18,508","18,803","18,957","19,040","19,001","19,091","19,291","19,263","19,186","19,218","19,191",,,
,,,,,,,,,,,,,,,,
(NA) Not advailable,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,,
"Estimates include data only for businesses with paid employees. Prior to the benchmark report released in April 2025, the Monthly Retail Trade Survey estimates included nonemployers.",,,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,,
