Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1995,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 1995,Feb. 1995,Mar. 1995,Apr. 1995,May 1995,Jun. 1995,Jul. 1995,Aug. 1995,Sep. 1995,Oct. 1995,Nov. 1995,Dec. 1995,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","1,71,037","1,67,293","1,95,551","1,90,504","2,04,625","2,05,840","1,97,721","2,08,599","1,96,920","1,98,604","2,07,018","2,41,991","23,85,703",,
,Retail sales and food services excl motor vehicle and parts,"1,31,455","1,26,855","1,45,252","1,43,753","1,53,026","1,52,136","1,48,974","1,56,327","1,49,214","1,51,185","1,61,975","1,99,089","18,19,241",,
,Retail sales and food services excl gasoline stations,"1,57,310","1,54,217","1,80,944","1,76,020","1,88,838","1,89,792","1,81,821","1,92,539","1,81,872","1,83,591","1,92,476","2,26,949","22,06,369",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"1,17,728","1,13,779","1,30,645","1,29,269","1,37,239","1,36,088","1,33,074","1,40,267","1,34,166","1,36,172","1,47,433","1,84,047","16,39,907",,
,"Retail sales, total","1,54,048","1,50,654","1,76,579","1,71,509","1,84,842","1,86,041","1,77,637","1,88,151","1,77,734","1,79,265","1,88,626","2,22,474","21,57,560",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","1,14,466","1,10,216","1,26,280","1,24,758","1,33,243","1,32,337","1,28,890","1,35,879","1,30,028","1,31,846","1,43,583","1,79,572","15,91,098",,
,GAFO(1),"41,557","40,422","47,625","47,539","50,276","50,278","48,789","53,766","51,106","51,513","62,666","91,153","6,36,690",,
441,Motor vehicle and parts dealers,"39,582","40,438","50,299","46,751","51,599","53,704","48,747","52,272","47,706","47,419","45,043","42,902","5,66,462",,
"4411,4412",Automobile and other motor vehicle dealers,"35,929","36,902","46,083","42,633","47,209","49,201","44,441","47,535","43,463","42,976","40,654","38,910","5,15,936",,
4411,Automobile dealers,"34,700","35,429","43,728","40,282","44,596","46,338","42,062","45,088","41,319","41,073","39,340","37,404","4,91,359",,
44111,New car dealers,"32,779","33,412","41,374","38,132","42,309","43,956","39,539","42,592","38,978","38,835","37,202","35,534","4,64,642",,
44112,Used car dealers,"1,921","2,017","2,354","2,150","2,287","2,382","2,523","2,496","2,341","2,238","2,138","1,870","26,717",,
4413,"Automotive parts, acc., and tire stores","3,653","3,536","4,216","4,118","4,390","4,503","4,306","4,737","4,243","4,443","4,389","3,992","50,526",,
"442,443","Furniture, home furn, electronics, and appliance stores","9,849","9,166","10,345","9,541","10,298","10,527","10,379","11,152","10,857","11,037","12,603","16,378","1,32,132",,
442,Furniture and home furnishings stores,"4,501","4,270","4,922","4,664","5,032","5,033","5,028","5,334","5,249","5,332","5,893","6,210","61,468",,
4421,Furniture stores,"2,796","2,608","2,989","2,755","2,963","2,984","2,960","3,113","3,126","3,110","3,346","3,469","36,219",,
4422,Home furnishings stores,"1,705","1,662","1,933","1,909","2,069","2,049","2,068","2,221","2,123","2,222","2,547","2,741","25,249",,
44221,Floor covering stores,919,925,"1,076","1,030","1,098","1,112","1,063","1,162","1,125","1,162","1,173","1,121","12,966",,
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
443,Electronics and appliance stores,"5,348","4,896","5,423","4,877","5,266","5,494","5,351","5,818","5,608","5,705","6,710","10,168","70,664",,
443141,Household appliance stores,722,647,770,704,800,864,897,871,777,777,868,998,"9,695",,
443142,Electronics stores,"4,626","4,249","4,653","4,173","4,466","4,630","4,454","4,947","4,831","4,928","5,842","9,170","60,969",,
444,Building mat. and garden equip. and supplies dealers,"10,982","10,863","13,318","13,769","15,544","15,264","14,038","14,644","13,821","14,482","13,471","12,791","1,62,987",,
4441,Building mat. and supplies dealers,"9,651","9,415","11,350","11,319","12,869","12,886","12,024","12,787","12,134","12,663","11,765","10,983","1,39,846",,
44412,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
44413,Hardware stores,848,822,"1,030","1,124","1,304","1,302","1,195","1,147","1,120","1,109","1,160","1,207","13,368",,
445,Food and beverage stores,"30,446","28,565","31,738","31,167","32,531","32,412","32,868","32,626","31,550","31,201","31,865","35,712","3,82,681",,
4451,Grocery stores,"28,263","26,422","29,331","28,718","30,004","29,848","30,269","30,052","29,009","28,702","29,247","32,045","3,51,910",,
44511,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
4453,"Beer, wine, and liquor stores","1,459","1,407","1,619","1,594","1,696","1,747","1,769","1,745","1,731","1,678","1,762","2,437","20,644",,
446,Health and personal care stores,"7,915","7,658","8,370","8,140","8,571","8,382","8,075","8,375","8,073","8,296","8,344","10,327","1,00,526",,
44611,Pharmacies and drug stores,"6,810","6,597","7,116","6,936","7,256","7,016","6,776","7,018","6,842","7,066","7,190","8,999","85,622",,
447,Gasoline stations,"13,727","13,076","14,607","14,484","15,787","16,048","15,900","16,060","15,048","15,013","14,542","15,042","1,79,334",,
448,Clothing and clothing access. stores,"7,306","7,731","9,552","9,902","10,323","10,024","9,514","10,961","10,417","10,151","12,401","19,390","1,27,672",,
4481,Clothing stores,"5,192","5,330","6,768","6,905","7,007","6,913","6,630","7,528","7,364","7,237","8,769","12,780","88,423",,
44811,Men's clothing stores,646,593,659,710,705,726,630,684,708,742,888,"1,441","9,132",,
44812,Women's clothing stores,"1,692","1,777","2,350","2,393","2,490","2,315","2,133","2,285","2,327","2,271","2,522","3,627","28,182",,
44814,Family clothing stores,"2,174","2,245","2,872","2,931","2,929","3,030","2,975","3,451","3,283","3,253","4,245","6,194","39,582",,
44819,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
4482,Shoe stores,"1,165","1,173","1,637","1,789","1,737","1,730","1,635","2,024","1,716","1,543","1,751","2,215","20,115",,
44831,Jewelry stores,855,"1,144","1,063","1,127","1,500","1,297","1,178","1,304","1,240","1,283","1,748","4,181","17,920",,
451,"Sporting goods, hobby, musical instrument, and book stores","4,074","3,019","3,390","3,358","3,504","3,587","3,440","4,385","4,163","3,737","4,950","8,469","50,076",,
45111,Sporting goods stores,"1,153","1,176","1,507","1,515","1,552","1,652","1,611","1,745","1,483","1,322","1,464","2,581","18,761",,
45112,"Hobby, toy, and game stores",648,633,783,824,782,829,809,805,805,944,"1,743","3,445","13,050",,
451211,Book stores,"1,267",696,672,666,761,781,757,"1,208","1,066",723,824,"1,421","10,842",,
452,General merchandise stores,"18,447","18,532","22,455","22,896","23,995","24,069","23,381","24,848","23,438","24,353","30,194","42,971","2,99,579",,
4522,Department stores,"12,231","12,596","15,456","15,673","16,274","16,303","15,858","17,058","15,991","16,556","21,204","30,720","2,05,920",,
45221,Department stores,"12,231","12,596","15,456","15,673","16,274","16,303","15,858","17,058","15,991","16,556","21,204","30,720","2,05,920",,
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"6,216","5,936","6,999","7,223","7,721","7,766","7,523","7,790","7,447","7,797","8,990","12,251","93,659",,
452311,Warehouse clubs and supercenters,"4,317","4,118","4,856","5,000","5,344","5,393","5,274","5,435","5,216","5,459","6,287","8,402","65,101",,
452319,All other gen. merchandise stores,"1,899","1,818","2,143","2,223","2,377","2,373","2,249","2,355","2,231","2,338","2,703","3,849","28,558",,
453,Miscellaneous store retailers,"4,333","4,660","4,903","4,966","5,856","5,629","5,340","5,983","5,485","5,387","5,526","7,566","65,634",,
4532,"Office supplies, stationery, and gift stores","1,881","1,974","1,883","1,842","2,156","2,071","2,075","2,420","2,231","2,235","2,518","3,945","27,231",,
45321,Office supplies and stationery stores,"1,266","1,153","1,143","1,004","1,175","1,143","1,101","1,428","1,297","1,203","1,238","1,411","14,562",,
45322,"Gift, novelty, and souvenir stores",615,821,740,838,981,928,974,992,934,"1,032","1,280","2,534","12,669",,
45330,Used merchandise stores,339,372,368,365,416,432,412,477,416,387,412,536,"4,932",,
454,Nonstore retailers,"7,387","6,946","7,602","6,535","6,834","6,395","5,955","6,845","7,176","8,189","9,687","10,926","90,477",,
4541,Electronic shopping and mail-order houses,"3,871","3,284","4,050","3,587","3,875","3,646","3,506","4,009","4,281","4,932","6,006","6,717","51,764",,
45431,Fuel dealers,"2,113","2,148","1,855","1,425","1,382","1,199","1,111","1,241","1,294","1,456","1,852","2,465","19,541",,
722,Food services and drinking places,"16,989","16,639","18,972","18,995","19,783","19,799","20,084","20,448","19,186","19,339","18,392","19,517","2,28,143",,
7224,Drinking places,833,835,939,932,958,947,973,987,"1,007",996,983,"1,028","11,418",,
7225,Restaurants and other eating places,"14,932","14,599","16,631","16,591","17,286","17,251","17,624","17,911","16,710","16,811","16,025","17,030","1,99,401",,
722511,Full service restaurants,"7,336","7,178","8,063","8,090","8,433","8,369","8,715","8,848","8,102","8,158","7,824","8,212","97,328",,
"722513, 722514, 722515",Limited service eating places,"7,596","7,421","8,568","8,501","8,853","8,882","8,909","9,063","8,608","8,653","8,201","8,818","1,02,073",,
,ADJUSTED(2),,,,,,,,,,,,,,,
,"Retail and food services sales, total","1,95,908","1,93,068","1,95,179","1,95,310","1,98,060","2,00,383","1,99,110","2,01,078","2,01,337","2,00,597","2,03,545","2,04,032",,,
,Retail sales and food services excl motor vehicle and parts,"1,49,915","1,48,251","1,49,356","1,49,678","1,50,931","1,51,677","1,51,778","1,52,226","1,53,644","1,52,316","1,54,548","1,55,527",,,
,Retail sales and food services excl gasoline stations,"1,81,179","1,78,276","1,80,365","1,80,470","1,82,996","1,85,143","1,84,010","1,86,055","1,86,274","1,85,747","1,88,706","1,88,914",,,
