Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1992,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 1992,Feb. 1992,Mar. 1992,Apr. 1992,May 1992,Jun. 1992,Jul. 1992,Aug. 1992,Sep. 1992,Oct. 1992,Nov. 1992,Dec. 1992,TOTAL,,
444,Building mat. and garden equip. and supplies dealers,"8,861","8,918","10,483","11,491","12,176","12,077","11,524","11,094","11,183","11,474","10,043","10,153","1,29,477",,
4441,Building mat. and supplies dealers,"7,558","7,489","8,627","9,233","9,627","10,074","9,878","9,643","9,712","9,914","8,744","8,672","1,09,171",,
44412,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
44413,Hardware stores,817,793,929,"1,041","1,195","1,132","1,108","1,049","1,021","1,071","1,006","1,129","12,291",,
445,Food and beverage stores,"28,986","27,978","29,062","29,588","31,008","30,119","31,717","30,806","29,528","30,748","29,752","33,375","3,62,667",,
4451,Grocery stores,"26,916","25,848","26,846","27,196","28,472","27,641","29,062","28,240","27,088","28,181","27,235","29,870","3,32,595",,
44511,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
4453,"Beer, wine, and liquor stores","1,414","1,444","1,496","1,569","1,707","1,663","1,792","1,744","1,658","1,763","1,715","2,354","20,319",,
446,Health and personal care stores,"7,174","7,069","7,327","7,445","7,395","7,294","7,187","7,224","6,985","7,377","7,032","9,133","88,642",,
44611,Pharmacies and drug stores,"6,332","6,258","6,394","6,547","6,464","6,317","6,212","6,255","6,051","6,415","6,151","8,092","77,488",,
447,Gasoline stations,"11,918","11,407","12,089","12,257","13,250","13,229","13,671","13,624","12,951","13,468","12,879","13,301","1,54,044",,
448,Clothing and clothing access. stores,"6,734","7,302","8,245","9,152","9,294","8,930","8,846","10,226","9,311","9,974","10,876","17,834","1,16,724",,
4481,Clothing stores,"4,727","5,032","5,882","6,529","6,610","6,382","6,391","7,307","6,713","7,337","8,008","12,431","83,349",,
44811,Men's clothing stores,688,646,719,801,840,840,702,764,750,830,899,"1,535","10,014",,
44812,Women's clothing stores,"1,845","1,962","2,366","2,626","2,710","2,387","2,336","2,617","2,519","2,712","2,899","4,347","31,326",,
44814,Family clothing stores,"1,630","1,843","2,128","2,410","2,386","2,489","2,623","3,013","2,659","2,961","3,363","5,282","32,787",,
44819,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
4482,Shoe stores,"1,190","1,248","1,444","1,652","1,539","1,477","1,429","1,813","1,557","1,508","1,496","2,012","18,365",,
44831,Jewelry stores,740,950,849,902,"1,090","1,018",964,"1,012",962,"1,044","1,270","3,201","14,002",,
451,"Sporting goods, hobby, musical instrument, and book stores","2,982","2,534","2,687","2,750","2,799","2,837","2,812","3,369","3,305","3,174","3,740","7,154","40,143",,
45111,Sporting goods stores,901,"1,020","1,127","1,175","1,200","1,237","1,243","1,277","1,120","1,040","1,122","1,999","14,461",,
45112,"Hobby, toy, and game stores",584,553,607,668,622,681,640,617,602,745,"1,259","3,049","10,627",,
451211,Book stores,760,518,515,504,531,567,569,860,829,621,618,"1,123","8,015",,
452,General merchandise stores,"14,892","15,929","17,926","18,779","19,894","18,669","18,425","20,454","18,648","20,867","25,022","37,442","2,46,947",,
4522,Department stores,"10,264","11,228","12,926","13,441","14,217","13,281","13,024","14,794","13,342","14,936","18,214","27,422","1,77,089",,
45221,Department stores,"10,264","11,228","12,926","13,441","14,217","13,281","13,024","14,794","13,342","14,936","18,214","27,422","1,77,089",,
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"4,628","4,701","5,000","5,338","5,677","5,388","5,401","5,660","5,306","5,931","6,808","10,020","69,858",,
452311,Warehouse clubs and supercenters,"2,579","2,615","2,837","2,984","3,257","3,107","3,097","3,288","3,078","3,430","4,013","5,740","40,025",,
452319,All other gen. merchandise stores,"2,049","2,086","2,163","2,354","2,420","2,281","2,304","2,372","2,228","2,501","2,795","4,280","29,833",,
453,Miscellaneous store retailers,"3,042","3,260","3,130","3,489","3,865","3,788","3,775","3,776","3,747","4,020","4,102","6,092","46,086",,
4532,"Office supplies, stationery, and gift stores","1,337","1,348","1,287","1,330","1,455","1,470","1,567","1,610","1,526","1,672","1,860","3,026","19,488",,
45321,Office supplies and stationery stores,768,659,671,638,678,706,755,789,773,798,781,918,"8,934",,
45322,"Gift, novelty, and souvenir stores",569,689,616,692,777,764,812,821,753,874,"1,079","2,108","10,554",,
45330,Used merchandise stores,283,305,319,300,330,395,338,405,399,369,356,446,"4,245",,
454,Nonstore retailers,"5,864","5,127","5,323","5,067","4,860","4,841","4,891","4,904","5,361","6,212","6,707","7,703","66,860",,
4541,Electronic shopping and mail-order houses,"2,644","2,245","2,440","2,462","2,439","2,556","2,617","2,626","2,879","3,374","3,852","4,446","34,580",,
45431,Fuel dealers,"1,877","1,597","1,513","1,316","1,138",999,952,987,"1,128","1,404","1,504","1,937","16,352",,
722,Food services and drinking places,"15,334","15,476","16,461","16,116","17,238","16,426","16,918","17,486","16,084","17,269","16,347","17,096","1,98,251",,
7224,Drinking places,949,927,971,932,947,892,919,924,867,943,905,938,"11,114",,
7225,Restaurants and other eating places,"13,130","13,276","14,135","13,858","14,854","14,173","14,657","15,155","13,882","14,918","14,115","14,780","1,70,933",,
722511,Full service restaurants,"6,794","6,843","7,145","6,904","7,426","6,900","7,170","7,426","6,822","7,329","7,008","7,219","84,986",,
"722513, 722514, 722515",Limited service eating places,"6,336","6,433","6,990","6,954","7,428","7,273","7,487","7,729","7,060","7,589","7,107","7,561","85,947",,
,ADJUSTED(2),,,,,,,,,,,,,,,
,"Retail and food services sales, total","1,59,177","1,59,189","1,58,647","1,59,921","1,60,471","1,61,205","1,62,855","1,62,412","1,64,361","1,66,063","1,66,124","1,67,691",,,
,Retail sales and food services excl motor vehicle and parts,"1,26,498","1,26,383","1,26,194","1,26,970","1,27,274","1,27,293","1,28,256","1,29,253","1,29,319","1,30,889","1,31,160","1,32,128",,,
,Retail sales and food services excl gasoline stations,"1,46,525","1,46,790","1,46,197","1,47,414","1,47,792","1,48,509","1,50,054","1,49,510","1,51,358","1,52,923","1,52,928","1,54,456",,,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"1,13,846","1,13,984","1,13,744","1,14,463","1,14,595","1,14,597","1,15,455","1,16,351","1,16,316","1,17,749","1,17,964","1,18,893",,,
,"Retail sales, total","1,42,419","1,42,584","1,42,120","1,43,659","1,44,239","1,45,273","1,46,743","1,46,070","1,47,932","1,49,346","1,49,131","1,50,578",,,
,"Retail sales, total (excl. motor vehicle and parts dealers)","1,09,740","1,09,778","1,09,667","1,10,708","1,11,042","1,11,361","1,12,144","1,12,911","1,12,890","1,14,172","1,14,167","1,15,015",,,
,GAFO(1),"41,751","42,199","42,109","42,628","42,557","42,755","43,060","43,531","43,552","43,956","44,286","45,224",,,
441,Motor vehicle and parts dealers,"32,679","32,806","32,453","32,951","33,197","33,912","34,599","33,159","35,042","35,174","34,964","35,563",,,
"4411,4412",Automobile and other motor vehicle dealers,"29,462","29,548","29,120","29,627","29,797","30,504","31,228","29,816","31,624","31,700","31,484","32,071",,,
4413,"Automotive parts, acc., and tire stores","3,217","3,258","3,333","3,324","3,400","3,408","3,371","3,343","3,418","3,474","3,480","3,492",,,
"442,443","Furniture, home furn, electronics, and appliance stores","7,830","7,959","7,945","8,017","8,009","8,082","8,188","8,124","8,134","8,161","8,209","8,372",,,
442,Furniture and home furnishings stores,"4,087","4,177","4,172","4,182","4,159","4,239","4,195","4,202","4,182","4,130","4,193","4,260",,,
443,Electronics and appliance stores,"3,743","3,782","3,773","3,835","3,850","3,843","3,993","3,922","3,952","4,031","4,016","4,112",,,
444,Building mat. and garden equip. and supplies dealers,"10,698","10,842","10,876","10,666","10,657","10,715","10,660","10,792","10,881","10,845","10,723","10,729",,,
4441,Building mat. and supplies dealers,"8,944","9,056","9,062","8,973","8,955","9,076","9,029","9,158","9,223","9,146","9,099","9,100",,,
445,Food and beverage stores,"29,841","29,766","29,755","29,950","30,073","30,074","30,427","30,353","30,192","30,724","30,347","30,306",,,
4451,Grocery stores,"27,465","27,352","27,338","27,471","27,589","27,586","27,891","27,795","27,641","28,153","27,791","27,760",,,
4453,"Beer, wine and liquor stores","1,618","1,650","1,637","1,669","1,674","1,666","1,681","1,728","1,716","1,746","1,738","1,733",,,
446,Health and personal care stores,"7,313","7,364","7,356","7,423","7,395","7,323","7,194","7,471","7,322","7,452","7,410","7,371",,,
44611,Pharmacies and drug stores,"6,415","6,452","6,439","6,508","6,510","6,439","6,281","6,536","6,396","6,473","6,421","6,387",,,
447,Gasoline stations,"12,652","12,399","12,450","12,507","12,679","12,696","12,801","12,902","13,003","13,140","13,196","13,235",,,
448,Clothing and clothing access. stores,"9,459","9,444","9,325","9,610","9,477","9,622","9,709","9,886","9,833","9,904","9,824","9,991",,,
4481,Clothing stores,"6,614","6,627","6,524","6,817","6,789","6,915","6,988","7,124","7,068","7,072","7,042","7,200",,,
44811,Men's clothing stores,823,825,837,853,864,868,829,848,834,816,808,815,,,
44812,Women's clothing stores,"2,602","2,548","2,512","2,610","2,566","2,526","2,573","2,641","2,613","2,628","2,660","2,710",,,
4482,Shoe stores,"1,593","1,580","1,535","1,550","1,493","1,499","1,485","1,510","1,518","1,559","1,522","1,521",,,
44831,Jewelry stores,"1,164","1,150","1,179","1,158","1,125","1,145","1,154","1,153","1,159","1,185","1,172","1,188",,,
451,"Sporting goods, hobby, musical instrument, and book stores","3,103","3,228","3,249","3,278","3,305","3,357","3,372","3,359","3,383","3,413","3,400","3,463",,,
452,General merchandise stores,"19,813","20,069","20,057","20,192","20,228","20,128","20,154","20,523","20,583","20,792","21,114","21,645",,,
4522,Department stores,"14,138","14,432","14,507","14,531","14,597","14,531","14,471","14,735","14,808","14,876","15,090","15,268",,,
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"5,675","5,637","5,550","5,661","5,631","5,597","5,683","5,788","5,775","5,916","6,024","6,377",,,
452311,Warehouse clubs and supercenters,"3,085","3,102","3,128","3,191","3,209","3,216","3,270","3,338","3,353","3,427","3,508","3,794",,,
452319,All other gen. merchandise stores,"2,590","2,535","2,422","2,470","2,422","2,381","2,413","2,450","2,422","2,489","2,516","2,583",,,
453,Miscellaneous stores retailers,"3,615","3,611","3,616","3,693","3,646","3,684","3,764","3,757","3,827","4,038","4,240","4,265",,,
454,Nonstore retailers,"5,416","5,096","5,038","5,372","5,573","5,680","5,875","5,744","5,732","5,703","5,704","5,638",,,
4541,Electronic shopping and mail order houses,"2,626","2,563","2,416","2,679","2,813","3,004","3,168","3,043","2,990","2,999","2,998","2,946",,,
45431,Fuel dealers,"1,283","1,166","1,288","1,443","1,468","1,378","1,348","1,373","1,424","1,424","1,414","1,413",,,
722,Food services and drinking places,"16,758","16,605","16,527","16,262","16,232","15,932","16,112","16,342","16,429","16,717","16,993","17,113",,,
,,,,,,,,,,,,,,,,
(NA) Not advailable,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,,
"Estimates include data only for businesses with paid employees. Prior to the benchmark report released in April 2025, the Monthly Retail Trade Survey estimates included nonemployers.",,,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,,
