Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1992,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 1992,Feb. 1992,Mar. 1992,Apr. 1992,May 1992,Jun. 1992,Jul. 1992,Aug. 1992,Sep. 1992,Oct. 1992,Nov. 1992,Dec. 1992,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","1,42,051","1,42,498","1,54,439","1,58,430","1,64,788","1,63,417","1,64,575","1,65,387","1,59,892","1,68,529","1,66,918","2,03,616","19,54,540",,
,Retail sales and food services excl motor vehicle and parts,"1,13,046","1,12,155","1,20,284","1,23,509","1,29,318","1,26,010","1,27,756","1,30,891","1,24,924","1,32,773","1,35,297","1,71,343","15,47,306",,
,Retail sales and food services excl gasoline stations,"1,30,133","1,31,091","1,42,350","1,46,173","1,51,538","1,50,188","1,50,904","1,51,763","1,46,941","1,55,061","1,54,039","1,90,315","18,00,496",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"1,01,128","1,00,748","1,08,195","1,11,252","1,16,068","1,12,781","1,14,085","1,17,267","1,11,973","1,19,305","1,22,418","1,58,042","13,93,262",,
,"Retail sales, total","1,26,717","1,27,022","1,37,978","1,42,314","1,47,550","1,46,991","1,47,657","1,47,901","1,43,808","1,51,260","1,50,571","1,86,520","17,56,289",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","97,712","96,679","1,03,823","1,07,393","1,12,080","1,09,584","1,10,838","1,13,405","1,08,840","1,15,504","1,18,950","1,54,247","13,49,055",,
,GAFO(1),"33,204","34,268","37,696","39,386","40,981","39,706","39,640","43,587","40,611","43,877","50,295","77,516","5,20,767",,
441,Motor vehicle and parts dealers,"29,005","30,343","34,155","34,921","35,470","37,407","36,819","34,496","34,968","35,756","31,621","32,273","4,07,234",,
"4411,4412",Automobile and other motor vehicle dealers,"26,074","27,421","30,809","31,494","32,002","33,798","33,195","30,979","31,529","32,080","28,273","28,928","3,66,582",,
4411,Automobile dealers,"25,185","26,329","29,427","29,666","30,333","32,024","31,398","29,413","30,264","30,833","27,266","27,694","3,49,832",,
44111,New car dealers,"24,055","25,041","28,018","27,982","28,925","30,592","29,934","28,053","28,949","29,428","26,171","26,653","3,33,801",,
44112,Used car dealers,"1,130","1,288","1,409","1,684","1,408","1,432","1,464","1,360","1,315","1,405","1,095","1,041","16,031",,
4413,"Automotive parts, acc., and tire stores","2,931","2,922","3,346","3,427","3,468","3,609","3,624","3,517","3,439","3,676","3,348","3,345","40,652",,
"442,443","Furniture, home furn, electronics, and appliance stores","7,259","7,155","7,551","7,375","7,539","7,800","7,990","7,928","7,821","8,190","8,797","12,060","97,465",,
442,Furniture and home furnishings stores,"3,699","3,759","3,997","3,981","4,109","4,188","4,237","4,273","4,161","4,324","4,508","5,086","50,322",,
4421,Furniture stores,"2,335","2,401","2,546","2,466","2,543","2,542","2,566","2,577","2,550","2,603","2,704","2,977","30,810",,
4422,Home furnishings stores,"1,364","1,358","1,451","1,515","1,566","1,646","1,671","1,696","1,611","1,721","1,804","2,109","19,512",,
44221,Floor covering stores,675,678,789,835,794,884,840,852,851,909,875,865,"9,847",,
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
443,Electronics and appliance stores,"3,560","3,396","3,554","3,394","3,430","3,612","3,753","3,655","3,660","3,866","4,289","6,974","47,143",,
443141,Household appliance stores,580,557,610,621,640,720,739,703,660,708,729,888,"8,155",,
443142,Electronics stores,"2,980","2,839","2,944","2,773","2,790","2,892","3,014","2,952","3,000","3,158","3,560","6,086","38,988",,
