Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2017,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2017,Feb. 2017,Mar. 2017,Apr. 2017,May 2017,Jun. 2017,Jul. 2017,Aug. 2017,Sep. 2017,Oct. 2017,Nov. 2017,Dec. 2017,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","4,15,443","4,11,212","4,74,549","4,57,744","4,85,658","4,73,145","4,67,247","4,81,435","4,61,399","4,67,634","4,87,388","5,44,897","56,27,751",
,Retail sales and food services excl motor vehicle and parts,"3,31,528","3,23,244","3,69,956","3,61,928","3,81,604","3,72,142","3,66,555","3,78,195","3,62,923","3,71,716","3,94,038","4,46,153","44,59,982",
,Retail sales and food services excl gasoline stations,"3,79,617","3,77,090","4,35,543","4,18,379","4,44,462","4,32,744","4,27,124","4,39,890","4,19,810","4,25,758","4,47,229","5,05,037","51,52,683",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"2,95,702","2,89,122","3,30,950","3,22,563","3,40,408","3,31,741","3,26,432","3,36,650","3,21,334","3,29,840","3,53,879","4,06,293","39,84,914",
,"Retail sales, total","3,63,567","3,59,517","4,15,647","4,00,423","4,26,818","4,15,737","4,09,984","4,24,118","4,05,490","4,10,640","4,32,780","4,84,883","49,49,604",
,"Retail sales, total (excl. motor vehicle and parts dealers)","2,79,652","2,71,549","3,11,054","3,04,607","3,22,764","3,14,734","3,09,292","3,20,878","3,07,014","3,14,722","3,39,430","3,86,139","37,81,835",
,GAFO(1),"89,622","89,801","1,02,363","99,883","1,03,145","1,02,227","1,01,735","1,07,237","99,532","1,01,835","1,15,978","1,44,286","12,57,644",
441,Motor vehicle and parts dealers,"83,915","87,968","1,04,593","95,816","1,04,054","1,01,003","1,00,692","1,03,240","98,476","95,918","93,350","98,744","11,67,769",
"4411,4412",Automobile and other motor vehicle dealers,"77,087","81,224","96,457","88,344","96,137","93,071","93,002","95,192","90,863","88,180","85,788","91,533","10,76,878",
4411,Automobile dealers,"73,604","76,553","89,805","81,164","88,455","85,217","86,210","88,794","85,302","83,240","81,540","87,141","10,07,025",
44111,New car dealers,"65,988","67,953","79,992","72,892","79,745","76,459","77,676","80,164","76,997","75,043","73,826","79,752","9,06,487",
