Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2021,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2021,Feb. 2021,Mar. 2021,Apr. 2021,May 2021,Jun. 2021,Jul. 2021,Aug. 2021,Sep. 2021,Oct. 2021,Nov. 2021,Dec. 2021,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","5,07,633","4,80,977","6,16,389","6,12,051","6,28,079","6,20,424","6,18,951","6,14,172","5,89,735","6,16,909","6,32,541","6,87,531","72,25,392",
,Retail sales and food services excl motor vehicle and parts,"4,08,720","3,83,502","4,77,165","4,75,538","4,93,000","4,90,558","4,92,329","4,93,161","4,73,395","4,99,184","5,18,968","5,67,349","57,72,869",
,Retail sales and food services excl gasoline stations,"4,70,851","4,45,145","5,70,788","5,67,376","5,79,732","5,70,293","5,66,790","5,62,328","5,38,806","5,63,390","5,81,526","6,37,056","66,54,081",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"3,71,938","3,47,670","4,31,564","4,30,863","4,44,653","4,40,427","4,40,168","4,41,317","4,22,466","4,45,665","4,67,953","5,16,874","52,01,558",
,"Retail sales, total","4,53,810","4,29,546","5,50,304","5,44,021","5,54,921","5,47,334","5,42,000","5,39,655","5,18,687","5,42,452","5,63,029","6,13,925","63,99,684",
,"Retail sales, total (excl. motor vehicle and parts dealers)","3,54,897","3,32,071","4,11,080","4,07,508","4,19,842","4,17,468","4,15,378","4,18,644","4,02,347","4,24,727","4,49,456","4,93,743","49,47,161",
,GAFO(1),"99,064","91,667","1,18,026","1,15,757","1,22,857","1,18,559","1,20,897","1,22,312","1,13,579","1,22,169","1,31,435","1,58,644","14,34,966",
441,Motor vehicle and parts dealers,"98,913","97,475","1,39,224","1,36,513","1,35,079","1,29,866","1,26,622","1,21,011","1,16,340","1,17,725","1,13,573","1,20,182","14,52,523",
"4411,4412",Automobile and other motor vehicle dealers,"91,360","90,197","1,29,111","1,26,805","1,25,881","1,20,360","1,17,093","1,11,371","1,07,075","1,08,067","1,04,332","1,10,805","13,42,457",
4411,Automobile dealers,"85,829","83,961","1,18,788","1,15,993","1,15,385","1,09,803","1,07,733","1,02,923","99,161","1,00,269","97,383","1,03,973","12,41,201",
44111,New car dealers,"77,009","74,514","1,03,956","1,01,966","1,02,432","96,849","95,508","90,227","86,474","87,384","85,581","92,490","10,94,390",
44112,Used car dealers,"8,820","9,447","14,832","14,027","12,953","12,954","12,225","12,696","12,687","12,885","11,802","11,483","1,46,811",
4413,"Automotive parts, acc., and tire stores","7,553","7,278","10,113","9,708","9,198","9,506","9,529","9,640","9,265","9,658","9,241","9,377","1,10,066",
"442,443","Furniture, home furn, electronics, and appliance stores","16,887","15,666","19,829","18,777","18,940","19,099","19,443","19,448","19,040","19,448","21,229","22,608","2,30,414",
442,Furniture and home furnishings stores,"10,215","9,690","12,133","11,591","11,580","11,350","11,660","11,728","11,616","11,704","12,443","12,340","1,38,050",
4421,Furniture stores,"6,013","5,673","7,127","6,744","6,734","6,382","6,585","6,556","6,608","6,634","6,679","6,474","78,209",
4422,Home furnishings stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
44221,Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
442299,All other home furnishings stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
443,Electronics and appliance stores,"6,672","5,976","7,696","7,186","7,360","7,749","7,783","7,720","7,424","7,744","8,786","10,268","92,364",
443141,Household appliance stores,"1,599","1,449","1,897","1,790","1,720","1,858","1,799","1,769","1,765","1,746","1,820","1,742","20,954",
443142,Electronics stores,"5,073","4,527","5,799","5,396","5,640","5,891","5,984","5,951","5,659","5,998","6,966","8,526","71,410",
444,Building mat. and garden equip. and supplies dealers,"30,726","29,193","42,904","46,543","46,416","45,013","41,231","39,673","38,971","39,559","39,647","38,367","4,78,243",
4441,Building mat. and supplies dealers,"26,691","25,244","36,757","39,362","39,559","39,048","36,321","34,992","34,322","34,615","34,982","33,318","4,15,211",
