Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2009,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2009,Feb. 2009,Mar. 2009,Apr. 2009,May 2009,Jun. 2009,Jul. 2009,Aug. 2009,Sep. 2009,Oct. 2009,Nov. 2009,Dec. 2009,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","3,03,866","2,92,913","3,21,469","3,22,787","3,40,321","3,36,910","3,40,745","3,46,213","3,17,607","3,31,386","3,32,489","3,92,183","39,78,889",,
,Retail sales and food services excl motor vehicle and parts,"2,55,090","2,44,349","2,65,853","2,68,322","2,84,058","2,78,911","2,79,930","2,81,533","2,66,856","2,77,864","2,83,668","3,37,570","33,24,004",,
,Retail sales and food services excl gasoline stations,"2,77,415","2,67,382","2,93,119","2,93,454","3,07,478","3,01,092","3,04,534","3,09,358","2,83,375","2,96,479","2,98,260","3,57,047","35,88,993",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"2,28,639","2,18,818","2,37,503","2,38,989","2,51,215","2,43,093","2,43,719","2,44,678","2,32,624","2,42,957","2,49,439","3,02,434","29,34,108",,
,"Retail sales, total","2,68,507","2,58,774","2,83,905","2,85,884","3,01,096","2,99,553","3,02,497","3,08,286","2,82,008","2,94,127","2,97,845","3,55,590","35,38,072",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","2,19,731","2,10,210","2,28,289","2,31,419","2,44,833","2,41,554","2,41,682","2,43,606","2,31,257","2,40,605","2,49,024","3,00,977","28,83,187",,
,GAFO(1),"80,238","79,313","83,576","83,563","89,113","84,578","85,396","90,763","81,944","86,848","96,440","1,30,863","10,72,635",,
441,Motor vehicle and parts dealers,"48,776","48,564","55,616","54,465","56,263","57,999","60,815","64,680","50,751","53,522","48,821","54,613","6,54,885",,
"4411,4412",Automobile and other motor vehicle dealers,"43,191","43,008","49,412","48,261","50,130","51,547","54,441","58,494","44,817","47,298","43,318","48,899","5,82,816",,
