Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2020,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2020,Feb. 2020,Mar. 2020,Apr. 2020,May 2020,Jun. 2020,Jul. 2020,Aug. 2020,Sep. 2020,Oct. 2020,Nov. 2020,Dec. 2020,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","4,72,513","4,70,728","4,68,028","4,01,556","4,97,250","5,23,789","5,39,300","5,36,156","5,21,651","5,43,242","5,33,901","5,99,648","61,07,762",
,Retail sales and food services excl motor vehicle and parts,"3,82,179","3,76,422","3,89,063","3,35,002","3,94,683","4,14,836","4,28,591","4,26,083","4,14,100","4,34,112","4,35,935","4,88,960","49,19,966",
,Retail sales and food services excl gasoline stations,"4,32,950","4,33,865","4,33,860","3,74,813","4,65,237","4,87,537","5,00,513","4,97,555","4,84,601","5,05,319","4,99,788","5,63,367","56,79,405",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"3,42,616","3,39,559","3,54,895","3,08,259","3,62,670","3,78,584","3,89,804","3,87,482","3,77,050","3,96,189","4,01,822","4,52,679","44,91,609",
,"Retail sales, total","4,10,017","4,06,334","4,18,905","3,70,640","4,53,681","4,70,558","4,82,855","4,77,634","4,64,750","4,83,724","4,81,279","5,46,891","54,67,268",
,"Retail sales, total (excl. motor vehicle and parts dealers)","3,19,683","3,12,028","3,39,940","3,04,086","3,51,114","3,61,605","3,72,146","3,67,561","3,57,199","3,74,594","3,83,313","4,36,203","42,79,472",
,GAFO(1),"93,367","95,859","90,915","67,664","89,942","1,00,430","1,03,858","1,06,291","1,01,408","1,07,709","1,12,829","1,39,117","12,09,389",
441,Motor vehicle and parts dealers,"90,334","94,306","78,965","66,554","1,02,567","1,08,953","1,10,709","1,10,073","1,07,551","1,09,130","97,966","1,10,688","11,87,796",
"4411,4412",Automobile and other motor vehicle dealers,"83,026","87,290","71,758","59,814","94,340","99,954","1,01,818","1,01,394","99,187","1,00,665","90,313","1,03,005","10,92,564",
4411,Automobile dealers,"78,625","82,087","66,077","54,227","84,508","89,154","92,416","93,415","92,257","93,770","84,698","96,933","10,08,167",
44111,New car dealers,"70,753","72,842","58,026","48,730","75,497","79,117","82,035","83,231","83,024","84,650","76,430","88,999","9,03,334",
44112,Used car dealers,"7,872","9,245","8,051","5,497","9,011","10,037","10,381","10,184","9,233","9,120","8,268","7,934","1,04,833",
4413,"Automotive parts, acc., and tire stores","7,308","7,016","7,207","6,740","8,227","8,999","8,891","8,679","8,364","8,465","7,653","7,683","95,232",
"442,443","Furniture, home furn, electronics, and appliance stores","16,103","15,665","13,493","6,675","10,844","14,968","16,420","17,216","16,832","17,192","18,615","20,548","1,84,571",
442,Furniture and home furnishings stores,"9,225","9,193","7,897","3,780","7,072","9,581","10,172","10,692","10,671","10,645","10,697","11,493","1,11,118",
4421,Furniture stores,"5,025","5,174","4,393","1,931","4,173","5,560","5,780","5,831","6,039","5,934","5,794","6,011","61,645",
4422,Home furnishings stores,"4,200","4,019","3,504","1,849","2,899","4,021","4,392","4,861","4,632",(S),(S),(S),,
44221,Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
442299,All other home furnishings stores,"2,347","2,141","1,464",351,"1,169","1,957","2,271","2,463","2,316",(S),(S),(S),,
443,Electronics and appliance stores,"6,878","6,472","5,596","2,895","3,772","5,387","6,248","6,524","6,161","6,547","7,918","9,055","73,453",
443141,Household appliance stores,"1,228","1,228","1,270","1,112","1,426","1,660","1,704","1,715","1,625","1,671","1,647","1,696","17,982",
