Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2020,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2020,Feb. 2020,Mar. 2020,Apr. 2020,May 2020,Jun. 2020,Jul. 2020,Aug. 2020,Sep. 2020,Oct. 2020,Nov. 2020,Dec. 2020,TOTAL,
443142,Electronics stores,"5,650","5,244","4,326","1,783","2,346","3,727","4,544","4,809","4,536","4,876","6,271","7,359","55,471",
444,Building mat. and garden equip. and supplies dealers,"26,579","25,832","31,649","35,274","41,683","41,350","38,673","36,047","36,342","36,978","34,130","34,040","4,18,577",
4441,Building mat. and supplies dealers,"23,386","22,685","27,577","29,547","35,445","35,850","34,261","32,095","32,156","32,513","30,204","29,708","3,65,427",
44412,Paint and wallpaper stores,944,941,"1,115",980,"1,133","1,291","1,329","1,275","1,287","1,270","1,065",995,"13,625",
44413,Hardware stores,"2,076","1,981","2,419","2,922","3,614","3,464","3,127","3,022","2,911","2,953","2,712","2,959","34,160",
445,Food and beverage stores,"63,398","60,653","79,267","69,275","74,434","69,740","72,906","70,271","67,566","69,857","69,915","75,270","8,42,552",
4451,Grocery stores,"57,873","54,907","72,560","62,967","66,893","62,379","65,184","62,869","60,370","62,376","62,362","65,560","7,56,300",
44511,Supermarkets and other grocery (except convenience) stores,"55,540","52,589","70,224","60,952","64,476","59,936","62,593","60,253","57,917","59,904","60,027","63,028","7,27,439",
4453,"Beer, wine, and liquor stores","4,066","4,184","5,081","4,757","5,737","5,572","5,905","5,634","5,410","5,590","5,631","7,142","64,709",
446,Health and personal care stores,"29,166","27,885","31,069","25,914","26,415","28,415","29,780","28,963","29,532","30,677","28,636","33,669","3,50,121",
44611,Pharmacies and drug stores,"24,772","23,440","27,200","24,107","23,778","24,733","25,611","24,732","25,221","26,394","24,280","27,798","3,02,066",
447,Gasoline stations,"39,563","36,863","34,168","26,743","32,013","36,252","38,787","38,601","37,050","37,923","34,113","36,281","4,28,357",
448,Clothing and clothing access. stores,"16,314","18,587","10,614","2,631","8,403","15,756","17,056","18,045","17,845","19,047","20,197","30,425","1,94,920",
4481,Clothing stores,"11,952","13,057","7,405","1,690","5,283","10,698","11,747","12,452","12,458","13,624","14,467","19,279","1,34,112",
44811,Men's clothing stores,616,634,315,91,168,325,432,404,429,(S),(S),646,,
44812,Women's clothing stores,"2,376","2,626","1,503",488,"1,073","2,037","2,450","2,486","2,559","2,704","2,764","3,514","26,580",
44814,Family clothing stores,"6,752","7,363","4,152",645,"2,950","6,656","6,779","7,421","7,255","8,169","8,630","11,688","78,460",
44819,Other clothing stores,"1,124","1,232",721,227,523,859,"1,057","1,048","1,021","1,001","1,181","1,495","11,489",
4482,Shoe stores,"2,163","2,756","1,710",469,"1,659","2,743","2,772","2,877","2,657","2,698","2,644","3,914","29,062",
44831,Jewelry stores,"1,983","2,526","1,363",452,"1,396","2,173","2,356","2,504","2,508","2,491","2,846","6,853","29,451",
451,"Sporting goods, hobby, musical instrument, and book stores","5,514","5,274","4,955","3,264","5,931","7,822","7,479","7,582","7,193","7,033","7,785","10,468","80,300",
45111,Sporting goods stores,"2,838","2,942","3,268","2,454","4,128","5,533","5,134","4,808","4,481","4,365","4,415","6,431","50,797",
45112,"Hobby, toy, and game stores","1,109","1,134",815,339,"1,055","1,337","1,322","1,411","1,474","1,552","2,229","2,399","16,176",
451211,Book stores,931,553,377,164,253,355,399,702,562,409,444,803,"5,952",
452,General merchandise stores,"53,488","54,481","60,307","54,299","63,570","60,250","60,876","61,230","57,365","61,776","64,332","75,076","7,27,050",
4522,Department stores,"2,688","3,138","1,690",205,"1,413","2,235","2,286","2,530","2,534","2,722","3,743","5,236","30,420",
45221,Department stores,"2,688","3,138","1,690",205,"1,413","2,235","2,286","2,530","2,534","2,722","3,743","5,236","30,420",
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"50,800","51,343","58,617","54,094","62,157","58,015","58,590","58,700","54,831","59,054","60,589","69,840","6,96,630",
452311,Warehouse clubs and supercenters,"44,925","45,304","50,941","46,814","53,867","50,294","51,095","51,450","47,657","51,422","52,745","60,708","6,07,222",
452319,All other gen. merchandise stores,"5,875","6,039","7,676","7,280","8,290","7,721","7,495","7,250","7,174","7,632","7,844","9,132","89,408",
453,Miscellaneous store retailers,"9,182","9,056","8,313","6,279","8,484","9,913","10,381","10,412","10,196","11,011","10,274","11,932","1,15,433",
4532,"Office supplies, stationery, and gift stores","1,948","1,852","1,546",795,"1,194","1,634","2,027","2,218","2,173","2,661","1,900","2,600","22,548",
45321,Office supplies and stationery stores,941,798,850,593,693,766,855,"1,086",952,788,714,901,"9,937",
45322,"Gift, novelty, and souvenir stores","1,007","1,054",696,202,501,868,"1,172","1,132","1,221","1,873","1,186","1,699","12,611",
45330,Used merchandise stores,"1,405","1,462",964,386,842,"1,234","1,254","1,435","1,302","1,552","1,453","1,380","14,669",
454,Nonstore retailers,"60,376","57,732","66,105","73,732","79,337","77,139","79,788","79,194","77,278","83,100","95,316","1,08,494","9,37,591",
4541,Electronic shopping and mail-order houses,"53,293","51,264","60,086","69,399","75,199","72,740","74,806","74,374","72,073","76,984","89,527","1,01,597","8,71,342",
45431,Fuel dealers,"4,160","3,487","2,941","2,009","1,685","1,524","1,545","1,568","1,814","2,171","2,452","3,560","28,916",
722,Food services and drinking places,"62,496","64,394","49,123","30,916","43,569","53,231","56,445","58,522","56,901","59,518","52,622","52,757","6,40,494",
7224,Drinking places,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
7225,Restaurants and other eating places,"54,454","55,456","42,756","28,025","40,524","49,501","52,446","53,825","51,709","54,091","48,056","48,841","5,79,684",
722511,Full service restaurants,"27,530",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
"722513, 722514, 722515",Limited service eating places,"26,924","26,903","24,053","19,933","26,469","28,750","30,180","29,988","28,708","29,909","27,190","28,546","3,27,553",
,ADJUSTED(2),,,,,,,,,,,,,,
,"Retail and food services sales, total","5,15,119","5,15,330","4,68,324","4,01,028","4,78,449","5,18,038","5,26,304","5,30,735","5,41,302","5,39,114","5,33,941","5,38,548",,
,Retail sales and food services excl motor vehicle and parts,"4,14,267","4,13,878","3,93,751","3,36,693","3,81,626","4,12,904","4,21,417","4,25,171","4,31,983","4,30,433","4,26,447","4,29,003",,
,Retail sales and food services excl gasoline stations,"4,71,928","4,73,957","4,33,387","3,74,124","4,48,474","4,84,252","4,90,882","4,94,456","5,04,582","5,02,650","4,98,481","4,99,786",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"3,71,076","3,72,505","3,58,814","3,09,789","3,51,651","3,79,118","3,85,995","3,88,892","3,95,263","3,93,969","3,90,987","3,90,241",,
,"Retail sales, total","4,47,774","4,47,972","4,20,954","3,70,296","4,37,957","4,65,800","4,71,873","4,73,696","4,82,702","4,80,763","4,78,079","4,85,949",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","3,46,922","3,46,520","3,46,381","3,05,961","3,41,134","3,60,666","3,66,986","3,68,132","3,73,383","3,72,082","3,70,585","3,76,404",,
,GAFO(1),"1,08,448","1,08,572","94,053","70,168","87,301","1,02,995","1,04,570","1,03,789","1,08,175","1,07,467","1,05,470","1,06,334",,
441,Motor vehicle and parts dealers,"1,00,852","1,01,452","74,573","64,335","96,823","1,05,134","1,04,887","1,05,564","1,09,319","1,08,681","1,07,494","1,09,545",,
"4411,4412",Automobile and other motor vehicle dealers,"93,078","93,759","67,696","57,791","88,749","96,481","96,419","97,121","1,01,005","1,00,665","99,464","1,01,483",,
4413,"Automotive parts, acc., and tire stores","7,774","7,693","6,877","6,544","8,074","8,653","8,468","8,443","8,314","8,016","8,030","8,062",,
"442,443","Furniture, home furn, electronics, and appliance stores","17,502","17,240","13,734","7,182","11,088","15,448","16,541","17,137","17,027","17,327","16,786","16,688",,
442,Furniture and home furnishings stores,"10,193","10,025","7,819","3,885","7,023","9,717","10,012","10,493","10,576","10,457","10,188","10,373",,
443,Electronics and appliance stores,"7,309","7,215","5,915","3,297","4,065","5,731","6,529","6,644","6,451","6,870","6,598","6,315",,
444,Building mat. and garden equip. and supplies dealers,"31,869","31,846","31,761","31,576","35,988","36,303","35,761","36,148","36,584","36,025","36,236","36,208",,
4441,Building mat. and supplies dealers,"27,907","27,937","27,912","27,435","31,312","31,558","31,175","31,621","31,838","31,474","31,660","31,672",,
445,Food and beverage stores,"64,016","64,173","81,129","70,473","71,627","70,404","70,602","69,584","69,533","69,109","69,946","69,704",,
4451,Grocery stores,"57,585","57,675","73,890","63,861","64,320","63,073","63,224","62,124","62,045","61,697","62,550","62,379",,
4453,"Beer, wine and liquor stores","4,750","4,733","5,481","5,050","5,516","5,517","5,566","5,645","5,618","5,540","5,559","5,456",,
446,Health and personal care stores,"28,935","29,230","30,701","26,149","26,601","28,472","30,081","29,524","30,012","29,987","29,583","29,717",,
44611,Pharmacies and drug stores,"24,121","24,468","27,092","24,155","23,946","24,907","25,766","25,160","25,631","25,477","25,135","25,202",,
447,Gasoline stations,"43,191","41,373","34,937","26,904","29,975","33,786","35,422","36,279","36,720","36,464","35,460","38,762",,
448,Clothing and clothing access. stores,"22,198","22,039","11,074","2,733","8,051","16,725","17,379","17,692","20,047","19,565","18,596","19,382",,
4481,Clothing stores,"16,103","16,062","7,638","1,714","5,054","11,136","11,764","12,312","13,846","13,556","12,801","13,231",,
44811,Men's clothing stores,768,762,332,81,148,333,477,443,447,(S),(S),487,,
44812,Women's clothing stores,"3,211","3,175","1,468",465,966,"2,120","2,510","2,595","2,782","2,704","2,524","2,611",,
4482,Shoe stores,"3,099","3,104","1,655",480,"1,636","3,004","2,676","2,265","2,985","2,889","2,644","2,836",,
44831,Jewelry stores,"2,739","2,607","1,632",517,"1,303","2,433","2,752","2,888","2,965","2,873","2,913","3,076",,
451,"Sporting goods, hobby, musical instrument, and book stores","6,419","6,385","5,271","3,536","6,165","7,783","7,532","7,007","7,469","7,372","7,255","7,320",,
452,General merchandise stores,"60,010","60,606","62,265","55,848","60,729","61,339","61,224","59,991","61,576","61,057","60,752","60,844",,
4522,Department stores,"3,749","4,013","1,938",221,"1,383","2,483","2,504","2,576","2,967","2,841","2,906","2,885",,
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"56,261","56,593","60,327","55,627","59,346","58,856","58,720","57,415","58,609","58,216","57,846","57,959",,
452311,Warehouse clubs and supercenters,"49,531","49,785","52,462","48,362","51,547","51,112","51,095","49,855","51,025","50,712","50,474","50,717",,
452319,All other gen. merchandise stores,"6,730","6,808","7,865","7,265","7,799","7,744","7,625","7,560","7,584","7,504","7,372","7,242",,
453,Miscellaneous stores retailers,"10,333","10,329","8,655","6,290","7,804","9,535","10,023","10,196","10,277","10,351","10,440","11,013",,
454,Nonstore retailers,"62,449","63,299","66,854","75,270","83,106","80,871","82,421","84,574","84,138","84,825","85,531","86,766",,
4541,Electronic shopping and mail order houses,"56,755","57,471","61,501","70,743","78,414","75,850","76,724","78,870","78,255","78,796","79,935","81,018",,
45431,Fuel dealers,"2,581","2,549","2,329","2,275","2,327","2,238","2,370","2,409","2,506","2,293","2,187","2,460",,
722,Food services and drinking places,"67,345","67,358","47,370","30,732","40,492","52,238","54,431","57,039","58,600","58,351","55,862","52,599",,
,,,,,,,,,,,,,,,
"(S) Suppressed - Estimate does not meet publication standards because of high sampling variability (coefficient of variation is greater than 30%), poor response quality (total quantity response rate",,,,,,,,,,,,,,,
"is less than 50%), or other concerns about the estimate's quality.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,
"Estimates include data only for businesses with paid employees. Prior to the benchmark report released in April 2025, the Monthly Retail Trade Survey estimates included nonemployers.",,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
