Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1993,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 1993,Feb. 1993,Mar. 1993,Apr. 1993,May 1993,Jun. 1993,Jul. 1993,Aug. 1993,Sep. 1993,Oct. 1993,Nov. 1993,Dec. 1993,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","1,49,066","1,45,607","1,65,467","1,71,075","1,76,619","1,76,095","1,78,060","1,78,176","1,72,381","1,77,545","1,82,451","2,19,162","20,91,704",,
,Retail sales and food services excl motor vehicle and parts,"1,17,779","1,13,787","1,27,304","1,31,149","1,36,313","1,34,138","1,36,165","1,37,465","1,33,054","1,38,254","1,44,417","1,81,052","16,30,877",,
,Retail sales and food services excl gasoline stations,"1,36,710","1,33,710","1,52,478","1,57,874","1,62,713","1,62,275","1,63,797","1,64,232","1,59,170","1,63,754","1,69,093","2,05,591","19,31,397",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"1,05,423","1,01,890","1,14,315","1,17,948","1,22,407","1,20,318","1,21,902","1,23,521","1,19,843","1,24,463","1,31,059","1,67,481","14,70,570",,
,"Retail sales, total","1,33,217","1,30,321","1,48,430","1,53,623","1,58,325","1,57,935","1,59,382","1,59,264","1,54,669","1,59,213","1,65,372","2,01,200","18,80,951",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","1,01,930","98,501","1,10,267","1,13,697","1,18,019","1,15,978","1,17,487","1,18,553","1,15,342","1,19,922","1,27,338","1,63,090","14,20,124",,
,GAFO(1),"36,127","35,039","40,233","42,422","44,086","43,063","43,426","46,326","44,234","46,572","54,247","82,053","5,57,828",,
441,Motor vehicle and parts dealers,"31,287","31,820","38,163","39,926","40,306","41,957","41,895","40,711","39,327","39,291","38,034","38,110","4,60,827",,
"4411,4412",Automobile and other motor vehicle dealers,"28,234","28,741","34,653","36,237","36,621","38,117","37,958","36,765","35,543","35,470","34,366","34,613","4,17,318",,
