Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1994,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 1994,Feb. 1994,Mar. 1994,Apr. 1994,May 1994,Jun. 1994,Jul. 1994,Aug. 1994,Sep. 1994,Oct. 1994,Nov. 1994,Dec. 1994,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","1,57,262","1,58,247","1,86,925","1,84,025","1,89,261","1,92,034","1,87,716","1,96,791","1,88,722","1,92,462","1,97,408","2,35,550","22,66,403",,
,Retail sales and food services excl motor vehicle and parts,"1,21,641","1,20,025","1,39,269","1,37,642","1,43,317","1,43,904","1,43,085","1,49,666","1,43,485","1,47,399","1,54,692","1,93,956","17,38,081",,
,Retail sales and food services excl gasoline stations,"1,44,698","1,46,097","1,73,436","1,70,536","1,75,073","1,77,479","1,72,746","1,81,366","1,74,160","1,77,766","1,83,026","2,20,704","20,97,087",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"1,09,077","1,07,875","1,25,780","1,24,153","1,29,129","1,29,349","1,28,115","1,34,241","1,28,923","1,32,703","1,40,310","1,79,110","15,68,765",,
,"Retail sales, total","1,41,534","1,42,096","1,68,571","1,65,664","1,70,292","1,73,036","1,68,000","1,77,283","1,70,304","1,73,559","1,79,547","2,16,404","20,46,290",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","1,05,913","1,03,874","1,20,915","1,19,281","1,24,348","1,24,906","1,23,369","1,30,158","1,25,067","1,28,496","1,36,831","1,74,810","15,17,968",,
,GAFO(1),"37,553","38,062","45,714","44,762","46,400","46,983","45,996","50,914","48,042","50,534","59,094","88,961","6,03,015",,
441,Motor vehicle and parts dealers,"35,621","38,222","47,656","46,383","45,944","48,130","44,631","47,125","45,237","45,063","42,716","41,594","5,28,322",,
"4411,4412",Automobile and other motor vehicle dealers,"32,250","34,797","43,580","42,338","41,922","43,916","40,487","42,686","41,187","40,915","38,662","37,707","4,80,447",,
4411,Automobile dealers,"31,359","33,621","41,570","40,102","39,687","41,425","38,312","40,702","39,401","38,851","36,976","36,146","4,58,152",,
44111,New car dealers,"29,860","31,959","39,742","38,191","37,869","39,511","36,388","38,533","37,384","36,655","35,170","34,399","4,35,661",,
44112,Used car dealers,"1,499","1,662","1,828","1,911","1,818","1,914","1,924","2,169","2,017","2,196","1,806","1,747","22,491",,
4413,"Automotive parts, acc., and tire stores","3,371","3,425","4,076","4,045","4,022","4,214","4,144","4,439","4,050","4,148","4,054","3,887","47,875",,
"442,443","Furniture, home furn, electronics, and appliance stores","8,283","8,150","9,329","8,912","9,196","9,607","9,609","10,205","10,017","10,318","11,641","15,741","1,21,008",,
442,Furniture and home furnishings stores,"3,881","4,000","4,658","4,538","4,698","4,784","4,809","5,172","5,027","5,143","5,542","6,096","58,348",,
4421,Furniture stores,"2,478","2,500","2,850","2,760","2,796","2,826","2,860","3,009","2,997","2,972","3,201","3,468","34,717",,
4422,Home furnishings stores,"1,403","1,500","1,808","1,778","1,902","1,958","1,949","2,163","2,030","2,171","2,341","2,628","23,631",,
44221,Floor covering stores,737,787,955,946,996,"1,049","1,015","1,119","1,062","1,141","1,108","1,083","11,998",,
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
