Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2019,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2019,Feb. 2019,Mar. 2019,Apr. 2019,May 2019,Jun. 2019,Jul. 2019,Aug. 2019,Sep. 2019,Oct. 2019,Nov. 2019,Dec. 2019,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","4,47,787","4,33,564","5,03,916","4,96,982","5,33,526","5,05,132","5,18,600","5,31,702","4,83,467","5,12,054","5,22,133","5,75,813","60,64,676",
,Retail sales and food services excl motor vehicle and parts,"3,61,069","3,45,199","3,95,250","3,95,134","4,23,391","4,02,197","4,11,270","4,19,319","3,85,947","4,10,611","4,23,467","4,75,021","48,47,875",
,Retail sales and food services excl gasoline stations,"4,11,291","3,98,027","4,61,822","4,52,685","4,86,141","4,60,265","4,72,176","4,85,738","4,40,690","4,67,687","4,80,677","5,34,812","55,52,011",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"3,24,573","3,09,662","3,53,156","3,50,837","3,76,006","3,57,330","3,64,846","3,73,355","3,43,170","3,66,244","3,82,011","4,34,020","43,35,210",
,"Retail sales, total","3,92,288","3,77,973","4,39,276","4,34,943","4,67,316","4,40,356","4,53,537","4,64,714","4,21,070","4,47,163","4,59,174","5,09,524","53,07,334",
,"Retail sales, total (excl. motor vehicle and parts dealers)","3,05,570","2,89,608","3,30,610","3,33,095","3,57,181","3,37,421","3,46,207","3,52,331","3,23,550","3,45,720","3,60,508","4,08,732","40,90,533",
,GAFO(1),"90,535","89,703","1,05,067","1,01,539","1,08,876","1,04,499","1,05,700","1,12,735","98,742","1,05,377","1,19,217","1,44,611","12,86,601",
441,Motor vehicle and parts dealers,"86,718","88,365","1,08,666","1,01,848","1,10,135","1,02,935","1,07,330","1,12,383","97,520","1,01,443","98,666","1,00,792","12,16,801",
"4411,4412",Automobile and other motor vehicle dealers,"79,642","81,432","1,00,483","93,794","1,01,816","95,024","99,101","1,03,938","89,890","93,050","90,984","93,586","11,22,740",
4411,Automobile dealers,"75,269","76,539","93,539","86,423","93,571","87,321","91,727","97,205","84,325","87,760","86,271","89,269","10,49,219",
44111,New car dealers,"67,132","67,618","82,609","76,943","83,940","78,142","82,413","87,828","75,787","78,996","77,863","81,618","9,40,889",
44112,Used car dealers,"8,137","8,921","10,930","9,480","9,631","9,179","9,314","9,377","8,538","8,764","8,408","7,651","1,08,330",
4413,"Automotive parts, acc., and tire stores","7,076","6,933","8,183","8,054","8,319","7,911","8,229","8,445","7,630","8,393","7,682","7,206","94,061",
"442,443","Furniture, home furn, electronics, and appliance stores","15,751","14,981","16,965","15,828","17,163","16,489","17,091","17,835","16,944","17,012","19,886","21,605","2,07,550",
442,Furniture and home furnishings stores,"8,641","8,463","9,825","9,394","10,105","9,565","9,986","10,402","9,914","10,027","10,789","10,926","1,18,037",
4421,Furniture stores,"4,569","4,560","5,438","5,005","5,507","5,271","5,427","5,629","5,560","5,334","5,699","5,329","63,328",
4422,Home furnishings stores,"4,072","3,903","4,387","4,389","4,598","4,294","4,559","4,773","4,354","4,693","5,090","5,597","54,709",
44221,Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
442299,All other home furnishings stores,"2,199","2,044","2,303","2,251","2,426","2,151","2,397","2,518","2,248","2,442","3,010","3,664","29,653",
443,Electronics and appliance stores,"7,110","6,518","7,140","6,434","7,058","6,924","7,105","7,433","7,030","6,985","9,097","10,679","89,513",
443141,Household appliance stores,"1,200","1,182","1,345","1,318","1,482","1,409","1,536","1,477","1,364","1,413","1,506","1,423","16,655",
443142,Electronics stores,"5,910","5,336","5,795","5,116","5,576","5,515","5,569","5,956","5,666","5,572","7,591","9,256","72,858",
444,Building mat. and garden equip. and supplies dealers,"26,519","23,923","29,807","33,897","37,095","33,354","33,491","32,150","29,738","32,376","29,479","28,261","3,70,090",
4441,Building mat. and supplies dealers,"23,347","20,961","25,786","29,138","32,109","29,159","29,776","28,726","26,452","28,465","25,961","24,699","3,24,579",
44412,Paint and wallpaper stores,889,837,"1,002",957,"1,163","1,148","1,225","1,239","1,137","1,156",942,839,"12,534",
44413,Hardware stores,"2,031","1,859","2,280","2,453","2,756","2,524","2,473","2,478","2,283","2,521","2,330","2,348","28,336",
445,Food and beverage stores,"62,529","56,596","63,200","62,009","66,175","64,100","65,943","66,430","61,831","64,050","65,475","68,824","7,67,162",
4451,Grocery stores,"57,172","51,279","57,247","56,009","59,680","57,759","59,322","59,800","55,833","57,735","58,722","60,270","6,90,828",
44511,Supermarkets and other grocery (except convenience) stores,"55,011","49,157","54,810","53,514","56,928","55,074","56,557","57,022","53,225","55,112","56,236","57,799","6,60,445",
4453,"Beer, wine, and liquor stores","3,837","3,818","4,331","4,252","4,741","4,647","4,876","4,902","4,349","4,569","4,933","6,163","55,418",
446,Health and personal care stores,"28,533","26,750","28,739","28,441","29,453","27,634","28,212","28,607","27,288","29,565","27,810","31,360","3,42,392",
44611,Pharmacies and drug stores,"24,427","22,695","23,972","24,186","24,992","23,091","23,873","24,012","22,859","25,184","23,108","25,480","2,87,879",
447,Gasoline stations,"36,496","35,537","42,094","44,297","47,385","44,867","46,424","45,964","42,777","44,367","41,456","41,001","5,12,665",
448,Clothing and clothing access. stores,"15,709","17,456","21,468","20,864","22,443","20,537","21,128","23,201","19,018","20,828","24,454","34,163","2,61,269",
4481,Clothing stores,"11,641","12,184","15,783","15,381","16,399","15,317","15,540","16,556","13,993","15,660","18,472","23,780","1,90,706",
44811,Men's clothing stores,614,577,716,829,837,730,663,710,723,780,841,"1,023","9,043",
44812,Women's clothing stores,"2,271","2,425","3,243","3,237","3,455","2,953","2,940","3,007","2,797","3,101","3,508","4,216","37,153",
44814,Family clothing stores,"6,600","6,903","9,058","8,745","9,379","8,997","9,221","9,979","8,132","9,259","11,105","14,257","1,11,635",
44819,Other clothing stores,"1,096","1,126","1,352","1,191","1,282","1,373","1,349","1,370","1,134","1,189","1,453","2,107","16,022",
4482,Shoe stores,"2,196","2,733","3,399","3,035","3,048","2,829","3,108","4,047","2,619","2,763","3,085","4,113","36,975",
44831,Jewelry stores,"1,709","2,364","2,090","2,256","2,749","2,168","2,276","2,379","2,205","2,214","2,651","5,848","30,909",
451,"Sporting goods, hobby, musical instrument, and book stores","5,321","4,940","5,983","5,887","6,145","6,291","6,262","7,180","5,950","6,041","6,935","9,093","76,028",
45111,Sporting goods stores,"2,645","2,738","3,524","3,504","3,648","3,972","3,949","4,172","3,246","3,360","3,647","5,081","43,486",
45112,"Hobby, toy, and game stores","1,067","1,025","1,190","1,089","1,159","1,097","1,105","1,190","1,175","1,319","1,935","2,164","15,515",
451211,Book stores,972,553,571,615,659,581,559,"1,067",824,613,603,"1,010","8,627",
452,General merchandise stores,"51,806","50,473","58,591","56,885","60,732","58,917","58,720","61,830","54,587","58,745","65,745","76,898","7,13,929",
4522,Department stores,"3,025","3,546","4,246","4,234","4,737","4,156","4,341","4,658","3,777","4,034","5,772","8,227","54,753",
45221,Department stores,"3,025","3,546","4,246","4,234","4,737","4,156","4,341","4,658","3,777","4,034","5,772","8,227","54,753",
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"48,781","46,927","54,345","52,651","55,995","54,761","54,379","57,172","50,810","54,711","59,973","68,671","6,59,176",
452311,Warehouse clubs and supercenters,"43,016","41,286","47,850","46,087","49,029","48,192","47,949","50,631","44,682","48,026","52,867","60,367","5,79,982",
