Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2019,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2019,Feb. 2019,Mar. 2019,Apr. 2019,May 2019,Jun. 2019,Jul. 2019,Aug. 2019,Sep. 2019,Oct. 2019,Nov. 2019,Dec. 2019,TOTAL,
452319,All other gen. merchandise stores,"5,765","5,641","6,495","6,564","6,966","6,569","6,430","6,541","6,128","6,685","7,106","8,304","79,194",
453,Miscellaneous store retailers,"8,285","8,106","9,124","9,558","11,121","10,063","10,121","10,544","9,619","10,731","10,365","10,926","1,18,563",
4532,"Office supplies, stationery, and gift stores","1,948","1,853","2,060","2,075","2,393","2,265","2,499","2,689","2,243","2,751","2,197","2,852","27,825",
45321,Office supplies and stationery stores,985,812,866,826,807,731,867,"1,227",871,811,752,889,"10,444",
45322,"Gift, novelty, and souvenir stores",963,"1,041","1,194","1,249","1,586","1,534","1,632","1,462","1,372","1,940","1,445","1,963","17,381",
45330,Used merchandise stores,"1,197","1,192","1,373","1,441","1,261","1,263","1,310","1,477","1,412","1,664","1,494","1,405","16,489",
454,Nonstore retailers,"54,621","50,846","54,639","55,429","59,469","55,169","58,815","58,590","55,798","62,005","68,903","86,601","7,20,885",
4541,Electronic shopping and mail-order houses,"47,056","44,163","48,040","49,849","53,983","50,303","53,828","53,440","50,686","56,007","62,534","79,342","6,49,231",
45431,Fuel dealers,"4,619","3,958","3,712","2,591","2,174","1,767","1,838","1,929","2,014","2,629","3,319","4,040","34,590",
722,Food services and drinking places,"55,499","55,591","64,640","62,039","66,210","64,776","65,063","66,988","62,397","64,891","62,959","66,289","7,57,342",
7224,Drinking places,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
7225,Restaurants and other eating places,"49,445","49,162","57,230","54,723","58,681","57,911","58,456","59,213","53,997","55,928","54,579","57,994","6,67,319",
722511,Full service restaurants,"24,402","24,446","27,936","26,474","28,976","28,521","28,596","29,218","26,449","27,452","27,334","30,112","3,29,916",
"722513, 722514, 722515",Limited service eating places,"25,043","24,716","29,294","28,249","29,705","29,390","29,860","29,995","27,548","28,476","27,245","27,882","3,37,403",
,ADJUSTED(2),,,,,,,,,,,,,,
,"Retail and food services sales, total","4,90,440","4,91,751","4,99,292","4,99,343","5,04,741","5,05,251","5,09,091","5,12,561","5,09,282","5,10,648","5,14,215","5,15,866",,
,Retail sales and food services excl motor vehicle and parts,"3,92,701","3,92,781","3,97,587","3,99,785","4,03,398","4,03,851","4,07,200","4,08,296","4,07,535","4,08,777","4,09,726","4,13,614",,
,Retail sales and food services excl gasoline stations,"4,50,597","4,50,333","4,56,119","4,54,913","4,60,907","4,63,083","4,66,343","4,69,804","4,66,802","4,67,740","4,71,433","4,71,826",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"3,52,858","3,51,363","3,54,414","3,55,355","3,59,564","3,61,683","3,64,452","3,65,539","3,65,055","3,65,869","3,66,944","3,69,574",,
,"Retail sales, total","4,30,246","4,31,194","4,38,196","4,37,735","4,42,514","4,42,116","4,45,304","4,48,519","4,44,555","4,45,627","4,49,040","4,49,643",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","3,32,507","3,32,224","3,36,491","3,38,177","3,41,171","3,40,716","3,43,413","3,44,254","3,42,808","3,43,756","3,44,551","3,47,391",,
,GAFO(1),"1,05,699","1,05,716","1,07,003","1,06,717","1,06,852","1,07,085","1,08,005","1,07,624","1,07,005","1,07,280","1,07,947","1,09,604",,
441,Motor vehicle and parts dealers,"97,739","98,970","1,01,705","99,558","1,01,343","1,01,400","1,01,891","1,04,265","1,01,747","1,01,871","1,04,489","1,02,252",,
"4411,4412",Automobile and other motor vehicle dealers,"90,195","91,189","93,822","91,685","93,495","93,528","94,024","96,328","93,929","93,990","96,586","94,436",,
4413,"Automotive parts, acc., and tire stores","7,544","7,781","7,883","7,873","7,848","7,872","7,867","7,937","7,818","7,881","7,903","7,816",,
"442,443","Furniture, home furn, electronics, and appliance stores","17,184","17,104","17,256","17,118","17,356","17,368","17,404","17,352","17,500","17,310","17,401","17,420",,
442,Furniture and home furnishings stores,"9,580","9,595","9,708","9,765","9,839","9,891","9,917","9,897","10,045","9,918","9,981","9,978",,
443,Electronics and appliance stores,"7,604","7,509","7,548","7,353","7,517","7,477","7,487","7,455","7,455","7,392","7,420","7,442",,
444,Building mat. and garden equip. and supplies dealers,"31,817","30,290","30,625","30,643","30,423","30,417","30,915","31,270","30,945","30,876","30,895","31,358",,
4441,Building mat. and supplies dealers,"27,761","26,433","26,832","27,105","26,982","26,776","27,045","27,410","27,047","26,905","26,819","27,413",,
445,Food and beverage stores,"63,542","62,322","63,417","63,689","63,678","64,087","64,700","64,829","64,250","64,094","64,286","64,688",,
4451,Grocery stores,"57,229","56,043","57,133","57,386","57,385","57,759","58,273","58,398","57,858","57,677","57,854","58,232",,
4453,"Beer, wine and liquor stores","4,552","4,540","4,549","4,543","4,563","4,596","4,666","4,677","4,651","4,662","4,689","4,737",,
446,Health and personal care stores,"28,419","28,763","28,653","28,584","28,791","28,636","28,497","28,493","28,425","28,704","28,465","28,126",,
44611,Pharmacies and drug stores,"23,878","24,247","24,141","24,138","24,335","24,103","24,017","24,012","23,762","24,100","23,725","23,484",,
447,Gasoline stations,"39,843","41,418","43,173","44,430","43,834","42,168","42,748","42,757","42,480","42,908","42,782","44,040",,
448,Clothing and clothing access. stores,"21,463","21,504","21,833","21,771","21,580","21,582","21,862","21,882","21,645","21,693","21,674","22,475",,
4481,Clothing stores,"15,702","15,620","15,930","15,876","15,781","15,800","15,909","15,889","15,701","15,876","15,849","16,525",,
44811,Men's clothing stores,772,718,740,750,741,740,748,755,757,763,779,775,,
44812,Women's clothing stores,"3,098","3,054","3,112","3,089","3,124","3,066","3,091","3,056","3,097","3,142","3,091","3,146",,
4482,Shoe stores,"3,142","3,163","3,201","3,116","3,042","3,062","3,080","3,094","3,010","3,026","3,007","3,029",,
44831,Jewelry stores,"2,421","2,523","2,494","2,569","2,538","2,483","2,656","2,670","2,702","2,580","2,579","2,662",,
451,"Sporting goods, hobby, musical instrument, and book stores","6,166","6,230","6,265","6,385","6,408","6,452","6,344","6,405","6,377","6,427","6,203","6,404",,
452,General merchandise stores,"58,583","58,544","59,302","59,110","59,100","59,281","60,016","59,690","59,258","59,602","60,371","61,028",,
4522,Department stores,"4,213","4,684","4,707","4,658","4,685","4,542","4,829","4,639","4,392","4,301","4,485","4,571",,
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"54,370","53,860","54,595","54,452","54,415","54,739","55,187","55,051","54,866","55,301","55,886","56,457",,
452311,Warehouse clubs and supercenters,"47,796","47,346","47,994","47,808","47,880","48,144","48,531","48,404","48,305","48,708","49,270","49,808",,
452319,All other gen. merchandise stores,"6,574","6,514","6,601","6,644","6,535","6,595","6,656","6,647","6,561","6,593","6,616","6,649",,
453,Miscellaneous stores retailers,"9,387","9,518","9,623","9,799","9,962","9,947","9,842","10,023","9,951","10,094","10,280","10,100",,
454,Nonstore retailers,"56,103","56,531","56,344","56,648","60,039","60,778","61,085","61,553","61,977","62,048","62,194","61,752",,
4541,Electronic shopping and mail order houses,"50,113","50,588","50,409","50,814","54,200","54,796","55,095","55,493","56,007","56,176","56,084","55,679",,
45431,Fuel dealers,"2,846","2,902","3,048","2,895","2,834","2,864","2,881","2,883","2,793","2,747","3,017","2,808",,
722,Food services and drinking places,"60,194","60,557","61,096","61,608","62,227","63,135","63,787","64,042","64,727","65,021","65,175","66,223",,
,,,,,,,,,,,,,,,
"(S) Suppressed - Estimate does not meet publication standards because of high sampling variability (coefficient of variation is greater than 30%), poor response quality (total quantity response rate",,,,,,,,,,,,,,,
"is less than 50%), or other concerns about the estimate's quality.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,
"Estimates include data only for businesses with paid employees. Prior to the benchmark report released in April 2025, the Monthly Retail Trade Survey estimates included nonemployers.",,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
