Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2002,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2002,Feb. 2002,Mar. 2002,Apr. 2002,May 2002,Jun. 2002,Jul. 2002,Aug. 2002,Sep. 2002,Oct. 2002,Nov. 2002,Dec. 2002,TOTAL,,
44611,Pharmacies and drug stores,"12,455","11,936","12,786","12,611","13,127","12,288","12,628","12,769","12,379","13,128","12,887","14,755","1,53,749",,
447,Gasoline stations,"17,399","16,607","19,716","20,980","22,096","21,536","22,846","22,996","21,252","22,135","20,764","20,814","2,49,141",,
448,Clothing and clothing access. stores,"10,071","11,410","13,632","12,865","13,785","12,881","12,557","14,760","12,138","13,668","15,524","24,643","1,67,934",,
4481,Clothing stores,"7,286","7,782","9,949","9,302","9,659","9,319","9,133","10,576","8,939","10,237","11,462","16,487","1,20,131",,
44811,Men's clothing stores,527,521,641,617,649,634,576,677,590,653,743,"1,087","7,915",,
44812,Women's clothing stores,"1,945","2,114","2,721","2,625","2,698","2,428","2,212","2,485","2,323","2,479","2,683","3,882","30,595",,
44814,Family clothing stores,"3,568","3,820","5,017","4,689","4,943","4,916","4,998","5,802","4,670","5,603","6,489","9,337","63,852",,
44819,Other clothing stores,616,594,682,611,635,645,581,610,566,659,680,"1,077","7,956",,
4482,Shoe stores,"1,448","1,637","2,051","1,922","2,005","1,878","1,848","2,414","1,676","1,759","1,860","2,457","22,955",,
44831,Jewelry stores,"1,225","1,882","1,514","1,528","1,992","1,565","1,459","1,640","1,410","1,561","2,074","5,454","23,304",,
451,"Sporting goods, hobby, musical instrument, and book stores","5,179","4,282","4,984","4,713","4,954","4,937","4,879","5,913","5,172","4,932","6,374","9,668","65,987",,
45111,Sporting goods stores,"1,659","1,682","2,067","2,058","2,042","2,170","2,076","2,273","1,905","1,809","2,034","3,232","25,007",,
45112,"Hobby, toy, and game stores",856,925,"1,133",971,"1,034","1,020","1,057","1,040","1,004","1,290","2,366","3,499","16,195",,
451211,Book stores,"1,925",974,982,941,"1,087","1,019","1,011","1,752","1,455",975,"1,036","1,904","15,061",,
452,General merchandise stores,"30,046","30,835","35,859","34,197","37,227","36,168","34,653","37,365","33,007","36,204","42,348","57,316","4,45,225",,
4522,Department stores,"14,604","15,148","17,937","17,170","18,339","17,452","16,453","18,296","15,817","17,515","21,048","30,964","2,20,743",,
45221,Department stores,"14,604","15,148","17,937","17,170","18,339","17,452","16,453","18,296","15,817","17,515","21,048","30,964","2,20,743",,
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"15,442","15,687","17,922","17,027","18,888","18,716","18,200","19,069","17,190","18,689","21,300","26,352","2,24,482",,
452311,Warehouse clubs and supercenters,"13,163","13,395","15,286","14,467","16,085","16,025","15,619","16,358","14,713","15,895","18,153","22,093","1,91,252",,
452319,All other gen. merchandise stores,"2,279","2,292","2,636","2,560","2,803","2,691","2,581","2,711","2,477","2,794","3,147","4,259","33,230",,
453,Miscellaneous store retailers,"6,932","7,024","7,075","7,125","7,868","7,303","7,387","8,037","7,273","7,727","7,444","9,617","90,812",,
4532,"Office supplies, stationery, and gift stores","2,942","2,860","2,786","2,656","2,855","2,598","2,759","3,313","2,907","3,092","3,146","4,705","36,619",,
45321,Office supplies and stationery stores,"2,009","1,707","1,694","1,590","1,541","1,379","1,506","1,980","1,748","1,735","1,672","2,057","20,618",,
45322,"Gift, novelty, and souvenir stores",933,"1,153","1,092","1,066","1,314","1,219","1,253","1,333","1,159","1,357","1,474","2,648","16,001",,
45330,Used merchandise stores,713,649,665,640,612,626,640,662,606,621,615,718,"7,767",,
454,Nonstore retailers,"14,641","13,131","14,232","13,748","13,717","12,405","13,051","13,570","13,440","15,311","16,053","19,566","1,72,865",,
4541,Electronic shopping and mail-order houses,"9,791","8,819","9,557","9,573","9,603","8,867","9,367","9,727","9,558","10,602","11,263","14,002","1,20,729",,
45431,Fuel dealers,"2,734","2,240","2,150","1,734","1,565","1,308","1,408","1,518","1,595","2,051","2,265","3,041","23,609",,
722,Food services and drinking places,"24,383","24,330","27,360","26,631","27,905","27,631","27,841","28,712","26,066","26,809","26,219","27,385","3,21,272",,
7224,Drinking places,"1,175","1,162","1,303","1,225","1,282","1,252","1,302","1,305","1,183","1,231","1,232","1,250","14,902",,
7225,Restaurants and other eating places,"21,287","21,222","23,878","23,153","24,335","24,132","24,514","25,227","22,477","23,107","22,688","23,954","2,79,974",,
722511,Full service restaurants,"11,246","11,140","12,389","11,845","12,543","12,375","12,558","13,033","11,461","11,841","11,721","12,498","1,44,650",,
"722513, 722514, 722515",Limited service eating places,"10,041","10,082","11,489","11,308","11,792","11,757","11,956","12,194","11,016","11,266","10,967","11,456","1,35,324",,
,ADJUSTED(2),,,,,,,,,,,,,,,
,"Retail and food services sales, total","2,77,135","2,78,869","2,78,079","2,81,147","2,78,966","2,80,426","2,84,161","2,85,884","2,81,064","2,82,940","2,83,408","2,86,646",,,
,Retail sales and food services excl motor vehicle and parts,"2,10,592","2,11,933","2,12,922","2,14,538","2,14,712","2,14,429","2,15,007","2,15,334","2,14,949","2,16,503","2,18,069","2,18,284",,,
,Retail sales and food services excl gasoline stations,"2,58,161","2,59,890","2,58,284","2,60,416","2,58,199","2,59,837","2,62,869","2,64,767","2,59,897","2,61,429","2,61,482","2,64,433",,,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"1,91,618","1,92,954","1,93,127","1,93,807","1,93,945","1,93,840","1,93,715","1,94,217","1,93,782","1,94,992","1,96,143","1,96,071",,,
,"Retail sales, total","2,50,603","2,52,279","2,51,542","2,54,543","2,52,390","2,53,652","2,57,339","2,59,050","2,54,081","2,56,131","2,56,350","2,59,206",,,
,"Retail sales, total (excl. motor vehicle and parts dealers)","1,84,060","1,85,343","1,86,385","1,87,934","1,88,136","1,87,655","1,88,185","1,88,500","1,87,966","1,89,694","1,91,011","1,90,844",,,
,GAFO(1),"74,154","74,788","74,811","74,941","74,821","74,867","74,339","74,586","74,391","75,579","75,260","75,579",,,
441,Motor vehicle and parts dealers,"66,543","66,936","65,157","66,609","64,254","65,997","69,154","70,550","66,115","66,437","65,339","68,362",,,
"4411,4412",Automobile and other motor vehicle dealers,"61,488","61,881","60,155","61,551","59,199","60,902","64,032","65,421","61,032","61,347","60,320","63,353",,,
4413,"Automotive parts, acc., and tire stores","5,055","5,055","5,002","5,058","5,055","5,095","5,122","5,129","5,083","5,090","5,019","5,009",,,
"442,443","Furniture, home furn, electronics, and appliance stores","15,064","15,193","15,257","15,145","15,267","15,152","14,977","15,033","14,963","15,016","15,101","15,158",,,
442,Furniture and home furnishings stores,"7,644","7,709","7,713","7,665","7,716","7,605","7,523","7,609","7,596","7,584","7,738","7,737",,,
443,Electronics and appliance stores,"7,420","7,484","7,544","7,480","7,551","7,547","7,454","7,424","7,367","7,432","7,363","7,421",,,
444,Building mat. and garden equip. and supplies dealers,"20,090","20,387","20,396","20,942","20,678","20,549","20,549","20,522","20,540","20,374","20,713","20,438",,,
4441,Building mat. and supplies dealers,"17,532","17,766","17,904","18,378","18,108","17,876","17,929","17,951","17,983","17,868","18,103","17,920",,,
445,Food and beverage stores,"38,205","38,282","38,237","37,836","38,198","38,006","38,117","38,224","37,783","38,127","38,431","38,001",,,
4451,Grocery stores,"34,793","34,809","34,784","34,402","34,722","34,538","34,650","34,758","34,363","34,739","34,984","34,547",,,
4453,"Beer, wine and liquor stores","2,363","2,394","2,371","2,373","2,384","2,368","2,363","2,352","2,328","2,306","2,339","2,351",,,
446,Health and personal care stores,"14,339","14,550","14,646","14,705","14,734","14,809","14,815","14,963","15,152","15,067","15,229","15,104",,,
44611,Pharmacies and drug stores,"12,393","12,525","12,647","12,674","12,708","12,840","12,756","12,950","13,086","12,998","13,245","13,116",,,
447,Gasoline stations,"18,974","18,979","19,795","20,731","20,767","20,589","21,292","21,117","21,167","21,511","21,926","22,213",,,
448,Clothing and clothing access. stores,"13,795","14,003","14,109","13,925","13,900","13,951","13,852","14,026","13,721","14,164","14,126","14,282",,,
4481,Clothing stores,"9,837","9,996","10,028","9,954","9,872","9,983","9,968","10,018","9,792","10,214","10,145","10,273",,,
44811,Men's clothing stores,658,684,682,679,662,662,659,647,664,651,651,645,,,
44812,Women's clothing stores,"2,566","2,610","2,604","2,571","2,531","2,527","2,494","2,544","2,484","2,486","2,524","2,643",,,
4482,Shoe stores,"1,926","1,956","1,950","1,903","1,924","1,930","1,903","1,931","1,875","1,887","1,910","1,878",,,
44831,Jewelry stores,"1,893","1,922","2,005","1,937","1,976","1,911","1,854","1,948","1,924","1,937","1,947","2,001",,,
451,"Sporting goods, hobby, musical instrument, and book stores","5,557","5,476","5,471","5,512","5,492","5,413","5,445","5,430","5,549","5,548","5,616","5,518",,,
452,General merchandise stores,"36,718","37,008","36,939","37,355","37,127","37,333","37,028","37,022","37,058","37,755","37,420","37,536",,,
4522,Department stores,"18,991","18,935","18,861","19,014","18,618","18,645","18,281","18,241","18,077","18,534","17,883","17,898",,,
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"17,727","18,073","18,078","18,341","18,509","18,688","18,747","18,781","18,981","19,221","19,537","19,638",,,
452311,Warehouse clubs and supercenters,"14,924","15,344","15,363","15,606","15,785","15,914","16,019","16,006","16,204","16,404","16,715","16,814",,,
452319,All other gen. merchandise stores,"2,803","2,729","2,715","2,735","2,724","2,774","2,728","2,775","2,777","2,817","2,822","2,824",,,
453,Miscellaneous stores retailers,"7,535","7,626","7,506","7,551","7,496","7,606","7,561","7,706","7,675","7,612","7,409","7,551",,,
454,Nonstore retailers,"13,783","13,839","14,029","14,232","14,477","14,247","14,549","14,457","14,358","14,520","15,040","15,043",,,
4541,Electronic shopping and mail order houses,"9,791","9,865","9,842","9,889","10,003","9,852","10,072","10,090","10,040","10,097","10,400","10,349",,,
45431,Fuel dealers,"1,714","1,746","1,787","1,912","2,009","1,982","2,035","1,997","2,001","2,091","2,249","2,268",,,
722,Food services and drinking places,"26,532","26,590","26,537","26,604","26,576","26,774","26,822","26,834","26,983","26,809","27,058","27,440",,,
,,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,,
"Estimates include data only for businesses with paid employees. Prior to the benchmark report released in April 2025, the Monthly Retail Trade Survey estimates included nonemployers.",,,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
