Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2002,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2002,Feb. 2002,Mar. 2002,Apr. 2002,May 2002,Jun. 2002,Jul. 2002,Aug. 2002,Sep. 2002,Oct. 2002,Nov. 2002,Dec. 2002,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","2,49,733","2,47,105","2,78,589","2,78,094","2,93,225","2,82,087","2,88,671","3,00,238","2,66,763","2,80,610","2,83,743","3,28,840","33,77,698",,
,Retail sales and food services excl motor vehicle and parts,"1,90,440","1,85,567","2,10,279","2,08,804","2,22,620","2,12,512","2,13,759","2,22,226","2,02,962","2,15,703","2,24,466","2,66,619","25,75,957",,
,Retail sales and food services excl gasoline stations,"2,32,334","2,30,498","2,58,873","2,57,114","2,71,129","2,60,551","2,65,825","2,77,242","2,45,511","2,58,475","2,62,979","3,08,026","31,28,557",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"1,73,041","1,68,960","1,90,563","1,87,824","2,00,524","1,90,976","1,90,913","1,99,230","1,81,710","1,93,568","2,03,702","2,45,805","23,26,816",,
,"Retail sales, total","2,25,350","2,22,775","2,51,229","2,51,463","2,65,320","2,54,456","2,60,830","2,71,526","2,40,697","2,53,801","2,57,524","3,01,455","30,56,426",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","1,66,057","1,61,237","1,82,919","1,82,173","1,94,715","1,84,881","1,85,918","1,93,514","1,76,896","1,88,894","1,98,247","2,39,234","22,54,685",,
,GAFO(1),"62,243","62,978","71,941","68,001","73,523","70,843","69,235","76,734","67,123","72,356","84,161","1,17,897","8,97,035",,
441,Motor vehicle and parts dealers,"59,293","61,538","68,310","69,290","70,605","69,575","74,912","78,012","63,801","64,907","59,277","62,221","8,01,741",,
"4411,4412",Automobile and other motor vehicle dealers,"54,663","57,054","63,343","64,075","65,237","64,312","69,411","72,421","58,835","59,568","54,469","57,588","7,40,976",,
4411,Automobile dealers,"51,939","53,721","59,022","59,137","59,896","59,480","64,724","68,056","55,412","56,326","51,479","54,648","6,93,840",,
44111,New car dealers,"48,146","49,591","54,904","54,982","55,678","55,376","60,596","63,684","51,582","52,272","47,747","51,201","6,45,759",,
44112,Used car dealers,"3,793","4,130","4,118","4,155","4,218","4,104","4,128","4,372","3,830","4,054","3,732","3,447","48,081",,
4413,"Automotive parts, acc., and tire stores","4,630","4,484","4,967","5,215","5,368","5,263","5,501","5,591","4,966","5,339","4,808","4,633","60,765",,
"442,443","Furniture, home furn, electronics, and appliance stores","14,005","13,591","14,680","13,570","14,702","14,259","14,387","15,383","13,899","14,460","16,769","21,565","1,81,270",,
442,Furniture and home furnishings stores,"6,956","6,900","7,566","7,167","7,770","7,293","7,455","7,974","7,247","7,637","8,589","9,261","91,815",,
4421,Furniture stores,"4,016","4,031","4,359","4,028","4,314","4,066","4,066","4,281","3,964","4,096","4,578","4,423","50,222",,
4422,Home furnishings stores,"2,940","2,869","3,207","3,139","3,456","3,227","3,389","3,693","3,283","3,541","4,011","4,838","41,593",,
44221,Floor covering stores,"1,349","1,359","1,510","1,540","1,611","1,517","1,536","1,664","1,524","1,599","1,555","1,442","18,206",,
442299,All other home furnishings stores,"1,492","1,430","1,615","1,512","1,751","1,621","1,752","1,928","1,672","1,846","2,353","3,287","22,259",,
443,Electronics and appliance stores,"7,049","6,691","7,114","6,403","6,932","6,966","6,932","7,409","6,652","6,823","8,180","12,304","89,455",,
443141,Household appliance stores,"1,062","1,015","1,128","1,138","1,171","1,186","1,261","1,181","1,090","1,134","1,204","1,358","13,928",,
443142,Electronics stores,"5,987","5,676","5,986","5,265","5,761","5,780","5,671","6,228","5,562","5,689","6,976","10,946","75,527",,
444,Building mat. and garden equip. and supplies dealers,"16,390","15,875","19,033","24,269","25,444","23,090","22,364","21,369","20,009","21,521","19,369","17,829","2,46,562",,
4441,Building mat. and supplies dealers,"14,850","14,355","16,758","19,903","20,770","19,217","19,579","19,225","18,109","19,333","17,469","16,074","2,15,642",,
44412,Paint and wallpaper stores,558,545,622,699,750,727,781,778,696,734,589,508,"7,987",,
44413,Hardware stores,"1,130","1,071","1,265","1,501","1,647","1,566","1,521","1,437","1,294","1,373","1,369","1,428","16,602",,
445,Food and beverage stores,"37,084","34,645","38,842","36,016","39,702","38,041","39,083","39,233","36,433","37,809","38,830","41,224","4,56,942",,
4451,Grocery stores,"34,202","31,711","35,514","32,854","36,111","34,573","35,516","35,662","33,263","34,531","35,299","36,378","4,15,614",,
44511,Supermarkets and other grocery (except convenience) stores,"32,664","30,232","33,857","31,197","34,307","32,763","33,676","33,871","31,528","32,806","33,642","34,691","3,95,234",,
4453,"Beer, wine, and liquor stores","1,999","1,994","2,236","2,174","2,429","2,349","2,427","2,451","2,170","2,267","2,456","3,294","28,246",,
446,Health and personal care stores,"14,310","13,837","14,866","14,690","15,220","14,261","14,711","14,888","14,273","15,127","14,772","16,992","1,77,947",,
