Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2014,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2014,Feb. 2014,Mar. 2014,Apr. 2014,May 2014,Jun. 2014,Jul. 2014,Aug. 2014,Sep. 2014,Oct. 2014,Nov. 2014,Dec. 2014,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","3,76,896","3,73,381","4,25,114","4,23,637","4,50,823","4,25,386","4,35,465","4,43,328","4,13,706","4,30,355","4,30,613","4,90,487","51,19,191",
,Retail sales and food services excl motor vehicle and parts,"3,07,335","2,99,522","3,35,787","3,36,722","3,58,626","3,39,678","3,45,165","3,51,640","3,31,236","3,46,921","3,52,341","4,04,598","41,09,571",
,Retail sales and food services excl gasoline stations,"3,34,352","3,32,803","3,78,825","3,76,375","4,00,264","3,76,776","3,85,677","3,93,980","3,67,545","3,84,208","3,89,726","4,52,831","45,73,362",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"2,64,791","2,58,944","2,89,498","2,89,460","3,08,067","2,91,068","2,95,377","3,02,292","2,85,075","3,00,774","3,11,454","3,66,942","35,63,742",
,"Retail sales, total","3,34,846","3,31,385","3,76,734","3,76,970","4,00,918","3,78,559","3,87,820","3,94,308","3,67,663","3,81,289","3,83,954","4,40,713","45,55,159",
,"Retail sales, total (excl. motor vehicle and parts dealers)","2,65,285","2,57,526","2,87,407","2,90,055","3,08,721","2,92,851","2,97,520","3,02,620","2,85,193","2,97,855","3,05,682","3,54,824","35,45,539",
,GAFO(1),"85,607","88,625","98,252","95,927","1,02,680","96,522","98,385","1,06,379","94,685","1,00,319","1,13,721","1,43,423","12,24,525",
441,Motor vehicle and parts dealers,"69,561","73,859","89,327","86,915","92,197","85,708","90,300","91,688","82,470","83,434","78,272","85,889","10,09,620",
"4411,4412",Automobile and other motor vehicle dealers,"63,108","67,347","82,059","79,694","84,922","78,608","82,952","84,421","75,489","76,011","71,324","79,328","9,25,263",
4411,Automobile dealers,"60,052","63,515","76,811","73,877","78,424","72,565","77,077","79,405","70,786","71,862","68,182","75,886","8,68,442",
44111,New car dealers,"54,805","56,571","69,392","67,284","71,743","66,010","70,417","72,495","64,176","64,941","62,221","69,761","7,89,816",
44112,Used car dealers,"5,247","6,944","7,419","6,593","6,681","6,555","6,660","6,910","6,610","6,921","5,961","6,125","78,626",
4413,"Automotive parts, acc., and tire stores","6,453","6,512","7,268","7,221","7,275","7,100","7,348","7,267","6,981","7,423","6,948","6,561","84,357",
