Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2010,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2010,Feb. 2010,Mar. 2010,Apr. 2010,May 2010,Jun. 2010,Jul. 2010,Aug. 2010,Sep. 2010,Oct. 2010,Nov. 2010,Dec. 2010,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","3,08,374","3,04,401","3,53,272","3,49,065","3,58,240","3,51,056","3,54,608","3,55,285","3,38,763","3,47,841","3,58,622","4,18,309","41,97,836",,
,Retail sales and food services excl motor vehicle and parts,"2,59,734","2,54,037","2,87,445","2,86,227","2,94,477","2,87,899","2,89,121","2,90,722","2,78,523","2,87,878","3,01,102","3,55,091","34,72,256",,
,Retail sales and food services excl gasoline stations,"2,74,338","2,72,614","3,16,153","3,10,884","3,19,189","3,12,960","3,15,666","3,16,851","3,01,693","3,09,461","3,21,640","3,79,308","37,50,757",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"2,25,698","2,22,250","2,50,326","2,48,046","2,55,426","2,49,803","2,50,179","2,52,288","2,41,453","2,49,498","2,64,120","3,16,090","30,25,177",,
,"Retail sales, total","2,73,665","2,69,889","3,14,812","3,10,622","3,18,467","3,12,635","3,14,597","3,15,974","3,01,406","3,08,709","3,22,076","3,79,520","37,42,372",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","2,25,025","2,19,525","2,48,985","2,47,784","2,54,704","2,49,478","2,49,110","2,51,411","2,41,166","2,48,746","2,64,556","3,16,302","30,16,792",,
,GAFO(1),"78,825","80,286","88,546","85,680","90,024","86,927","88,186","91,916","84,474","87,986","1,01,223","1,34,633","10,98,706",,
441,Motor vehicle and parts dealers,"48,640","50,364","65,827","62,838","63,763","63,157","65,487","64,563","60,240","59,963","57,520","63,218","7,25,580",,
"4411,4412",Automobile and other motor vehicle dealers,"43,489","44,915","59,375","56,426","57,494","56,428","58,866","57,712","53,692","53,351","51,192","56,881","6,49,821",,
4411,Automobile dealers,"41,241","42,331","55,340","51,968","53,187","52,007","54,823","54,078","50,575","50,462","48,483","54,341","6,08,836",,
44111,New car dealers,"37,032","37,152","49,921","47,051","48,345","46,879","49,698","48,859","45,613","45,368","43,816","49,739","5,49,473",,
44112,Used car dealers,"4,209","5,179","5,419","4,917","4,842","5,128","5,125","5,219","4,962","5,094","4,667","4,602","59,363",,
4413,"Automotive parts, acc., and tire stores","5,151","5,449","6,452","6,412","6,269","6,729","6,621","6,851","6,548","6,612","6,328","6,337","75,759",,
"442,443","Furniture, home furn, electronics, and appliance stores","13,660","14,014","14,708","13,576","14,223","14,544","14,864","15,129","14,427","13,802","16,747","21,062","1,80,756",,
442,Furniture and home furnishings stores,"6,145","6,285","7,062","6,535","6,739","6,703","7,036","7,124","6,898","6,600","7,418","8,249","82,794",,
4421,Furniture stores,"3,608","3,756","4,009","3,602","3,887","3,674","3,886","3,919","3,855","3,642","3,931","3,972","45,741",,
4422,Home furnishings stores,"2,537","2,529","3,053","2,933","2,852","3,029","3,150","3,205","3,043","2,958","3,487","4,277","37,053",,
44221,Floor covering stores,943,"1,030","1,201","1,183","1,064","1,284","1,251","1,313","1,230","1,183","1,107","1,054","13,843",,
442299,All other home furnishings stores,"1,520","1,427","1,762","1,668","1,703","1,664","1,817","1,812","1,732","1,692","2,298","3,155","22,250",,
443,Electronics and appliance stores,"7,515","7,729","7,646","7,041","7,484","7,841","7,828","8,005","7,529","7,202","9,329","12,813","97,962",,
443141,Household appliance stores,"1,091","1,109","1,200","1,223","1,339","1,319","1,330","1,268","1,204","1,170","1,433","1,485","15,171",,
443142,Electronics stores,"6,424","6,620","6,446","5,818","6,145","6,522","6,498","6,737","6,325","6,032","7,896","11,328","82,791",,
444,Building mat. and garden equip. and supplies dealers,"15,217","15,335","21,511","26,455","26,014","25,232","22,907","21,514","21,078","21,689","21,274","20,102","2,58,328",,
4441,Building mat. and supplies dealers,"13,632","13,642","18,869","21,616","21,716","21,491","20,152","19,198","18,766","18,835","18,569","17,519","2,24,005",,
44412,Paint and wallpaper stores,461,478,662,695,719,781,765,775,727,675,631,511,"7,880",,
