Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2022,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2022,Feb. 2022,Mar. 2022,Apr. 2022,May 2022,Jun. 2022,Jul. 2022,Aug. 2022,Sep. 2022,Oct. 2022,Nov. 2022,Dec. 2022,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","5,71,405","5,64,376","6,63,886","6,63,353","6,85,755","6,76,507","6,68,681","6,81,118","6,43,800","6,65,357","6,66,992","7,22,313","78,73,543",
,Retail sales and food services excl motor vehicle and parts,"4,59,965","4,49,691","5,26,681","5,29,042","5,56,714","5,47,108","5,44,169","5,48,427","5,21,356","5,41,354","5,51,650","6,01,449","63,77,606",
,Retail sales and food services excl gasoline stations,"5,23,664","5,16,269","6,01,437","6,00,336","6,14,926","6,03,435","5,96,923","6,15,362","5,84,111","6,02,882","6,09,885","6,69,976","71,39,206",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"4,12,224","4,01,584","4,64,232","4,66,025","4,85,885","4,74,036","4,72,411","4,82,671","4,61,667","4,78,879","4,94,543","5,49,112","56,43,269",
,"Retail sales, total","5,05,782","4,96,221","5,84,512","5,82,200","6,01,192","5,94,419","5,84,625","5,97,265","5,62,463","5,81,106","5,88,876","6,37,438","69,16,099",
,"Retail sales, total (excl. motor vehicle and parts dealers)","3,94,342","3,81,536","4,47,307","4,47,889","4,72,151","4,65,020","4,60,113","4,64,574","4,40,019","4,57,103","4,73,534","5,16,574","54,20,162",
,GAFO(1),"1,03,859","1,04,275","1,21,531","1,23,909","1,28,457","1,25,102","1,25,635","1,29,895","1,21,582","1,27,155","1,36,047","1,65,523","15,12,970",
441,Motor vehicle and parts dealers,"1,11,440","1,14,685","1,37,205","1,34,311","1,29,041","1,29,399","1,24,512","1,32,691","1,22,444","1,24,003","1,15,342","1,20,864","14,95,937",
"4411,4412",Automobile and other motor vehicle dealers,"1,02,664","1,06,109","1,26,658","1,24,257","1,18,730","1,18,980","1,14,491","1,21,858","1,11,980","1,13,545","1,05,288","1,10,983","13,75,543",
4411,Automobile dealers,"95,793","98,151","1,16,091","1,13,614","1,08,699","1,08,594","1,04,839","1,12,820","1,04,106","1,06,194","99,558","1,05,281","12,73,740",
44111,New car dealers,"84,682","86,512","1,01,589","1,00,262","95,796","95,576","92,356","99,423","91,986","94,533","88,883","95,295","11,26,893",
44112,Used car dealers,"11,111","11,639","14,502","13,352","12,903","13,018","12,483","13,397","12,120","11,661","10,675","9,986","1,46,847",
4413,"Automotive parts, acc., and tire stores","8,776","8,576","10,547","10,054","10,311","10,419","10,021","10,833","10,464","10,458","10,054","9,881","1,20,394",
"442,443","Furniture, home furn, electronics, and appliance stores","16,919","16,978","20,148","19,327","19,346","18,925","18,916","20,019","19,350","19,012","20,694","21,921","2,31,555",
442,Furniture and home furnishings stores,"10,107","10,422","12,363","11,967","11,977","11,654","11,503","12,294","11,852","11,770","12,368","12,227","1,40,504",
4421,Furniture stores,"5,558","6,000","6,992","6,710","6,736","6,654","6,629","6,737","6,687","6,588","6,777","6,572","78,640",
4422,Home furnishings stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
44221,Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
442299,All other home furnishings stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
443,Electronics and appliance stores,"6,812","6,556","7,785","7,360","7,369","7,271","7,413","7,725","7,498","7,242","8,326","9,694","91,051",
443141,Household appliance stores,"1,563","1,628","1,896","1,831","1,917","1,956","1,872","1,987","1,804","1,778","1,902","1,816","21,950",
443142,Electronics stores,"5,249","4,928","5,889","5,529","5,452","5,315","5,541","5,738","5,694","5,464","6,424","7,878","69,101",
444,Building mat. and garden equip. and supplies dealers,"33,739","33,462","44,366","46,049","49,997","48,014","43,314","45,032","42,475","42,886","40,393","38,663","5,08,390",
4441,Building mat. and supplies dealers,"29,693","29,363","38,628","39,425","42,829","41,645","38,151","39,763","37,344","37,297","35,304","33,307","4,42,749",
44412,Paint and wallpaper stores,"1,030","1,075","1,394","1,357","1,462","1,573","1,437","1,558","1,541","1,488","1,270","1,124","16,309",
44413,Hardware stores,"2,560","2,470","3,056","3,279","3,703","3,648","3,353","3,350","3,196","3,305","3,234","3,423","38,577",
445,Food and beverage stores,"75,232","69,575","76,593","76,893","80,218","79,637","81,540","80,075","78,261","80,866","81,881","88,065","9,48,836",
4451,Grocery stores,"68,645","62,914","69,207","69,280","72,406","71,739","73,433","72,174","70,554","72,959","73,557","77,566","8,54,434",
44511,Supermarkets and other grocery (except convenience) stores,"65,696","59,950","65,853","65,707","68,715","67,947","69,583","68,518","67,083","69,418","70,129","74,135","8,12,734",
4453,"Beer, wine, and liquor stores","4,812","4,920","5,441","5,544","5,727","5,833","6,003","5,755","5,621","5,744","6,017","7,651","69,068",
446,Health and personal care stores,"31,945","29,888","33,367","32,214","32,689","33,179","32,194","33,751","33,294","33,875","33,388","37,235","3,97,019",
44611,Pharmacies and drug stores,"27,625","25,431","28,071","27,282","27,696","28,048","27,426","28,478","28,157","28,960","28,160","30,547","3,35,881",
447,Gasoline stations,"47,741","48,107","62,449","63,017","70,829","73,072","71,758","65,756","59,689","62,475","57,107","52,337","7,34,337",
448,Clothing and clothing access. stores,"17,137","19,345","24,310","24,428","25,313","23,552","23,733","24,772","22,359","23,409","27,000","37,932","2,93,290",
4481,Clothing stores,"11,895","12,692","16,877","17,041","17,571","16,489","16,692","16,902","15,700","16,852","19,524","25,046","2,03,281",
44811,Men's clothing stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
44812,Women's clothing stores,"2,254","2,548","3,456","3,402","3,447","3,020","2,994","3,060","2,936","2,983","3,353","4,128","37,581",
44814,Family clothing stores,"6,718","7,026","9,527","9,620","10,049","9,761","10,051","10,037","9,181","10,114","12,000","15,687","1,19,771",
44819,Other clothing stores,"1,211","1,205","1,454","1,431","1,356","1,385","1,373","1,447","1,290","1,285","1,499","1,757","16,693",
4482,Shoe stores,"2,136","2,554","3,393","3,246","3,375","3,112","3,359","4,189","3,141","3,114","3,440","4,551","39,610",
44831,Jewelry stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
451,"Sporting goods, hobby, musical instrument, and book stores","6,573","6,455","7,943","7,796","7,829","8,246","8,141","9,022","7,936","7,800","9,175","12,025","98,941",
45111,Sporting goods stores,"3,848","3,966","5,202","5,011","5,041","5,685","5,408","5,627","4,738","4,746","5,207","7,224","61,703",
45112,"Hobby, toy, and game stores","1,361","1,397","1,562","1,572","1,544","1,399","1,532","1,647","1,699","1,771","2,610","2,817","20,911",
451211,Book stores,772,492,511,559,585,534,567,"1,007",761,559,588,"1,033","7,968",
452,General merchandise stores,"61,516","59,714","66,968","70,220","73,582","72,052","72,291","73,219","69,325","73,788","77,022","90,625","8,60,322",
4522,Department stores,"2,257","2,783","3,284","3,518","3,751","3,416","3,305","3,472","3,214","3,455","4,617","6,599","43,671",
45221,Department stores,"2,257","2,783","3,284","3,518","3,751","3,416","3,305","3,472","3,214","3,455","4,617","6,599","43,671",
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"59,259","56,931","63,684","66,702","69,831","68,636","68,986","69,747","66,111","70,333","72,405","84,026","8,16,651",
452311,Warehouse clubs and supercenters,"52,747","50,258","55,829","58,630","61,088","60,354","61,002","61,795","58,123","62,067","63,256","73,435","7,18,584",
452319,All other gen. merchandise stores,"6,512","6,673","7,855","8,072","8,743","8,282","7,984","7,952","7,988","8,266","9,149","10,591","98,067",
453,Miscellaneous store retailers,"10,794","10,722","12,686","12,914","13,921","13,818","13,128","13,731","12,967","13,365","12,371","13,362","1,53,779",
4532,"Office supplies, stationery, and gift stores","1,714","1,783","2,162","2,138","2,387","2,327","2,554","2,863","2,612","3,146","2,156","3,020","28,862",
45321,Office supplies and stationery stores,793,726,849,785,761,753,848,"1,054",837,763,698,884,"9,751",
45322,"Gift, novelty, and souvenir stores",921,"1,057","1,313","1,353","1,626","1,574","1,706","1,809","1,775","2,383","1,458","2,136","19,111",
45330,Used merchandise stores,"1,536","1,523","1,936","1,823","1,828","1,791","1,985","1,841","1,700","1,806","1,913","1,785","21,467",
454,Nonstore retailers,"92,746","87,290","98,477","95,031","98,427","94,525","95,098","99,197","94,363","99,627","1,14,503","1,24,409","11,93,693",
4541,Electronic shopping and mail-order houses,"84,246","78,993","89,664","87,921","91,219","87,461","88,753","92,133","87,472","91,560","1,06,204","1,15,096","11,00,722",
45431,Fuel dealers,"5,262","5,143","4,812","3,377","3,340","3,118","2,537","2,844","2,943","3,955","4,219","5,257","46,807",
722,Food services and drinking places,"65,623","68,155","79,374","81,153","84,563","82,088","84,056","83,853","81,337","84,251","78,116","84,875","9,57,444",
7224,Drinking places,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
7225,Restaurants and other eating places,"60,045","61,734","71,744","72,983","76,191","74,338","76,605","75,839","72,252","74,826","69,547","75,996","8,62,100",
722511,Full service restaurants,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
"722513, 722514, 722515",Limited service eating places,"31,163","30,961","36,164","36,680","38,520","38,324","39,412","38,819","36,857","38,070","35,542","37,176","4,37,688",
,ADJUSTED(2),,,,,,,,,,,,,,
,"Retail and food services sales, total","6,31,509","6,38,101","6,51,027","6,60,194","6,59,847","6,66,113","6,59,550","6,63,566","6,61,854","6,68,671","6,59,458","6,51,763",,
,Retail sales and food services excl motor vehicle and parts,"5,04,428","5,10,871","5,25,362","5,32,203","5,36,643","5,41,528","5,37,880","5,38,373","5,37,491","5,41,862","5,36,108","5,32,212",,
,Retail sales and food services excl gasoline stations,"5,78,107","5,82,422","5,88,074","5,96,797","5,93,403","5,98,139","5,93,777","6,02,624","6,02,697","6,08,309","6,00,033","5,95,547",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"4,51,026","4,55,192","4,62,409","4,68,806","4,70,199","4,73,554","4,72,107","4,77,431","4,78,334","4,81,500","4,76,683","4,75,996",,
,"Retail sales, total","5,60,257","5,63,777","5,74,485","5,80,943","5,79,844","5,85,556","5,79,267","5,81,196","5,79,446","5,85,006","5,76,356","5,69,119",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","4,33,176","4,36,547","4,48,820","4,52,952","4,56,640","4,60,971","4,57,597","4,56,003","4,55,083","4,58,197","4,53,006","4,49,568",,
,GAFO(1),"1,20,060","1,22,636","1,25,402","1,27,154","1,26,619","1,27,759","1,26,169","1,27,412","1,27,913","1,28,320","1,27,089","1,25,700",,
441,Motor vehicle and parts dealers,"1,27,081","1,27,230","1,25,665","1,27,991","1,23,204","1,24,585","1,21,670","1,25,193","1,24,363","1,26,809","1,23,350","1,19,551",,
"4411,4412",Automobile and other motor vehicle dealers,"1,17,330","1,17,507","1,15,881","1,18,115","1,13,184","1,14,624","1,11,699","1,15,069","1,14,033","1,16,576","1,13,091","1,09,128",,
4413,"Automotive parts, acc., and tire stores","9,751","9,723","9,784","9,876","10,020","9,961","9,971","10,124","10,330","10,233","10,259","10,423",,
"442,443","Furniture, home furn, electronics, and appliance stores","18,831","19,112","20,006","20,515","19,834","19,532","19,434","19,540","19,387","19,600","18,517","18,005",,
442,Furniture and home furnishings stores,"11,538","11,645","11,888","12,199","11,953","11,772","11,631","11,776","11,665","11,961","11,473","11,115",,
443,Electronics and appliance stores,"7,293","7,467","8,118","8,316","7,881","7,760","7,803","7,764","7,722","7,639","7,044","6,890",,
444,Building mat. and garden equip. and supplies dealers,"42,350","41,952","42,837","42,862","42,483","42,396","42,405","42,823","42,510","42,724","41,459","41,847",,
4441,Building mat. and supplies dealers,"37,209","36,704","37,649","37,691","37,081","36,985","36,719","37,058","36,828","37,038","35,805","36,203",,
445,Food and beverage stores,"76,736","76,833","77,639","77,749","78,595","79,558","79,013","79,571","80,001","80,825","81,086","80,756",,
4451,Grocery stores,"68,921","68,985","69,765","69,980","70,847","71,739","71,225","71,601","72,067","72,813","73,118","72,969",,
4453,"Beer, wine and liquor stores","5,729","5,795","5,764","5,704","5,665","5,735","5,690","5,778","5,777","5,849","5,808","5,705",,
446,Health and personal care stores,"32,664","32,416","32,553","32,838","32,656","33,212","33,431","33,318","33,529","33,673","33,896","33,098",,
44611,Pharmacies and drug stores,"27,848","27,493","27,575","27,726","27,668","28,132","28,509","28,002","28,298","28,392","28,647","27,948",,
447,Gasoline stations,"53,402","55,679","62,953","63,397","66,444","67,974","65,773","60,942","59,157","60,362","59,425","56,216",,
448,Clothing and clothing access. stores,"23,163","23,910","25,056","25,103","24,530","24,674","24,136","24,499","24,693","24,713","24,512","24,019",,
4481,Clothing stores,"15,962","16,282","17,157","17,167","17,020","16,998","16,644","16,957","17,133","17,287","17,150","16,935",,
44811,Men's clothing stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
44812,Women's clothing stores,"3,050","3,169","3,326","3,212","3,157","3,156","3,033","3,168","3,147","3,111","3,037","3,026",,
4482,Shoe stores,"3,082","3,145","3,272","3,319","3,382","3,346","3,181","3,351","3,433","3,414","3,369","3,203",,
44831,Jewelry stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
451,"Sporting goods, hobby, musical instrument, and book stores","7,891","8,192","8,265","8,215","8,181","8,213","8,257","8,315","8,301","8,342","8,221","8,351",,
452,General merchandise stores,"68,025","69,107","69,665","70,933","71,625","72,976","71,928","72,571","73,133","73,137","73,436","72,843",,
4522,Department stores,"3,271","3,706","3,749","3,723","3,729","3,689","3,656","3,662","3,677","3,629","3,582","3,583",,
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"64,754","65,401","65,916","67,210","67,896","69,287","68,272","68,909","69,456","69,508","69,854","69,260",,
452311,Warehouse clubs and supercenters,"57,147","57,569","57,974","59,162","59,656","61,087","60,041","60,643","61,118","61,150","61,414","60,841",,
452319,All other gen. merchandise stores,"7,607","7,832","7,942","8,048","8,240","8,200","8,231","8,266","8,338","8,358","8,440","8,419",,
453,Miscellaneous stores retailers,"12,460","12,601","12,875","12,941","12,894","13,215","12,984","13,141","12,846","12,790","12,552","12,469",,
454,Nonstore retailers,"97,654","96,745","96,971","98,399","99,398","99,221","1,00,236","1,01,283","1,01,526","1,02,031","99,902","1,01,964",,
4541,Electronic shopping and mail order houses,"90,490","89,460","89,396","90,640","91,310","91,010","92,259","93,158","93,753","93,715","92,031","94,033",,
45431,Fuel dealers,"3,513","3,749","3,804","3,992","4,383","4,467","4,119","4,110","3,872","4,308","3,791","3,750",,
722,Food services and drinking places,"71,252","74,324","76,542","79,251","80,003","80,557","80,283","82,370","82,408","83,665","83,102","82,644",,
,,,,,,,,,,,,,,,
"(S) Suppressed - Estimate does not meet publication standards because of high sampling variability (coefficient of variation is greater than 30%), poor response quality (total quantity response rate",,,,,,,,,,,,,,,
"is less than 50%), or other concerns about the estimate's quality.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,
"Estimates include data only for businesses with paid employees. Prior to the benchmark report released in April 2025, the Monthly Retail Trade Survey estimates included nonemployers.",,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
